episode,sim/wall,total steps,steps/sec,score
0,2.9460012813880527,23,29.45996783097919,"002: -2.4762, 000: -1.5679, 001: -1.2767"
1,1.7761956637965444,12,17.76192529719284,"002: -1.5004, 000: -1.8263, 001: -1.7797"
2,1.9429142388754335,20,19.429124388570074,"002: -0.7406, 000: -1.9555, 001: -1.8790"
3,1.8421539349159974,22,18.421528316245656,"002: -1.8301, 000: -0.8198, 001: -2.5114"
4,3.139936937928534,37,31.39933761421744,"002: -1.1086, 000: -3.4921, 001: -2.1450"
5,2.368498584898387,26,23.68494469591386,"002: -1.8961, 000: -1.7867, 001: -2.5989"
6,1.9761301939580218,22,19.761289243504667,"002: -2.1402, 000: -1.8462, 001: -1.7366"
7,3.2583238228680553,33,32.583184536385595,"002: -1.6781, 000: -1.7165, 001: -2.8198"
8,2.246582868277457,19,22.46579068292339,"002: -1.3886, 000: -2.1585, 001: -0.9753"
9,2.3377283556166173,16,23.37725098242897,"002: -1.1039, 000: -0.8341, 001: -1.7807"
MEAN,2.3834465882523097,23.0,23.83443435883617,n/a
