episode,sim/wall,total steps,steps/sec,score
0,5.271084781444011,206,52.710831736043026,"001: -0.6966, 000: -1.9663, 002: -0.6522"
1,6.078876605997738,169,60.78874520739292,"001: -1.3093, 000: -2.0472, 002: -0.8852"
2,6.3586217755535905,606,63.586208211223585,"001: -4.9800, 000: -1.8365, 002: -0.5861"
3,2.426500493639541,29,24.26495168946241,"001: -1.6396, 000: -1.0171, 002: -0.8931"
4,2.068289026633332,25,20.682857629212137,"001: -0.9084, 000: -0.6853, 002: -1.8622"
5,2.5089830863865594,19,25.089720275845394,"001: -0.8974, 000: -1.0442, 002: -0.9470"
6,1.8874896497101918,15,18.87487384661909,"001: -1.0299, 000: -1.1918, 002: -0.7927"
7,5.1927890979855595,163,51.927831817613544,"001: -0.5508, 000: -1.6045, 002: -0.7734"
8,3.094835421038085,35,30.94831506343639,"001: -0.7054, 000: -0.8898, 002: -0.7524"
9,2.7891720935428763,40,27.891702387713114,"001: -0.8056, 000: -0.7443, 002: -1.1260"
MEAN,3.7676642031931484,130.7,37.676603786456155,n/a
