episode,sim/wall,total steps,steps/sec,score
0,8.381582186718141,262,83.81578351042526,000: -2.2724
1,8.485766633648623,125,84.8576113985981,000: -1.2256
2,8.483737205755284,32,84.83710393511261,000: -0.2134
3,8.983220176665148,21,89.83174367468159,000: -0.6420
4,9.039101009050441,23,90.390586612646,000: -0.8470
5,6.2874196970551814,4990,62.87419602615514,000: -138.9476
6,6.323513497188498,2491,63.23513305827573,000: -36.1700
7,8.536676656608883,12,85.36546348214559,000: -1.0414
8,3.6132745984812695,662,36.13274269340226,000: -6.4237
9,8.084863923136318,1537,80.84863314773202,000: -26.1880
MEAN,7.621915558430777,1015.5,76.21889975391744,n/a
