episode,sim/wall,total steps,steps/sec,score
0,8.35509763149951,13,83.54995211571907,000: -1.4663
1,8.453923009168838,20,84.53888930319931,000: -0.8081
2,8.997086991278135,15,89.97035526490781,000: -1.8388
3,8.724266211329814,44,87.2422909321602,000: 0.1467
4,9.326712010829231,8,93.265823910699,000: -0.8193
5,8.436161309274913,19,84.36098796170441,000: -1.0721
6,8.559604440712754,14,85.59554531937845,000: -1.2705
7,8.997321806841889,8,89.97056433989634,000: -1.2697
8,8.620950451906566,22,86.20910180602957,000: -0.4500
9,8.457884112224917,28,84.5785365614769,000: -0.6259
MEAN,8.692900797506656,19.1,86.9282047515171,n/a
