episode,sim/wall,total steps,steps/sec,score
0,7.0378250512516045,475,70.37821819287176,000: 3.3284
1,7.0551986386601815,420,70.55197225864971,000: 1.7925
2,6.9635651722811005,495,69.63562603123711,000: 2.5277
3,6.8772949939113515,529,68.77292649076463,000: 2.6358
4,6.980978001059137,378,69.80975849373897,000: 3.2989
5,7.112749036729545,274,71.1274375415752,000: 2.3986
6,6.88059676209392,466,68.80595551004193,000: 2.4833
7,6.890248839596413,366,68.90245746961686,000: 2.1529
8,7.112966577388881,285,71.12963614641447,000: 2.6088
9,6.961161348799792,398,69.61159897389035,000: 4.0429
MEAN,6.987258442177193,408.6,69.8725587108801,n/a
