episode,sim/wall,total steps,steps/sec,score
0,2.0394097546015892,14,20.394069213807196,"001: -0.9303, 002: -1.7125, 000: -0.9808"
1,7.289158653135564,311,72.89156616541867,"001: -0.9020, 002: -1.7060, 000: -7.1753"
2,1.9649300693344238,11,19.64925885151264,"001: -1.0560, 002: -1.3894, 000: -1.7046"
3,3.5050635281855165,22,35.05056871188202,"001: -1.3967, 002: -1.4263, 000: -2.2328"
4,2.4889874355352974,17,24.889839602059517,"001: -1.3498, 002: -1.9484, 000: -1.8337"
5,2.256607079996987,21,22.566036111649126,"001: -0.9903, 002: -2.4205, 000: -2.0547"
6,1.8815949181777878,12,18.815921045253184,"001: -1.0969, 002: -1.3785, 000: -1.7842"
7,2.6059856904848964,20,26.05981642643544,"001: -0.9126, 002: -0.6247, 000: -0.8213"
8,5.357266515086812,83,53.572623929900914,"001: -0.6411, 002: -1.6167, 000: -0.8250"
9,7.861519212160632,404,78.61517753240217,"001: -6.2451, 002: -1.3934, 000: -0.7762"
MEAN,3.7250522856699506,91.5,37.25048775903209,n/a
