episode,sim/wall,total steps,steps/sec,score
0,5.479317629139624,27,54.79288466981646,"000: -1.0199, 001: -1.3776"
1,4.592287727469558,20,45.92272643414634,"000: -1.1857, 001: -0.7375"
2,5.456868444817472,813,54.568680081945935,"000: -3.0352, 001: -11.9894"
3,3.2718702847272527,7,32.7184476189521,"000: -0.8582, 001: -1.4257"
4,3.171650579828347,7,31.716300227608833,"000: -1.3385, 001: -1.3424"
5,4.700567673256897,15,47.00536065837103,"000: -1.4343, 001: -1.9572"
6,5.697095798741655,24,56.970796772703814,"000: -1.4281, 001: -2.5458"
7,3.1757073996039433,11,31.75689912577461,"000: -1.6817, 001: -1.4997"
8,8.154432198345361,410,81.5442987830886,"000: -7.2937, 001: -1.5938"
9,3.2811437869452176,11,32.811344531838934,"000: -1.6225, 001: -1.6622"
MEAN,4.698094152287533,134.5,46.980773890424665,n/a
