episode,sim/wall,total steps,steps/sec,score
0,2.170446906819853,20,21.70441291075755,"002: -0.8972, 000: -1.0286, 001: -2.2198"
1,2.948633936124592,36,29.486310570766683,"002: -0.6998, 000: -0.8714, 001: -1.0621"
2,2.3515576117890054,40,23.515553045692357,"002: -0.1478, 000: -1.7410, 001: -0.9836"
3,4.411553929451785,97,44.11551059315533,"002: -0.7430, 000: -0.7154, 001: -0.7205"
4,3.110977841138988,29,31.109738627670588,"002: -1.0531, 000: -0.9712, 001: -1.0513"
5,4.373698914970621,160,43.73697204683761,"002: -0.8648, 000: -1.1291, 001: -1.0212"
6,4.013126857087125,62,40.13123760496093,"002: -1.5855, 000: -0.3654, 001: -0.7713"
7,5.226228319388664,151,52.262257318256104,"002: -0.8170, 000: -1.2725, 001: -0.5149"
8,3.9889876162038926,50,39.8898230500055,"002: -1.1525, 000: -0.7518, 001: 0.0405"
9,1.8667183476123526,11,18.667138159744713,"002: -0.8435, 000: -0.7873, 001: -1.2137"
MEAN,3.446193028058688,65.6,34.46189539278473,n/a
