episode,sim/wall,total steps,steps/sec,score
0,1.4270065531179863,554,14.27006509300016,"000: 3.3500, 002: 2.8773, 003: 1.8123, 001: 2.6244"
1,1.2843165863175006,515,12.843165557727186,"000: 3.1037, 002: 2.2051, 003: 3.3798, 001: 2.7818"
2,1.573078504338381,365,15.730784235185373,"000: 0.1961, 002: 1.6778, 003: 0.4094, 001: 2.3428"
3,3.3860295952402435,330,33.860291810712276,"000: -1.3938, 002: -0.3903, 003: 1.9302, 001: -0.1171"
4,1.024369389400814,484,10.243693532176996,"000: 1.9980, 002: 2.9200, 003: 2.0893, 001: 0.9764"
5,1.1175180311634785,565,11.17518004814079,"000: 1.2010, 002: 2.5262, 003: 3.0034, 001: 2.9257"
6,1.0754690634178694,255,10.754689877182374,"000: 0.4215, 002: 0.0813, 003: 0.4977, 001: 1.6087"
7,1.573734822162823,708,15.7373478046245,"000: 2.6584, 002: 3.2375, 003: 2.1931, 001: 2.8286"
8,1.5184757967937124,493,15.184757410393424,"000: 3.0929, 002: 3.1066, 003: 0.1772, 001: 3.5024"
9,1.0602646222619716,480,10.602645999268983,"000: 2.6925, 002: 3.0704, 003: 2.3846, 001: 2.0756"
MEAN,1.504026296421478,474.9,15.040262136841207,n/a
