episode,sim/wall,total steps,steps/sec,score
0,0.7712337779588757,10,7.712302326817211,000: 0.0000
1,0.41012893931075034,14,4.101284523417729,000: 0.0000
2,0.5537057826146148,24,5.53705508501846,000: 0.0000
3,0.3990091698020031,27,3.990089448645248,000: 0.0000
4,0.40342672492654963,23,4.0342648873227285,000: 0.0000
5,0.8556561070148341,7,8.55653613343009,000: 0.0000
6,0.4167524270448897,48,4.167523321489305,000: 0.0000
7,0.39612174597041117,34,3.961215809226545,000: 0.0000
8,0.7667190541193311,12,7.667178861519868,000: 0.0000
9,0.4999776790570251,4,4.99975444092397,000: 0.0000
MEAN,0.5472731407819286,20.3,5.472720483781115,n/a
