         19603787 function calls (19162060 primitive calls) in 20.991 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      552    0.010    0.000   17.346    0.031 /src/ultra/ultra/env/ultra_env.py:145(step)
      572    0.002    0.000    7.098    0.012 /src/smarts/core/smarts.py:167(step)
      572    0.015    0.000    7.096    0.012 /src/smarts/core/smarts.py:193(_step)
     2484    0.025    0.000    6.309    0.003 /src/ultra/ultra/utils/common.py:176(ego_social_safety)
     1656    0.048    0.000    6.190    0.004 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
      828    0.018    0.000    6.162    0.007 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
1355460/970744    1.404    0.000    5.969    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     4608    0.060    0.000    5.624    0.001 /src/ultra/ultra/utils/geometry.py:196(intersects)
     9216    0.540    0.000    5.404    0.001 /src/ultra/ultra/utils/geometry.py:261(intersectswithlines)
      582    0.015    0.000    3.042    0.005 /src/smarts/core/agent_manager.py:132(observe)
      858    0.034    0.000    2.927    0.003 /src/smarts/core/sensors.py:180(observe)
      572    0.008    0.000    2.859    0.005 /src/smarts/core/smarts.py:695(_step_providers)
       10    0.000    0.000    2.710    0.271 /src/smarts/env/hiway_env.py:187(reset)
     4200    0.146    0.000    2.486    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
    27648    1.096    0.000    2.296    0.000 /src/ultra/ultra/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
      572    1.768    0.003    2.133    0.004 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
   184042    0.322    0.000    1.910    0.000 /src/smarts/core/waypoints.py:64(dist_to)
   234131    0.129    0.000    1.902    0.000 <__array_function__ internals>:2(norm)
      858    0.007    0.000    1.649    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
     9216    0.078    0.000    1.647    0.000 /src/ultra/ultra/utils/geometry.py:181(_getnormals)
      858    0.004    0.000    1.637    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
      858    0.014    0.000    1.634    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
   234131    0.775    0.000    1.609    0.000 /usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
    27648    0.019    0.000    1.569    0.000 <__array_function__ internals>:2(cross)
     3342    0.016    0.000    1.564    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
     6684    0.008    0.000    1.539    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
    76836    0.048    0.000    1.511    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:584(euclidean)
    27648    0.517    0.000    1.500    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
    76836    0.136    0.000    1.463    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:460(minkowski)
     6684    0.028    0.000    1.460    0.000 /src/ultra/ultra/utils/common.py:297(<listcomp>)
     1337    0.001    0.000    1.334    0.001 {built-in method builtins.next}
       10    0.000    0.000    1.324    0.132 /src/smarts/core/scenario.py:240(variations_for_all_scenario_roots)
       10    0.001    0.000    1.322    0.132 /src/smarts/core/smarts.py:301(reset)
       10    0.000    0.000    1.247    0.125 /src/smarts/core/scenario.py:172(__init__)
       10    0.018    0.002    1.179    0.118 /src/smarts/core/waypoints.py:133(__init__)
  1299257    1.131    0.000    1.131    0.000 {built-in method numpy.array}
    82120    0.066    0.000    1.104    0.000 {built-in method builtins.min}
      858    0.003    0.000    1.068    0.001 /src/smarts/core/sensors.py:995(__call__)
       10    0.002    0.000    1.027    0.103 /src/smarts/core/waypoints.py:481(_interpolate_shape_waypoints)
      860    0.008    0.000    1.026    0.001 /src/smarts/core/waypoints.py:495(_interpolate_from_shape_wp)
      858    0.002    0.000    1.025    0.001 /src/smarts/core/mission_planner.py:153(waypoint_paths_at)
      858    0.006    0.000    1.016    0.001 /src/smarts/core/waypoints.py:248(waypoint_paths_along_route)
      858    0.012    0.000    0.991    0.001 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:139(_adapt_observation_for_baseline)
      900    0.390    0.000    0.983    0.001 /src/smarts/core/waypoints.py:545(_process_interp_for_lane_wp)
     1716    0.002    0.000    0.972    0.001 /src/ultra/ultra/baselines/common/state_preprocessor.py:173(extract_closest_waypoint)
    88200    0.033    0.000    0.967    0.000 /src/ultra/ultra/utils/common.py:256(<lambda>)
    82974    0.046    0.000    0.880    0.000 <__array_function__ internals>:2(moveaxis)
      858    0.010    0.000    0.798    0.001 /src/smarts/core/sensors.py:330(_is_done_with_events)
    82974    0.248    0.000    0.775    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
   153672    0.162    0.000    0.769    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:332(_validate_vector)
      552    0.018    0.000    0.749    0.001 ultra/train.py:156(<dictcomp>)
     2219    0.016    0.000    0.743    0.000 /src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
      848    0.011    0.000    0.731    0.001 /src/ultra/ultra/baselines/sac/sac/policy.py:149(act)
    18430    0.157    0.000    0.700    0.000 /src/smarts/core/chassis.py:366(pose)
     6539    0.020    0.000    0.682    0.000 /src/smarts/core/waypoints.py:326(_closest_linked_wp_in_kd_tree_batched)
       10    0.001    0.000    0.677    0.068 /src/smarts/core/smarts.py:338(setup)
   255966    0.122    0.000    0.661    0.000 <__array_function__ internals>:2(inner)
      848    0.003    0.000    0.656    0.001 /src/ultra/ultra/baselines/sac/sac/network.py:95(sample)
14416/848    0.043    0.000    0.651    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
      848    0.031    0.000    0.643    0.001 /src/ultra/ultra/baselines/sac/sac/network.py:209(forward)
     9576    0.084    0.000    0.631    0.000 /src/ultra/ultra/utils/common.py:150(get_box)
    46080    0.034    0.000    0.617    0.000 <__array_function__ internals>:2(stack)
      888    0.021    0.000    0.617    0.001 /src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
   126719    0.167    0.000    0.605    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
     6539    0.158    0.000    0.597    0.000 {method 'query' of 'sklearn.neighbors._kd_tree.BinaryTree' objects}
   561273    0.135    0.000    0.567    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_asarray.py:16(asarray)
    76836    0.118    0.000    0.558    0.000 /usr/local/lib/python3.7/dist-packages/scipy/linalg/misc.py:19(norm)
      858    0.017    0.000    0.548    0.001 /src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
     9576    0.043    0.000    0.547    0.000 /src/ultra/ultra/utils/geometry.py:28(__init__)
   206415    0.519    0.000    0.519    0.000 {method 'reduce' of 'numpy.ufunc' objects}
8909/7013    0.032    0.000    0.507    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:59(inner_f)
      888    0.028    0.000    0.501    0.001 /src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
     1362    0.003    0.000    0.483    0.000 /src/smarts/core/waypoints.py:170(closest_waypoint_batched)
    46080    0.150    0.000    0.482    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:357(stack)
   312439    0.161    0.000    0.479    0.000 <__array_function__ internals>:2(dot)
      572    0.002    0.000    0.449    0.001 /src/smarts/core/trap_manager.py:103(step)
       30    0.000    0.000    0.445    0.015 /src/smarts/core/trap_manager.py:268(_make_vehicle)
     7487    0.070    0.000    0.430    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:397(check_array)
   154530    0.080    0.000    0.428    0.000 <__array_function__ internals>:2(atleast_1d)
      888    0.004    0.000    0.418    0.000 /src/smarts/core/waypoints.py:360(<listcomp>)
       30    0.001    0.000    0.418    0.014 /src/smarts/core/vehicle_index.py:536(build_agent_vehicle)
   165988    0.283    0.000    0.417    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1277(normalize_axis_tuple)
      888    0.137    0.000    0.414    0.000 /src/smarts/core/waypoints.py:362(_equally_spaced_path)
      858    0.001    0.000    0.405    0.000 /src/ultra/ultra/baselines/common/state_preprocessor.py:169(extract_ego_goal_path)
    90001    0.058    0.000    0.401    0.000 {built-in method builtins.sorted}
     1716    0.015    0.000    0.401    0.000 /src/smarts/core/vehicle.py:236(state)
       10    0.000    0.000    0.397    0.040 /src/smarts/core/smarts.py:671(_setup_providers)
       10    0.000    0.000    0.396    0.040 /src/smarts/core/sumo_traffic_simulation.py:239(setup)
    76836    0.160    0.000    0.391    0.000 /usr/local/lib/python3.7/dist-packages/numpy/lib/function_base.py:435(asarray_chkfinite)
       30    0.001    0.000    0.386    0.013 /src/smarts/core/vehicle.py:300(build_agent_vehicle)
        5    0.001    0.000    0.376    0.075 /src/smarts/core/sumo_traffic_simulation.py:133(_initialize_traci_conn)
     1716    0.012    0.000    0.356    0.000 /src/smarts/core/smarts.py:728(_step_provider)
      857    0.007    0.000    0.349    0.000 /src/smarts/core/sensors.py:483(_vehicle_is_wrong_way)
      858    0.008    0.000    0.348    0.000 /src/smarts/core/waypoints.py:251(<listcomp>)
      582    0.003    0.000    0.326    0.001 /src/smarts/core/smarts.py:684(_harmonize_providers)
     3392    0.010    0.000    0.318    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:98(forward)
       30    0.000    0.000    0.308    0.010 /usr/local/lib/python3.7/dist-packages/yaml/__init__.py:154(safe_load)
       30    0.001    0.000    0.307    0.010 /usr/local/lib/python3.7/dist-packages/yaml/__init__.py:103(load)
    19152    0.180    0.000    0.307    0.000 /src/ultra/ultra/utils/geometry.py:103(_getunrotatedegocorners)
       30    0.000    0.000    0.305    0.010 /usr/local/lib/python3.7/dist-packages/yaml/constructor.py:47(get_single_data)
    18430    0.205    0.000    0.301    0.000 /src/smarts/core/coordinates.py:175(from_explicit_offset)
    36864    0.026    0.000    0.293    0.000 <__array_function__ internals>:2(amin)
     1866    0.007    0.000    0.293    0.000 /src/smarts/core/sumo_road_network.py:365(nearest_lanes)
       30    0.000    0.000    0.289    0.010 /usr/local/lib/python3.7/dist-packages/yaml/composer.py:29(get_single_node)
       30    0.000    0.000    0.286    0.010 /usr/local/lib/python3.7/dist-packages/yaml/composer.py:50(compose_document)
  3030/30    0.007    0.000    0.286    0.010 /usr/local/lib/python3.7/dist-packages/yaml/composer.py:63(compose_node)
   210/30    0.003    0.000    0.285    0.009 /usr/local/lib/python3.7/dist-packages/yaml/composer.py:117(compose_mapping_node)
     5886    0.028    0.000    0.285    0.000 /src/ultra/ultra/utils/common.py:45(rotate2d_vector)
     1866    0.021    0.000    0.282    0.000 /usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
      888    0.001    0.000    0.279    0.000 /src/smarts/core/waypoints.py:181(closest_waypoint)
     2571    0.012    0.000    0.275    0.000 /usr/share/sumo/tools/traci/connection.py:160(_sendCmd)
   154530    0.149    0.000    0.266    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:25(atleast_1d)
      857    0.002    0.000    0.265    0.000 /src/smarts/core/waypoints.py:198(closest_waypoint_on_lane)
   194277    0.157    0.000    0.265    0.000 /src/smarts/core/utils/math.py:120(vec_2d)
     8250    0.006    0.000    0.263    0.000 /usr/local/lib/python3.7/dist-packages/yaml/parser.py:94(check_event)
     6420    0.012    0.000    0.260    0.000 /src/smarts/core/vehicle.py:272(position)
     2219    0.002    0.000    0.255    0.000 /src/smarts/core/waypoints.py:318(<listcomp>)
     6034    0.007    0.000    0.253    0.000 /src/smarts/core/vehicle.py:257(pose)
        5    0.250    0.050    0.250    0.050 {built-in method time.sleep}
    36864    0.025    0.000    0.250    0.000 <__array_function__ internals>:2(amax)
     5936    0.012    0.000    0.244    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:86(forward)
     2571    0.010    0.000    0.244    0.000 /usr/share/sumo/tools/traci/connection.py:80(_sendExact)
    24661    0.055    0.000    0.243    0.000 /src/smarts/core/waypoints.py:320(<lambda>)
    36864    0.043    0.000    0.242    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2676(amin)
      848    0.011    0.000    0.232    0.000 /src/ultra/ultra/baselines/common/social_vehicles_encoders/precog_encoder.py:53(forward)
    18432    0.118    0.000    0.231    0.000 /src/ultra/ultra/utils/geometry.py:168(_unrotated_containspoints)
     5936    0.009    0.000    0.228    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1355(linear)
       70    0.000    0.000    0.227    0.003 /src/smarts/core/sumo_road_network.py:124(from_file)
       70    0.001    0.000    0.226    0.003 /usr/share/sumo/tools/sumolib/net/__init__.py:778(readNet)
     9576    0.049    0.000    0.225    0.000 /src/ultra/ultra/utils/geometry.py:130(getcorners)
      140    0.000    0.000    0.222    0.002 /usr/lib/python3.7/xml/sax/__init__.py:29(parse)
      140    0.001    0.000    0.219    0.002 /usr/lib/python3.7/xml/sax/expatreader.py:103(parse)
    22500    0.017    0.000    0.214    0.000 /usr/local/lib/python3.7/dist-packages/yaml/scanner.py:113(check_token)
      140    0.001    0.000    0.213    0.002 /usr/lib/python3.7/xml/sax/xmlreader.py:115(parse)
   131388    0.156    0.000    0.211    0.000 /src/smarts/core/coordinates.py:52(__new__)
     4290    0.039    0.000    0.209    0.000 /src/smarts/core/chassis.py:429(longitudinal_lateral_speed)
      140    0.000    0.000    0.208    0.001 /usr/lib/python3.7/xml/sax/expatreader.py:206(feed)
     7487    0.056    0.000    0.208    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:76(_assert_all_finite)
      140    0.049    0.000    0.207    0.001 {method 'Parse' of 'pyexpat.xmlparser' objects}
    75517    0.092    0.000    0.203    0.000 /src/smarts/core/utils/math.py:81(squared_dist)
      582    0.008    0.000    0.202    0.000 /src/smarts/core/sumo_traffic_simulation.py:336(sync)
    36864    0.038    0.000    0.201    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2551(amax)
      572    0.001    0.000    0.201    0.000 /src/smarts/core/smarts.py:234(<listcomp>)
     3432    0.022    0.000    0.198    0.000 /src/smarts/core/chassis.py:409(velocity_vectors)
    76836    0.031    0.000    0.197    0.000 {method 'all' of 'numpy.ndarray' objects}
     5936    0.193    0.000    0.193    0.000 {built-in method addmm}
    13618    0.044    0.000    0.190    0.000 /src/smarts/core/utils/cache.py:89(__call__)
      572    0.005    0.000    0.189    0.000 /src/smarts/core/bubble_manager.py:354(step)
      572    0.005    0.000    0.188    0.000 /src/smarts/core/smarts.py:817(_perform_agent_actions)
     2571    0.011    0.000    0.187    0.000 /usr/share/sumo/tools/traci/connection.py:61(_recvExact)
      572    0.010    0.000    0.184    0.000 {method 'poll' of 'panda3d.core.AsyncTaskManager' objects}
      858    0.002    0.000    0.181    0.000 /src/smarts/core/sensors.py:387(_vehicle_is_off_road)
    54948    0.039    0.000    0.175    0.000 <__array_function__ internals>:2(concatenate)
     5142    0.173    0.000    0.173    0.000 {method 'recv' of '_socket.socket' objects}
    78612    0.024    0.000    0.172    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_methods.py:47(_all)
   301123    0.080    0.000    0.167    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_asarray.py:88(asanyarray)
      828    0.005    0.000    0.167    0.000 /src/smarts/core/controllers/__init__.py:53(perform_action)
     4350    0.011    0.000    0.163    0.000 /usr/local/lib/python3.7/dist-packages/yaml/scanner.py:156(fetch_more_tokens)
     1925    0.003    0.000    0.162    0.000 /usr/share/sumo/tools/traci/domain.py:182(_setCmd)
      582    0.002    0.000    0.160    0.000 /src/smarts/core/sumo_traffic_simulation.py:323(step)
      828    0.004    0.000    0.152    0.000 /src/smarts/core/sumo_traffic_simulation.py:456(_move_vehicle)
    21428    0.022    0.000    0.152    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:55(_wrapfunc)
1640983/1639977    0.145    0.000    0.149    0.000 {built-in method builtins.len}
    10290    0.009    0.000    0.148    0.000 /usr/lib/python3.7/xml/sax/expatreader.py:332(start_element)
    24786    0.017    0.000    0.148    0.000 <__array_function__ internals>:2(any)
      858    0.003    0.000    0.147    0.000 /src/smarts/core/sumo_road_network.py:504(point_is_within_road)
      582    0.012    0.000    0.145    0.000 /usr/share/sumo/tools/traci/connection.py:294(simulationStep)
    28860    0.048    0.000    0.143    0.000 /src/smarts/core/coordinates.py:101(relative_to)
      858    0.002    0.000    0.143    0.000 /src/smarts/core/sensors.py:979(__call__)
      572    0.012    0.000    0.142    0.000 /src/smarts/core/motion_planner_provider.py:57(step)
       10    0.003    0.000    0.142    0.014 /src/ultra/ultra/utils/episode.py:255(record_tensorboard)
      858    0.005    0.000    0.141    0.000 /src/smarts/core/smarts.py:779(neighborhood_vehicles_around_vehicle)
     8112    0.022    0.000    0.140    0.000 /usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
    10290    0.038    0.000    0.137    0.000 /usr/share/sumo/tools/sumolib/net/__init__.py:568(startElement)
    20208    0.015    0.000    0.134    0.000 <__array_function__ internals>:2(all)
      572    0.003    0.000    0.132    0.000 /usr/local/lib/python3.7/dist-packages/direct/showbase/ShowBase.py:2142(__igLoop)
      572    0.127    0.000    0.127    0.000 {method 'renderFrame' of 'panda3d.core.GraphicsEngine' objects}
     1500    0.003    0.000    0.127    0.000 /usr/local/lib/python3.7/dist-packages/yaml/parser.py:446(parse_block_mapping_value)
     9216    0.034    0.000    0.125    0.000 /src/ultra/ultra/utils/geometry.py:190(getlines)
     1710    0.003    0.000    0.124    0.000 /usr/local/lib/python3.7/dist-packages/yaml/parser.py:427(parse_block_mapping_key)
      572    0.036    0.000    0.123    0.000 /src/smarts/core/bezier_motion_planner.py:35(trajectory_batched)
     7487    0.015    0.000    0.123    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/extmath.py:686(_safe_accumulator_op)
   240245    0.119    0.000    0.119    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    22316    0.035    0.000    0.118    0.000 /usr/share/sumo/tools/sumolib/geomhelper.py:111(distancePointToLine)
24210/3076    0.041    0.000    0.115    0.000 /usr/lib/python3.7/copy.py:132(deepcopy)
       10    0.000    0.000    0.114    0.011 /src/smarts/core/trap_manager.py:69(__init__)
     1766    0.003    0.000    0.114    0.000 /src/smarts/core/utils/cache.py:127(wrapper)
       10    0.000    0.000    0.114    0.011 /src/smarts/core/trap_manager.py:74(init_traps)
    24786    0.019    0.000    0.113    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2236(any)
     2820    0.003    0.000    0.112    0.000 /usr/local/lib/python3.7/dist-packages/yaml/scanner.py:668(fetch_plain)
     2219    0.002    0.000    0.112    0.000 /src/smarts/core/waypoints.py:283(<listcomp>)
      552    0.002    0.000    0.111    0.000 ultra/train.py:165(<dictcomp>)
      828    0.006    0.000    0.109    0.000 /src/ultra/ultra/baselines/sac/sac/policy.py:171(step)
      572    0.005    0.000    0.108    0.000 /src/smarts/core/bubble_manager.py:360(_sync_cursors)
      828    0.001    0.000    0.108    0.000 /usr/share/sumo/tools/traci/_vehicle.py:1579(moveToXY)
    20208    0.016    0.000    0.104    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2324(all)
     3342    0.006    0.000    0.103    0.000 /src/smarts/core/waypoints.py:82(signed_lateral_error)
   412110    0.071    0.000    0.102    0.000 {built-in method builtins.isinstance}
     2820    0.023    0.000    0.102    0.000 /usr/local/lib/python3.7/dist-packages/yaml/scanner.py:1270(scan_plain)
    46080    0.039    0.000    0.101    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:420(<listcomp>)
       10    0.005    0.000    0.101    0.010 /src/smarts/core/smarts.py:392(_setup_bullet_client)
        5    0.000    0.000    0.099    0.020 /usr/lib/python3.7/subprocess.py:681(__init__)
    25428    0.027    0.000    0.099    0.000 /src/smarts/core/waypoints.py:285(<lambda>)
        5    0.000    0.000    0.099    0.020 /usr/lib/python3.7/subprocess.py:1412(_execute_child)
     4200    0.021    0.000    0.099    0.000 /src/ultra/ultra/utils/common.py:267(<listcomp>)
     2219    0.003    0.000    0.098    0.000 /src/smarts/core/waypoints.py:292(<listcomp>)
      828    0.002    0.000    0.097    0.000 /src/ultra/ultra/baselines/common/replay_buffer.py:135(add)
    18432    0.040    0.000    0.097    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_ufunc_config.py:39(seterr)
     2573    0.032    0.000    0.096    0.000 /src/smarts/core/waypoints.py:293(<listcomp>)
      474    0.010    0.000    0.096    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/metrics/pairwise.py:201(euclidean_distances)
      828    0.014    0.000    0.096    0.000 /src/ultra/ultra/baselines/common/replay_buffer.py:61(add)
       30    0.000    0.000    0.095    0.003 /src/smarts/core/scenario.py:812(map_bounding_box)
    35484    0.023    0.000    0.095    0.000 /src/smarts/core/waypoints.py:727(_edge)
   165988    0.054    0.000    0.091    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1327(<listcomp>)
     7997    0.007    0.000    0.090    0.000 <__array_function__ internals>:2(sum)
      858    0.006    0.000    0.088    0.000 /src/smarts/core/chassis.py:523(control)
      828    0.002    0.000    0.087    0.000 /src/smarts/core/vehicle.py:507(control)
      828    0.001    0.000    0.086    0.000 /src/smarts/core/vehicle.py:503(step)
    18430    0.083    0.000    0.086    0.000 /src/smarts/core/utils/math.py:39(yaw_from_quaternion)
      828    0.002    0.000    0.085    0.000 /src/smarts/core/chassis.py:506(step)
   295012    0.084    0.000    0.084    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    39336    0.016    0.000    0.083    0.000 /src/smarts/core/sumo_road_network.py:289(lane_by_id)
    41472    0.054    0.000    0.083    0.000 /usr/local/lib/python3.7/dist-packages/pybullet_utils/bullet_client.py:41(__getattr__)
     3342    0.034    0.000    0.082    0.000 /src/smarts/core/utils/math.py:93(signed_dist_to_line)
     1866    0.033    0.000    0.082    0.000 /usr/local/lib/python3.7/dist-packages/rtree/index.py:614(intersection)
      828    0.003    0.000    0.080    0.000 /src/smarts/core/chassis.py:668(_set_road_friction)
   232987    0.057    0.000    0.079    0.000 /usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:121(isComplexType)
       30    0.001    0.000    0.079    0.003 /src/smarts/core/trap_manager.py:300(_mission2trap)
    87334    0.078    0.000    0.078    0.000 /src/ultra/ultra/utils/common.py:284(get_relative_pos)
