episode,sim/wall,total steps,steps/sec,score
0,1.7595191835147435,20,17.59514385735291,"001: -2.2192, 000: -0.8972, 002: -1.0287"
1,1.5921668336283474,20,15.92163811684284,"001: -1.0622, 000: -0.7002, 002: -0.8540"
2,1.319378899767307,26,13.1937682462213,"001: -0.7337, 000: -2.3598, 002: -0.5811"
3,2.168727065083849,23,21.68720726910088,"001: -1.1728, 000: -0.7628, 002: -0.7161"
4,1.7981185572207476,27,17.981154166765904,"001: -0.5434, 000: -2.1828, 002: -1.7178"
5,2.6720841675733684,47,26.72078010271786,"001: -0.6652, 000: -0.7861, 002: -0.3867"
6,1.6665191251194174,25,16.665162116355564,"001: -0.5884, 000: -0.9171, 002: -0.9362"
7,5.669045938074126,247,56.69040974635031,"001: -1.2678, 000: -0.9177, 002: -3.7296"
8,3.73149430030544,99,37.31490276367782,"001: -1.3565, 000: -0.8903, 002: -0.9770"
9,2.3380328438032048,28,23.38028189202673,"001: -0.8745, 000: -0.8414, 002: -0.3957"
MEAN,2.4715086914090554,56.2,24.715044827741213,n/a
