         203870705 function calls (199611365 primitive calls) in 259.435 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12321    0.181    0.000  200.111    0.016 /src/ultra/ultra/env/ultra_env.py:145(step)
    12341    0.031    0.000  106.858    0.009 /src/smarts/core/smarts.py:167(step)
    12341    0.290    0.000  106.827    0.009 /src/smarts/core/smarts.py:193(_step)
    12321    0.037    0.000   48.399    0.004 ultra/train.py:165(<dictcomp>)
    13087    0.480    0.000   48.362    0.004 /src/ultra/ultra/baselines/ppo/ppo/policy.py:174(step)
    12341    0.184    0.000   48.006    0.004 /src/smarts/core/smarts.py:695(_step_providers)
        5    0.029    0.006   47.687    9.537 /src/ultra/ultra/baselines/ppo/ppo/policy.py:353(learn)
        5    0.372    0.074   47.285    9.457 /src/ultra/ultra/baselines/ppo/ppo/policy.py:270(update)
12072534/8359291   13.038    0.000   46.785    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    26174    0.706    0.000   45.567    0.002 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
    12351    0.247    0.000   45.241    0.004 /src/smarts/core/agent_manager.py:132(observe)
    13087    0.275    0.000   45.234    0.003 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
    13127    0.494    0.000   43.329    0.003 /src/smarts/core/sensors.py:180(observe)
    65515    2.295    0.000   39.261    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
    12341   28.177    0.002   34.130    0.003 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
  2882780    5.143    0.000   30.452    0.000 /src/smarts/core/waypoints.py:64(dist_to)
    13127    0.061    0.000   25.564    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
    13127    0.054    0.000   25.502    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
    13127    0.215    0.000   25.448    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
    52388    0.231    0.000   24.557    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
   104776    0.137    0.000   24.168    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
  3128832    1.683    0.000   23.899    0.000 <__array_function__ internals>:2(norm)
  1194475    0.735    0.000   23.484    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:584(euclidean)
   104776    0.436    0.000   22.933    0.000 /src/ultra/ultra/utils/common.py:297(<listcomp>)
  1194475    2.083    0.000   22.749    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:460(minkowski)
     3200    0.011    0.000   21.383    0.007 /usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
     3200    0.018    0.000   21.372    0.007 /usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
261072/16317    0.737    0.000   21.332    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
     3200   21.314    0.007   21.314    0.007 {method 'run_backward' of 'torch._C._EngineBase' objects}
    16317    0.351    0.000   21.212    0.001 /src/ultra/ultra/baselines/ppo/ppo/network.py:155(forward)
    39261    0.226    0.000   21.118    0.001 /src/ultra/ultra/utils/common.py:176(ego_social_safety)
  3128832   10.570    0.000   20.011    0.000 /usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
   872551    0.914    0.000   17.005    0.000 {built-in method builtins.min}
    13127    0.053    0.000   16.979    0.001 /src/smarts/core/sensors.py:995(__call__)
    32634    0.214    0.000   16.539    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:98(forward)
    13127    0.038    0.000   16.299    0.001 /src/smarts/core/mission_planner.py:153(waypoint_paths_at)
    13127    0.098    0.000   16.155    0.001 /src/smarts/core/waypoints.py:248(waypoint_paths_along_route)
  1375815    0.511    0.000   15.308    0.000 /src/ultra/ultra/utils/common.py:256(<lambda>)
    13127    0.188    0.000   15.197    0.001 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:139(_adapt_observation_for_baseline)
    26254    0.030    0.000   15.057    0.001 /src/ultra/ultra/baselines/common/state_preprocessor.py:173(extract_closest_waypoint)
    97902    0.199    0.000   14.867    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:86(forward)
    13127    0.152    0.000   14.633    0.001 /src/smarts/core/sensors.py:330(_is_done_with_events)
    97902    0.140    0.000   14.589    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1355(linear)
    11664    0.153    0.000   14.450    0.001 /src/ultra/ultra/utils/geometry.py:196(intersects)
    97902   14.141    0.000   14.141    0.000 {built-in method addmm}
    23328    1.393    0.000   13.882    0.001 /src/ultra/ultra/utils/geometry.py:261(intersectswithlines)
  2388950    2.461    0.000   11.921    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:332(_validate_vector)
 16116627   11.591    0.000   11.591    0.000 {built-in method numpy.array}
   276894    2.429    0.000   10.789    0.000 /src/smarts/core/chassis.py:366(pose)
    16317    0.168    0.000   10.261    0.001 /src/ultra/ultra/baselines/ppo/ppo/network.py:85(forward)
    13127    0.288    0.000    9.931    0.001 /src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
    16317    0.137    0.000    9.868    0.001 /src/ultra/ultra/baselines/ppo/ppo/network.py:43(forward)
    93200    0.306    0.000    9.863    0.000 /src/smarts/core/waypoints.py:326(_closest_linked_wp_in_kd_tree_batched)
    13167    0.321    0.000    9.621    0.001 /src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
    27525    0.201    0.000    8.817    0.000 /src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
  1194475    1.781    0.000    8.745    0.000 /usr/local/lib/python3.7/dist-packages/scipy/linalg/misc.py:19(norm)
    93200    2.190    0.000    8.652    0.000 {method 'query' of 'sklearn.neighbors._kd_tree.BinaryTree' objects}
    12321    0.041    0.000    8.474    0.001 ultra/train.py:156(<dictcomp>)
    13117    0.252    0.000    8.433    0.001 /src/ultra/ultra/baselines/ppo/ppo/policy.py:146(act)
     3200    1.065    0.000    8.416    0.003 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:49(step)
    13167    0.429    0.000    7.888    0.001 /src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
    37023    0.210    0.000    7.405    0.000 /src/smarts/core/smarts.py:728(_step_provider)
    13167    0.058    0.000    6.613    0.001 /src/smarts/core/waypoints.py:360(<listcomp>)
  2402077    1.242    0.000    6.611    0.000 <__array_function__ internals>:2(atleast_1d)
    13167    2.260    0.000    6.555    0.000 /src/smarts/core/waypoints.py:362(_equally_spaced_path)
    26454    0.097    0.000    6.396    0.000 /src/smarts/core/sumo_road_network.py:365(nearest_lanes)
99735/94507    0.378    0.000    6.283    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:59(inner_f)
    26254    0.225    0.000    6.269    0.000 /src/smarts/core/vehicle.py:236(state)
    90186    0.843    0.000    6.237    0.000 /src/ultra/ultra/utils/common.py:150(get_box)
    26454    0.458    0.000    6.218    0.000 /usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
  3990918    2.029    0.000    6.175    0.000 <__array_function__ internals>:2(dot)
  1194475    2.487    0.000    6.163    0.000 /usr/local/lib/python3.7/dist-packages/numpy/lib/function_base.py:435(asarray_chkfinite)
    13127    0.018    0.000    6.149    0.000 /src/ultra/ultra/baselines/common/state_preprocessor.py:169(extract_ego_goal_path)
  7434166    1.777    0.000    6.000    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_asarray.py:16(asarray)
    69984    2.833    0.000    5.914    0.000 /src/ultra/ultra/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
    95814    0.921    0.000    5.674    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:397(check_array)
    12351    0.060    0.000    5.605    0.000 /src/smarts/core/smarts.py:684(_harmonize_providers)
    13127    0.114    0.000    5.516    0.000 /src/smarts/core/waypoints.py:251(<listcomp>)
    13127    0.105    0.000    5.427    0.000 /src/smarts/core/sensors.py:483(_vehicle_is_wrong_way)
    90186    0.438    0.000    5.394    0.000 /src/ultra/ultra/utils/geometry.py:28(__init__)
   789159    0.407    0.000    5.055    0.000 <__array_function__ internals>:2(inner)
    14398    0.032    0.000    4.764    0.000 /src/smarts/core/waypoints.py:170(closest_waypoint_batched)
   276894    3.136    0.000    4.605    0.000 /src/smarts/core/coordinates.py:175(from_explicit_offset)
    38958    0.191    0.000    4.517    0.000 /usr/share/sumo/tools/traci/connection.py:160(_sendCmd)
    79278    0.395    0.000    4.370    0.000 /src/ultra/ultra/utils/common.py:45(rotate2d_vector)
   293123    0.368    0.000    4.320    0.000 {built-in method builtins.sorted}
    13167    0.017    0.000    4.257    0.000 /src/smarts/core/waypoints.py:181(closest_waypoint)
  3029179    2.508    0.000    4.254    0.000 /src/smarts/core/utils/math.py:120(vec_2d)
    23328    0.204    0.000    4.228    0.000 /src/ultra/ultra/utils/geometry.py:181(_getnormals)
    13127    0.034    0.000    4.125    0.000 /src/smarts/core/waypoints.py:198(closest_waypoint_on_lane)
  2402077    2.318    0.000    4.109    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:25(atleast_1d)
    38958    0.168    0.000    4.051    0.000 /usr/share/sumo/tools/traci/connection.py:80(_sendExact)
  1686157    4.029    0.000    4.029    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    69984    0.049    0.000    4.024    0.000 <__array_function__ internals>:2(cross)
   240644    0.610    0.000    4.001    0.000 /usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
    91929    0.116    0.000    3.955    0.000 /src/smarts/core/vehicle.py:257(pose)
    69984    1.342    0.000    3.849    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
    93116    0.176    0.000    3.833    0.000 /src/smarts/core/vehicle.py:272(position)
    12341    0.109    0.000    3.776    0.000 /src/smarts/core/bubble_manager.py:354(step)
    13127    0.039    0.000    3.632    0.000 /src/smarts/core/sensors.py:387(_vehicle_is_off_road)
    38400    3.564    0.000    3.564    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
   231410    0.768    0.000    3.390    0.000 /src/smarts/core/utils/cache.py:89(__call__)
    12351    0.034    0.000    3.375    0.000 /src/smarts/core/sumo_traffic_simulation.py:323(step)
   650559    1.022    0.000    3.369    0.000 /usr/share/sumo/tools/sumolib/geomhelper.py:111(distancePointToLine)
    12351    0.139    0.000    3.253    0.000 /src/smarts/core/sumo_traffic_simulation.py:336(sync)
    65635    0.594    0.000    3.245    0.000 /src/smarts/core/chassis.py:429(longitudinal_lateral_speed)
    12341    0.014    0.000    3.174    0.000 /src/smarts/core/smarts.py:234(<listcomp>)
