episode,sim/wall,total steps,steps/sec,score
0,6.851991032562254,13,68.51904928258887,000: -1.4663
1,6.84072890724259,20,68.40678701409055,000: -0.8081
2,7.211399856951602,15,72.11325464988464,000: -1.8388
3,7.0268948025932785,44,70.26870722656413,000: 0.1467
4,7.5178021790905,8,75.17616905346549,000: -0.8193
5,6.957962931272331,19,69.57883956362494,000: -1.0721
6,6.970582418586873,14,69.70499672962485,000: -1.2705
7,7.4315209904432855,8,74.312576545132,000: -1.2697
8,6.982772716884784,22,69.82709307939467,000: -0.4500
9,6.944897704539179,28,69.44852528970269,000: -0.6259
MEAN,7.073655354016667,19.1,70.73559984340729,n/a
