         304716981 function calls (298292187 primitive calls) in 395.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17149    0.256    0.000  300.988    0.018 /src/ultra/ultra/env/ultra_env.py:145(step)
    17169    0.044    0.000  153.138    0.009 /src/smarts/core/smarts.py:167(step)
    17169    0.423    0.000  153.094    0.009 /src/smarts/core/smarts.py:193(_step)
    17149    0.046    0.000   80.122    0.005 ultra/train.py:165(<dictcomp>)
    19078    0.693    0.000   80.076    0.004 /src/ultra/ultra/baselines/ppo/ppo/policy.py:174(step)
        8    0.056    0.007   79.094    9.887 /src/ultra/ultra/baselines/ppo/ppo/policy.py:353(learn)
        8    0.642    0.080   78.440    9.805 /src/ultra/ultra/baselines/ppo/ppo/policy.py:270(update)
    38156    1.046    0.000   74.048    0.002 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
    19078    0.397    0.000   73.538    0.004 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
18687685/13041536   19.885    0.000   73.533    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    17169    0.252    0.000   69.000    0.004 /src/smarts/core/smarts.py:695(_step_providers)
    17179    0.360    0.000   65.288    0.004 /src/smarts/core/agent_manager.py:132(observe)
    19108    0.731    0.000   62.532    0.003 /src/smarts/core/sensors.py:180(observe)
    95450    3.414    0.000   56.737    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
    17169   40.630    0.002   49.237    0.003 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
  4199895    7.392    0.000   43.893    0.000 /src/smarts/core/waypoints.py:64(dist_to)
    57234    0.359    0.000   42.407    0.001 /src/ultra/ultra/utils/common.py:176(ego_social_safety)
    19108    0.098    0.000   37.166    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
    19108    0.080    0.000   37.066    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
    19108    0.316    0.000   36.986    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
    76342    0.355    0.000   35.831    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
   152684    0.207    0.000   35.244    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
     5120    0.019    0.000   34.545    0.007 /usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
     5120    0.024    0.000   34.526    0.007 /usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
     5120   34.435    0.007   34.435    0.007 {method 'run_backward' of 'torch._C._EngineBase' objects}
