         209535210 function calls (205158962 primitive calls) in 273.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14154    0.201    0.000  204.189    0.014 /src/ultra/ultra/env/ultra_env.py:145(step)
    14174    0.035    0.000  115.399    0.008 /src/smarts/core/smarts.py:167(step)
    14174    0.332    0.000  115.364    0.008 /src/smarts/core/smarts.py:193(_step)
    14154    0.036    0.000   58.152    0.004 ultra/train.py:165(<dictcomp>)
    14361    0.531    0.000   58.116    0.004 /src/ultra/ultra/baselines/ppo/ppo/policy.py:174(step)
        6    0.035    0.006   57.373    9.562 /src/ultra/ultra/baselines/ppo/ppo/policy.py:353(learn)
        6    0.418    0.070   56.898    9.483 /src/ultra/ultra/baselines/ppo/ppo/policy.py:270(update)
    14174    0.208    0.000   53.119    0.004 /src/smarts/core/smarts.py:695(_step_providers)
    14184    0.270    0.000   47.515    0.003 /src/smarts/core/agent_manager.py:132(observe)
    14381    0.524    0.000   45.418    0.003 /src/smarts/core/sensors.py:180(observe)
11889117/8112455   12.779    0.000   44.151    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    71845    2.534    0.000   42.843    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
    28722    0.765    0.000   40.836    0.001 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
    14361    0.288    0.000   40.480    0.003 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
    14174   30.984    0.002   37.537    0.003 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
  3161240    5.596    0.000   33.152    0.000 /src/smarts/core/waypoints.py:64(dist_to)
    14381    0.068    0.000   27.756    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
    14381    0.060    0.000   27.687    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
    14381    0.233    0.000   27.626    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
    57464    0.263    0.000   26.844    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
   114928    0.155    0.000   26.409    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
  3428102    1.846    0.000   26.173    0.000 <__array_function__ internals>:2(norm)
  1307871    0.812    0.000   25.580    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:584(euclidean)
     3840    0.011    0.000   25.432    0.007 /usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
     3840    0.021    0.000   25.421    0.007 /usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
     3840   25.353    0.007   25.353    0.007 {method 'run_backward' of 'torch._C._EngineBase' objects}
   114928    0.494    0.000   25.046    0.000 /src/ultra/ultra/utils/common.py:297(<listcomp>)
291376/18211    0.818    0.000   25.040    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
