episode,sim/wall,total steps,steps/sec,score
0,2.4019046129897914,23,24.01895642556747,"000: -2.4762, 001: -1.5679, 002: -1.2767"
1,1.4474068454666995,12,14.47402266880391,"000: -1.5004, 001: -1.8063, 002: -1.7798"
2,1.5201986190899042,22,15.201958641636358,"000: -1.6898, 001: -2.3186, 002: -1.7414"
3,1.6754453399611289,20,16.754413243575495,"000: -0.6660, 001: -2.2718, 002: -1.1386"
4,1.8804066508584152,34,18.80404171358128,"000: -1.9927, 001: -2.4470, 002: -2.6447"
5,2.5562852694780376,34,25.562797707767825,"000: -2.3114, 001: -1.4071, 002: -2.1610"
6,1.470847832871803,24,14.708456837367434,"000: -1.5276, 001: -1.9563, 002: -1.8523"
7,1.7235444118133072,47,17.235426035237044,"000: -4.1272, 001: -1.6522, 002: -2.4332"
8,1.7600899704193256,22,17.600856059702917,"000: -1.6863, 001: -2.3842, 002: -1.2726"
9,2.2241762970201777,28,22.241725059462834,"000: -1.2376, 001: -2.8899, 002: -1.5900"
MEAN,1.866030584996859,26.6,18.660265439270255,n/a
