         4711350 function calls (4571017 primitive calls) in 5.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      203    0.003    0.000    2.759    0.014 /src/ultra/ultra/env/ultra_env.py:145(step)
       10    0.000    0.000    2.112    0.211 /src/smarts/env/hiway_env.py:187(reset)
      223    0.001    0.000    1.808    0.008 /src/smarts/core/smarts.py:167(step)
      223    0.005    0.000    1.807    0.008 /src/smarts/core/smarts.py:193(_step)
      230    0.000    0.000    1.215    0.005 {built-in method builtins.next}
       10    0.000    0.000    1.209    0.121 /src/smarts/core/scenario.py:240(variations_for_all_scenario_roots)
       10    0.001    0.000    1.129    0.113 /src/smarts/core/scenario.py:172(__init__)
       10    0.018    0.002    0.928    0.093 /src/smarts/core/waypoints.py:133(__init__)
241148/150812    0.245    0.000    0.882    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       10    0.001    0.000    0.880    0.088 /src/smarts/core/smarts.py:301(reset)
       10    0.001    0.000    0.778    0.078 /src/smarts/core/waypoints.py:481(_interpolate_shape_waypoints)
      860    0.008    0.000    0.777    0.001 /src/smarts/core/waypoints.py:495(_interpolate_from_shape_wp)
      900    0.265    0.000    0.736    0.001 /src/smarts/core/waypoints.py:545(_process_interp_for_lane_wp)
      223    0.003    0.000    0.733    0.003 /src/smarts/core/smarts.py:695(_step_providers)
      233    0.004    0.000    0.666    0.003 /src/smarts/core/agent_manager.py:132(observe)
    85365    0.047    0.000    0.655    0.000 <__array_function__ internals>:2(norm)
      213    0.008    0.000    0.634    0.003 /src/smarts/core/sensors.py:180(observe)
       10    0.001    0.000    0.614    0.061 /src/smarts/core/smarts.py:338(setup)
     1035    0.037    0.000    0.613    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
    85365    0.283    0.000    0.549    0.000 /usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
      406    0.011    0.000    0.546    0.001 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
      203    0.004    0.000    0.541    0.003 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
      223    0.404    0.002    0.497    0.002 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
    45357    0.080    0.000    0.470    0.000 /src/smarts/core/waypoints.py:64(dist_to)
      213    0.002    0.000    0.403    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
      213    0.001    0.000    0.400    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
      213    0.004    0.000    0.399    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
       10    0.000    0.000    0.397    0.040 /src/smarts/core/smarts.py:671(_setup_providers)
       10    0.000    0.000    0.396    0.040 /src/smarts/core/sumo_traffic_simulation.py:239(setup)
      822    0.004    0.000    0.389    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
     1644    0.002    0.000    0.383    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
        5    0.001    0.000    0.376    0.075 /src/smarts/core/sumo_traffic_simulation.py:133(_initialize_traci_conn)
    18693    0.012    0.000    0.370    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:584(euclidean)
