episode,sim/wall,total steps,steps/sec,score
0,6.695887611749681,25,66.95844854119706,000: -2.7295
1,6.861330681044862,25,68.61285784393914,000: -2.6954
2,7.014032902025544,28,70.13995200594371,000: -2.7554
3,7.1694889759005935,15,71.69407276232933,000: -1.1286
4,7.0761875036905195,16,70.76105429534567,000: -1.8739
5,6.669910653983902,51,66.69887776874572,000: -2.5744
6,6.805046466953948,25,68.05006720146616,000: -2.6991
7,7.246078540523731,9,72.45953359451632,000: -1.5254
8,7.01423817248357,12,70.14120873607813,000: -0.9623
9,7.436502022486709,7,74.3629483666057,000: -1.3933
MEAN,6.998870353084307,21.3,69.9879021116167,n/a
