         466030363 function calls (454278102 primitive calls) in 495.801 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5296    0.167    0.000  480.595    0.091 /src/ultra/ultra/env/ultra_env.py:145(step)
    47082    0.672    0.000  221.319    0.005 /src/ultra/ultra/utils/common.py:176(ego_social_safety)
   165054    2.121    0.000  202.725    0.001 /src/ultra/ultra/utils/geometry.py:196(intersects)
   330108   19.432    0.000  194.812    0.001 /src/ultra/ultra/utils/geometry.py:261(intersectswithlines)
    31388    0.988    0.000  185.708    0.006 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
    15694    0.385    0.000  185.214    0.012 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
     5316    0.021    0.000  171.531    0.032 /src/smarts/core/smarts.py:167(step)
     5316    0.168    0.000  171.510    0.032 /src/smarts/core/smarts.py:193(_step)
36280112/26791513   37.714    0.000  170.049    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     5316    0.091    0.000   99.601    0.019 /src/smarts/core/smarts.py:695(_step_providers)
     5316   38.626    0.007   89.967    0.017 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
   990324   39.821    0.000   83.088    0.000 /src/ultra/ultra/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
     5326    0.263    0.000   61.249    0.011 /src/smarts/core/agent_manager.py:132(observe)
    15734    0.611    0.000   59.358    0.004 /src/smarts/core/sensors.py:180(observe)
   330108    2.867    0.000   59.193    0.000 /src/ultra/ultra/utils/geometry.py:181(_getnormals)
   990324    0.663    0.000   56.327    0.000 <__array_function__ internals>:2(cross)
   990324   18.951    0.000   53.917    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
     5316    0.110    0.000   48.256    0.009 /src/smarts/core/smarts.py:817(_perform_agent_actions)
    15694    0.147    0.000   47.802    0.003 /src/smarts/core/controllers/__init__.py:53(perform_action)
    15694    1.310    0.000   47.654    0.003 /src/smarts/core/controllers/lane_following_controller.py:66(perform_lane_following)
    78550    2.818    0.000   47.042    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
  3519091    6.319    0.000   37.173    0.000 /src/smarts/core/waypoints.py:64(dist_to)
    31428    0.076    0.000   35.479    0.001 /src/smarts/core/mission_planner.py:153(waypoint_paths_at)
    31428    0.208    0.000   35.217    0.001 /src/smarts/core/waypoints.py:248(waypoint_paths_along_route)
    15734    0.122    0.000   31.496    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
    15734    0.067    0.000   31.291    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
    15734    0.268    0.000   31.223    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
  2971012    1.650    0.000   31.186    0.000 <__array_function__ internals>:2(moveaxis)
    62816    0.279    0.000   29.843    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
  3842484    2.130    0.000   29.610    0.000 <__array_function__ internals>:2(norm)
   125632    0.172    0.000   29.368    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
  1467580    0.898    0.000   29.287    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:584(euclidean)
  1467580    2.615    0.000   28.389    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:460(minkowski)
   125632    0.540    0.000   27.829    0.000 /src/ultra/ultra/utils/common.py:297(<listcomp>)
  2971012    8.790    0.000   27.442    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
    47162    0.791    0.000   26.985    0.001 /src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
 30646437   25.651    0.000   25.652    0.000 {built-in method numpy.array}
  3842484   12.984    0.000   24.777    0.000 /usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
  1650540    1.270    0.000   22.356    0.000 <__array_function__ internals>:2(stack)
   218991    0.684    0.000   22.350    0.000 /src/smarts/core/waypoints.py:326(_closest_linked_wp_in_kd_tree_batched)
  4552294    5.978    0.000   21.915    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
  2112356    1.436    0.000   21.520    0.000 {built-in method builtins.min}
    47162    1.037    0.000   21.008    0.000 /src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
   218991    5.061    0.000   19.519    0.000 {method 'query' of 'sklearn.neighbors._kd_tree.BinaryTree' objects}
   525837    4.394    0.000   19.477    0.000 /src/smarts/core/chassis.py:366(pose)
  9022018    4.261    0.000   19.395    0.000 <__array_function__ internals>:2(inner)
    15734    0.058    0.000   18.731    0.001 /src/smarts/core/sensors.py:995(__call__)
    46117    0.335    0.000   18.416    0.000 /src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
    15734    0.215    0.000   18.411    0.001 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:139(_adapt_observation_for_baseline)
  1649550    0.614    0.000   18.276    0.000 /src/ultra/ultra/utils/common.py:256(<lambda>)
    47162    0.176    0.000   18.070    0.000 /src/smarts/core/waypoints.py:360(<listcomp>)
    31468    0.036    0.000   18.058    0.001 /src/ultra/ultra/baselines/common/state_preprocessor.py:173(extract_closest_waypoint)
    47162    5.025    0.000   17.894    0.000 /src/smarts/core/waypoints.py:362(_equally_spaced_path)
  1650540    5.392    0.000   17.462    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:357(stack)
   259218    2.259    0.000   16.864    0.000 /src/ultra/ultra/utils/common.py:150(get_box)
  6101204   16.410    0.000   16.410    0.000 {method 'reduce' of 'numpy.ufunc' objects}
291836/233560    1.035    0.000   16.325    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:59(inner_f)
  2935160    3.175    0.000   14.834    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:332(_validate_vector)
   259218    1.117    0.000   14.605    0.000 /src/ultra/ultra/utils/geometry.py:28(__init__)
  5942064    9.876    0.000   14.580    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1277(normalize_axis_tuple)
    15734    0.171    0.000   14.464    0.001 /src/smarts/core/sensors.py:330(_is_done_with_events)
   248129    2.280    0.000   13.932    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:397(check_array)
    30383    0.068    0.000   13.643    0.000 /src/smarts/core/waypoints.py:170(closest_waypoint_batched)
    31428    0.263    0.000   12.517    0.000 /src/smarts/core/waypoints.py:251(<listcomp>)
     5296    0.040    0.000   12.286    0.002 ultra/train.py:165(<dictcomp>)
    15694    0.130    0.000   12.246    0.001 /src/ultra/ultra/baselines/dqn/dqn/policy.py:288(step)
  3158567    1.952    0.000   11.309    0.000 {built-in method builtins.sorted}
  1467580    2.310    0.000   10.940    0.000 /usr/local/lib/python3.7/dist-packages/scipy/linalg/misc.py:19(norm)
  1320432    0.934    0.000   10.556    0.000 <__array_function__ internals>:2(amin)
    15694    5.698    0.000   10.119    0.001 /src/ultra/ultra/baselines/dqn/dqn/policy.py:211(soft_update)
    15734    0.293    0.000   10.095    0.001 /src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
  6036547    3.165    0.000    9.363    0.000 <__array_function__ internals>:2(dot)
 11590474    2.901    0.000    9.321    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_asarray.py:16(asarray)
  1320432    0.885    0.000    9.022    0.000 <__array_function__ internals>:2(amax)
  1320432    1.544    0.000    8.718    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2676(amin)
   525837    5.787    0.000    8.426    0.000 /src/smarts/core/coordinates.py:175(from_explicit_offset)
  2970509    1.600    0.000    8.361    0.000 <__array_function__ internals>:2(atleast_1d)
   660516    4.189    0.000    8.290    0.000 /src/ultra/ultra/utils/geometry.py:168(_unrotated_containspoints)
   518436    4.870    0.000    8.249    0.000 /src/ultra/ultra/utils/geometry.py:103(_getunrotatedegocorners)
  1487195    3.153    0.000    7.807    0.000 /usr/local/lib/python3.7/dist-packages/numpy/lib/function_base.py:435(asarray_chkfinite)
   187516    0.364    0.000    7.670    0.000 /src/smarts/core/vehicle.py:272(position)
    15734    0.021    0.000    7.545    0.000 /src/ultra/ultra/baselines/common/state_preprocessor.py:169(extract_ego_goal_path)
    15694    0.066    0.000    7.365    0.000 /src/smarts/core/controllers/lane_following_controller.py:419(_update_target_lane_if_reached_end_of_lane)
  1320432    1.341    0.000    7.295    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2551(amax)
    31468    0.264    0.000    7.290    0.000 /src/smarts/core/vehicle.py:236(state)
    46117    0.050    0.000    7.003    0.000 /src/smarts/core/waypoints.py:318(<listcomp>)
    15694    0.030    0.000    6.725    0.000 /src/smarts/core/mission_planner.py:169(waypoint_paths_on_lane_at)
   692487    1.512    0.000    6.689    0.000 /src/smarts/core/waypoints.py:320(<lambda>)
   248129    1.813    0.000    6.681    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/validation.py:76(_assert_all_finite)
    15734    0.125    0.000    6.449    0.000 /src/smarts/core/sensors.py:483(_vehicle_is_wrong_way)
  1898380    1.349    0.000    6.171    0.000 <__array_function__ internals>:2(concatenate)
   259218    1.264    0.000    6.014    0.000 /src/ultra/ultra/utils/geometry.py:130(getcorners)
   628969    0.593    0.000    5.963    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:55(_wrapfunc)
   141566    0.180    0.000    5.898    0.000 /src/smarts/core/vehicle.py:257(pose)
  3774172    4.166    0.000    5.670    0.000 /src/smarts/core/coordinates.py:52(__new__)
  2089639    2.517    0.000    5.588    0.000 /src/smarts/core/utils/math.py:81(squared_dist)
   132830    0.635    0.000    5.574    0.000 /src/ultra/ultra/utils/common.py:45(rotate2d_vector)
  3840682    3.197    0.000    5.438    0.000 /src/smarts/core/utils/math.py:120(vec_2d)
   888166    0.615    0.000    5.312    0.000 <__array_function__ internals>:2(any)
  2970509    2.927    0.000    5.201    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:25(atleast_1d)
   758763    0.553    0.000    5.187    0.000 <__array_function__ internals>:2(all)
     5326    0.030    0.000    5.052    0.001 /src/smarts/core/smarts.py:684(_harmonize_providers)
    15814    0.019    0.000    4.953    0.000 /src/smarts/core/waypoints.py:181(closest_waypoint)
    15734    0.044    0.000    4.903    0.000 /src/smarts/core/waypoints.py:198(closest_waypoint_on_lane)
    31668    0.114    0.000    4.772    0.000 /src/smarts/core/sumo_road_network.py:365(nearest_lanes)
    15694    0.088    0.000    4.659    0.000 /src/smarts/core/controllers/lane_following_controller.py:357(calculate_lateral_gains)
  7923537    2.169    0.000    4.638    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_asarray.py:88(asanyarray)
   150975    0.132    0.000    4.614    0.000 <__array_function__ internals>:2(clip)
  1022254    1.545    0.000    4.606    0.000 /src/smarts/core/coordinates.py:101(relative_to)
    31668    0.324    0.000    4.597    0.000 /usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
   330108    1.239    0.000    4.529    0.000 /src/ultra/ultra/utils/geometry.py:190(getlines)
   150975    0.166    0.000    4.273    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2021(clip)
    15734    0.034    0.000    4.194    0.000 /src/smarts/core/sensors.py:979(__call__)
     3923    0.398    0.000    4.179    0.001 /usr/local/lib/python3.7/dist-packages/scipy/signal/ltisys.py:2915(place_poles)
    15734    0.135    0.000    4.160    0.000 /src/smarts/core/smarts.py:779(neighborhood_vehicles_around_vehicle)
    86744    0.750    0.000    4.099    0.000 /src/smarts/core/chassis.py:429(longitudinal_lateral_speed)
   888166    0.683    0.000    4.098    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2236(any)
   758763    0.622    0.000    4.035    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2324(all)
  1491118    0.634    0.000    3.999    0.000 {method 'all' of 'numpy.ndarray' objects}
   248129    0.473    0.000    3.940    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/utils/extmath.py:686(_safe_accumulator_op)
    15948    0.157    0.000    3.922    0.000 /src/smarts/core/smarts.py:728(_step_provider)
    37147    0.179    0.000    3.745    0.000 /usr/share/sumo/tools/traci/connection.py:160(_sendCmd)
41733753/41717698    3.674    0.000    3.684    0.000 {built-in method builtins.len}
   156291    0.357    0.000    3.680    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_methods.py:97(_clip)
  1585442    0.488    0.000    3.664    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_methods.py:47(_all)
    62936    0.396    0.000    3.642    0.000 /src/smarts/core/chassis.py:409(velocity_vectors)
  1650540    1.414    0.000    3.598    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:420(<listcomp>)
     5316    0.013    0.000    3.574    0.001 /src/smarts/core/smarts.py:234(<listcomp>)
   660216    1.428    0.000    3.397    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/_ufunc_config.py:39(seterr)
     5326    0.106    0.000    3.304    0.001 /src/smarts/core/sumo_traffic_simulation.py:336(sync)
    37147    0.142    0.000    3.297    0.000 /usr/share/sumo/tools/traci/connection.py:80(_sendExact)
  5942064    1.898    0.000    3.195    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1327(<listcomp>)
   470820    0.174    0.000    3.125    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:846(parameters)
    15734    0.042    0.000    3.124    0.000 /src/smarts/core/sensors.py:387(_vehicle_is_off_road)
       10    0.000    0.000    3.035    0.303 /src/smarts/env/hiway_env.py:187(reset)
    46117    0.058    0.000    2.996    0.000 /src/smarts/core/waypoints.py:283(<listcomp>)
 10563576    2.936    0.000    2.936    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   470820    0.141    0.000    2.921    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:870(named_parameters)
   264501    0.235    0.000    2.919    0.000 <__array_function__ internals>:2(sum)
    94324    0.082    0.000    2.834    0.000 <__array_function__ internals>:2(ediff1d)
    78583    0.136    0.000    2.831    0.000 /src/smarts/core/vehicle.py:267(heading)
    14569    0.300    0.000    2.809    0.000 /usr/local/lib/python3.7/dist-packages/sklearn/metrics/pairwise.py:201(euclidean_distances)
    15694    0.066    0.000    2.785    0.000 /src/smarts/core/sumo_traffic_simulation.py:456(_move_vehicle)
