episode,sim/wall,total steps,steps/sec,score
0,1.003689149209047,508,10.036890924733932,"001: 2.1013, 002: 2.7258, 003: 1.8079, 000: 3.5427"
1,1.1685871913923256,561,11.685871275524342,"001: 3.7758, 002: 2.3099, 003: 4.9824, 000: 2.8803"
2,2.0318173630014784,531,20.318170849622284,"001: -0.1532, 002: -0.4405, 003: 3.3227, 000: 2.6092"
3,1.4273893479492012,503,14.273892513759208,"001: 3.1349, 002: -0.3914, 003: 1.1994, 000: 1.3536"
4,0.8013354307453158,473,8.013353951411911,"001: 0.6169, 002: 3.4449, 003: 1.7253, 000: 1.7798"
5,0.8695634876222433,559,8.695634231220758,"001: 2.4464, 002: 3.5534, 003: 3.0643, 000: 3.0740"
6,0.8615446497460494,605,8.615446175699814,"001: 3.2791, 002: 2.0352, 003: 3.9365, 000: 2.1193"
7,0.9538596622944141,526,9.538596086818417,"001: 2.8744, 002: 4.0362, 003: 2.3014, 000: 1.8311"
8,1.5817493339543318,498,15.817492021958074,"001: 0.0764, 002: 0.7672, 003: 3.7299, 000: 3.1881"
9,0.9893350033227161,542,9.893349602673247,"001: 2.5805, 002: 0.9784, 003: 2.3629, 000: 2.2597"
MEAN,1.1688870619237124,530.6,11.688869763342197,n/a
