         9936707 function calls (9649948 primitive calls) in 10.560 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      277    0.005    0.000    7.643    0.028 /src/ultra/ultra/env/ultra_env.py:145(step)
      297    0.001    0.000    3.708    0.012 /src/smarts/core/smarts.py:167(step)
      297    0.008    0.000    3.708    0.012 /src/smarts/core/smarts.py:193(_step)
619410/429367    0.642    0.000    2.585    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      818    0.024    0.000    2.484    0.003 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
      409    0.009    0.000    2.470    0.006 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
       10    0.000    0.000    2.364    0.236 /src/smarts/env/hiway_env.py:187(reset)
     1227    0.011    0.000    2.245    0.002 /src/ultra/ultra/utils/common.py:176(ego_social_safety)
     1584    0.021    0.000    1.951    0.001 /src/ultra/ultra/utils/geometry.py:196(intersects)
     3168    0.189    0.000    1.874    0.001 /src/ultra/ultra/utils/geometry.py:261(intersectswithlines)
      307    0.008    0.000    1.488    0.005 /src/smarts/core/agent_manager.py:132(observe)
      429    0.017    0.000    1.429    0.003 /src/smarts/core/sensors.py:180(observe)
      297    0.004    0.000    1.385    0.005 /src/smarts/core/smarts.py:695(_step_providers)
     2085    0.074    0.000    1.243    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
       10    0.001    0.000    1.241    0.124 /src/smarts/core/smarts.py:301(reset)
      360    0.000    0.000    1.089    0.003 {built-in method builtins.next}
       10    0.000    0.000    1.081    0.108 /src/smarts/core/scenario.py:240(variations_for_all_scenario_roots)
   134738    0.073    0.000    1.028    0.000 <__array_function__ internals>:2(norm)
       10    0.000    0.000    1.007    0.101 /src/smarts/core/scenario.py:172(__init__)
      297    0.827    0.003    1.006    0.003 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
    91371    0.164    0.000    0.955    0.000 /src/smarts/core/waypoints.py:64(dist_to)
       10    0.019    0.002    0.940    0.094 /src/smarts/core/waypoints.py:133(__init__)
   134738    0.450    0.000    0.863    0.000 /usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
      429    0.003    0.000    0.826    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
      429    0.002    0.000    0.820    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
      429    0.007    0.000    0.819    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
