episode,sim/wall,total steps,steps/sec,score
0,2.874297753185612,23,28.742891892286472,"000: -2.0814, 001: -2.5646"
1,2.43317498634919,24,24.33170281294377,"000: -2.6410, 001: -2.4746"
2,2.691490466175754,19,26.914831940563758,"000: -1.9208, 001: -1.9114"
3,5.646988648398445,71,56.46980081869152,"000: -1.3485, 001: -0.2873"
4,5.301221839638739,42,53.012058866721716,"000: -3.8209, 001: -1.3478"
5,2.9963980105473564,15,29.96383739831203,"000: -2.0130, 001: -1.6431"
6,3.6132329155961216,24,36.132199462162575,"000: -1.3234, 001: -2.3645"
7,2.561539675459224,25,25.615334179543026,"000: -1.7375, 001: -1.8206"
8,2.8671377791280572,18,28.67126890753111,"000: -2.1990, 001: -1.7081"
9,2.7124174816420674,26,27.12412084436747,"000: -2.2662, 001: -2.4444"
MEAN,3.369789955612057,28.7,33.69780471231235,n/a
