         270692687 function calls (263731224 primitive calls) in 285.982 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4848    0.119    0.000  274.859    0.057 /src/ultra/ultra/env/ultra_env.py:145(step)
     4868    0.018    0.000  118.819    0.024 /src/smarts/core/smarts.py:167(step)
     4868    0.141    0.000  118.801    0.024 /src/smarts/core/smarts.py:193(_step)
    32754    0.357    0.000   95.930    0.003 /src/ultra/ultra/utils/common.py:176(ego_social_safety)
    21836    0.649    0.000   90.247    0.004 /src/ultra/ultra/baselines/adapter.py:153(reward_adapter)
    10918    0.250    0.000   89.848    0.008 /src/ultra/ultra/env/ultra_env.py:88(generate_logs)
19408062/14043268   20.290    0.000   87.950    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    70218    0.892    0.000   86.103    0.001 /src/ultra/ultra/utils/geometry.py:196(intersects)
   140436    8.225    0.000   82.762    0.001 /src/ultra/ultra/utils/geometry.py:261(intersectswithlines)
     4868    0.077    0.000   70.122    0.014 /src/smarts/core/smarts.py:695(_step_providers)
     4868   26.854    0.006   62.450    0.013 /src/smarts/core/smarts.py:618(_pybullet_provider_step)
     4878    0.187    0.000   40.663    0.008 /src/smarts/core/agent_manager.py:132(observe)
    10948    0.434    0.000   39.290    0.004 /src/smarts/core/sensors.py:180(observe)
   421308   16.812    0.000   35.188    0.000 /src/ultra/ultra/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
     4868    0.076    0.000   33.383    0.007 /src/smarts/core/smarts.py:817(_perform_agent_actions)
    10918    0.102    0.000   33.076    0.003 /src/smarts/core/controllers/__init__.py:53(perform_action)
    10918    0.908    0.000   32.974    0.003 /src/smarts/core/controllers/lane_following_controller.py:66(perform_lane_following)
    54650    1.936    0.000   32.415    0.001 /src/ultra/ultra/utils/common.py:255(get_closest_waypoint)
  2448362    4.343    0.000   25.550    0.000 /src/smarts/core/waypoints.py:64(dist_to)
   140436    1.230    0.000   25.277    0.000 /src/ultra/ultra/utils/geometry.py:181(_getnormals)
    21866    0.051    0.000   24.729    0.001 /src/smarts/core/mission_planner.py:153(waypoint_paths_at)
    21866    0.136    0.000   24.558    0.001 /src/smarts/core/waypoints.py:248(waypoint_paths_along_route)
   421308    0.291    0.000   24.047    0.000 <__array_function__ internals>:2(cross)
   421308    7.967    0.000   23.014    0.000 /usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
    10948    0.082    0.000   21.333    0.002 /src/ultra/ultra/baselines/adapter.py:134(observation_adapter)
    10948    0.046    0.000   21.193    0.002 /src/ultra/ultra/baselines/common/state_preprocessor.py:47(__call__)
    10948    0.183    0.000   21.147    0.002 /src/ultra/ultra/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
    43702    0.191    0.000   20.560    0.000 /src/ultra/ultra/utils/common.py:301(get_path_to_goal)
  2686855    1.478    0.000   20.322    0.000 <__array_function__ internals>:2(norm)
    87404    0.122    0.000   20.236    0.000 /src/ultra/ultra/utils/common.py:296(get_closest_point_index)
  1010988    0.639    0.000   19.986    0.000 /usr/local/lib/python3.7/dist-packages/scipy/spatial/distance.py:584(euclidean)
