episode,sim/wall,total steps,steps/sec,score
0,1.3630623553794388,515,13.630622693664009,"002: 2.7248, 001: 2.5726, 000: 3.1982"
1,1.338454777684152,528,13.384547129693624,"002: 3.4556, 001: 3.3435, 000: 2.7054"
2,1.7592919375556106,468,17.5929179564576,"002: 2.8929, 001: 2.7103, 000: 2.0856"
3,2.323535559917074,343,23.235351471194107,"002: 2.9694, 001: -0.3124, 000: 3.6043"
4,1.9813389942043869,466,19.81338793354446,"002: -0.3087, 001: 1.4639, 000: 3.2930"
5,1.6855588571608842,587,16.855587417651357,"002: 2.9243, 001: 1.8409, 000: 0.1927"
6,1.17523790257959,235,11.752377624519655,"002: 0.3756, 001: 0.1468, 000: 2.0575"
7,2.768743473016291,512,27.687430803458614,"002: -0.1858, 001: 2.9302, 000: 0.5328"
8,1.89252984834383,695,18.925297131884243,"002: 3.4151, 001: 3.1084, 000: 2.6418"
9,1.5520840041168273,509,15.520838687120559,"002: 2.8115, 001: 1.9301, 000: 2.1115"
MEAN,1.7839837709958086,485.8,17.839835884918823,n/a
