episode,sim/wall,total steps,steps/sec,score
0,2.1434280240975,493,21.434277574778356,"001: 2.8957, 000: 2.8972"
1,4.236949800209423,447,42.36948842708699,"001: -1.9985, 000: 2.7988"
2,2.439123996740056,512,24.391237474067147,"001: 2.5083, 000: 3.0765"
3,3.2821075864990825,521,32.82107142838905,"001: 0.9352, 000: 2.4050"
4,1.9602718884974775,114,19.602711652112138,"001: -0.1235, 000: 0.7953"
5,1.9165903337818821,124,19.16589627501998,"001: -2.3359, 000: 0.9751"
6,2.0995291335411985,252,20.995287999049083,"001: 2.5334, 000: 2.8295"
7,2.3318724512630062,438,23.318721552740456,"001: 3.4154, 000: 2.3382"
8,2.3304025843437315,494,23.30402269817957,"001: 3.0536, 000: 2.0441"
9,2.299579377451531,573,22.99579157421357,"001: 2.3814, 000: 2.4788"
MEAN,2.5039855176424886,396.8,25.039850665563634,n/a
