episode,sim/wall,total steps,steps/sec,score
0,5.610844655712473,475,56.108429175293615,000: 3.3284
1,5.607024180377334,420,56.070223957171905,000: 1.7925
2,5.644037674101795,495,56.44036139786599,000: 2.5277
3,5.669533712832528,529,56.69532264130738,000: 2.6358
4,5.699005891865876,378,56.9900404817173,000: 3.2989
5,5.68086819996091,274,56.80865672634848,000: 2.3986
6,5.633964323556272,466,56.33962537171898,000: 2.4833
7,5.590162344332952,366,55.901603086614685,000: 2.1529
8,5.681909698934657,285,56.819037572976384,000: 2.6088
9,5.649169169255889,398,56.49167257528171,000: 4.0429
MEAN,5.646651985093069,408.6,56.46649729862963,n/a
