episode,sim/wall,total steps,steps/sec,score
0,4.6555013239196965,273,46.55499620378236,"002: -1.9852, 001: -0.9920, 003: -1.3394, 000: -4.6770"
1,5.025997167956698,341,50.259957550286046,"002: -1.9839, 001: -2.6153, 000: -0.8326, 003: -5.4754"
2,1.1247811743168252,18,11.247796661631558,"002: -2.0171, 001: -1.5672, 003: -0.8121, 000: -0.6834"
3,3.720025853188964,71,37.20020276784606,"002: -1.3423, 001: -1.3424, 000: -2.3782, 003: -0.9285"
4,1.3392655381513208,12,13.392619745338347,"002: -1.3422, 001: -1.4248, 003: -0.7579, 000: -0.7908"
5,1.2433365393868,13,12.433337042556957,"002: -0.8404, 001: -1.4244, 003: -1.4998, 000: -0.8139"
6,1.1269733366794368,10,11.269703086073442,"002: -1.3516, 001: -1.4236, 000: -0.8309, 003: -1.4257"
7,0.9845265325092418,9,9.845244783149592,"002: -1.4324, 001: -1.5589, 003: -1.3925, 000: -0.7761"
8,1.2118427810074606,12,12.118398632421012,"002: -1.2117, 001: -1.7109, 000: -0.8318, 003: -1.3917"
9,1.4161375762010693,15,14.161347073938888,"002: -1.4946, 001: -1.3943, 003: -1.9348, 000: -0.7783"
MEAN,2.1848387823317514,77.4,21.848360354702425,n/a
