episode,sim/wall,total steps,steps/sec,score
0,1.68062668326679,14,16.806204301533818,"000: -0.9301, 002: -1.7125, 001: -0.9808"
1,6.031061647453343,277,60.3105851670877,"000: -0.9020, 002: -1.7060, 001: -4.3892"
2,1.8099449923934,11,18.099343419701803,"000: -1.4006, 002: -1.3917, 001: -0.9336"
3,2.7519242061890843,20,27.51908858975549,"000: -1.3483, 002: -1.4253, 001: -3.3114"
4,1.839125970240639,11,18.391186391492532,"000: -1.4282, 002: -1.3413, 001: -1.5653"
5,1.4330804383664615,8,14.330712575834905,"000: -1.4253, 002: -1.4911, 001: -1.4255"
6,1.4360255720019277,8,14.36020655423675,"000: -1.4255, 002: -1.4243, 001: -1.4923"
7,1.930986137254896,15,19.30977840021288,"000: -1.4247, 002: -1.6499, 001: -1.6344"
8,1.5630946583850933,9,15.630881859702445,"000: -1.3924, 002: -1.5546, 001: -1.1041"
9,1.680728759897208,10,16.807220249589566,"000: -1.3921, 002: -1.3908, 001: -1.6448"
MEAN,2.215659906544884,38.3,22.156520750914787,n/a
