episode,sim/wall,total steps,steps/sec,score
0,4.357510521864469,27,43.574954316912304,"000: -1.0199, 001: -1.3776"
1,3.7108917040508516,20,37.108769297329054,"000: -1.1857, 001: -0.7375"
2,4.383241156965556,813,43.83240480849173,"000: -3.0352, 001: -11.9894"
3,2.6068277991756923,7,26.068046538718338,"000: -0.8582, 001: -1.4257"
4,2.581918209127428,7,25.81893233552154,"000: -1.3385, 001: -1.3424"
5,3.8537883957371895,15,38.53767150348504,"000: -1.4343, 001: -1.9572"
6,4.685062326602288,24,46.85038341031326,"000: -1.4281, 001: -2.5458"
7,2.587557696211988,11,25.875431842858553,"000: -1.6817, 001: -1.4997"
8,6.60778992106301,410,66.07787128125656,"000: -7.2937, 001: -1.5938"
9,2.644346652880578,11,26.443345281476788,"000: -1.6225, 001: -1.6622"
MEAN,3.8018934383679053,134.5,38.01878106163632,n/a
