episode,sim/wall,total steps,steps/sec,score
0,3.458309478799727,143,34.58307883576168,"001: -0.5477, 003: -1.1108, 000: -0.6518, 002: -1.8496"
1,1.3046043650470907,27,13.046037638819673,"000: -0.9679, 003: -0.7696, 001: -1.0896, 002: -0.6065"
2,2.2201050702807508,76,22.201041425442803,"001: -0.7527, 003: -0.5836, 000: -0.7587, 002: -0.6384"
3,1.6783956756727918,42,16.78394716204756,"000: -0.4416, 003: -0.7094, 001: -0.8188, 002: -1.7292"
4,1.3557915968994254,14,13.557894056325509,"001: -0.8357, 003: -0.6366, 000: -0.7906, 002: -0.7654"
5,1.1936079159818607,30,11.936070101827731,"000: -0.6990, 003: -0.5967, 001: -1.2467, 002: -0.8986"
6,2.171464448576771,55,21.714634265726367,"001: -0.6103, 003: -0.4432, 000: -0.9223, 002: -0.9391"
7,4.3747031007315424,173,43.74701254487882,"000: -0.9720, 003: -0.6636, 001: -0.9323, 002: -1.2278"
8,1.3884663298730644,34,13.884652483854941,"001: -0.3899, 003: -0.2388, 000: -0.6279, 002: -0.7566"
9,1.4179978331041825,19,14.179963192347653,"000: -0.6682, 003: -0.8456, 001: -0.7127, 002: -0.8708"
MEAN,2.0563445814967207,61.3,20.563433170703274,n/a
