episode,sim/wall,total steps,steps/sec,score
0,4.1982503553340145,19,41.98226026946226,"000: -1.1899, 001: -1.4336"
1,4.141843975495203,29,41.418355133605765,"000: -0.9262, 001: -1.6509"
2,4.362238551600481,30,43.622219163749655,"000: -1.3082, 001: -0.7778"
3,3.2138875744691866,61,32.13883941065605,"000: -0.4011, 001: -1.4011"
4,2.8898351310599666,32,28.89829531190319,"000: -0.7354, 001: -0.4803"
5,4.757842153380086,32,47.57821914355629,"000: -0.4196, 001: -0.8388"
6,6.75169079757844,134,67.51684308994061,"000: -1.1883, 001: -1.3990"
7,2.9768212989824256,16,29.768041330859347,"000: -0.6822, 001: -0.7172"
8,3.3347369843797403,32,33.34730356075824,"000: -0.7406, 001: -0.5211"
9,3.0039283148782507,20,30.039218607209463,"000: -0.7144, 001: -0.5539"
MEAN,3.963107513715779,40.5,39.630959502170086,n/a
