episode,sim/wall,total steps,steps/sec,score
0,5.935751790808671,5287,59.357516319239124,"001: -55.2865, 000: -0.9701, 003: -0.9207, 002: -0.6690"
1,1.373048858221632,21,13.73046931873911,"002: -0.8924, 001: -0.5649, 000: -0.8700, 003: -1.1688"
2,1.8931594311923765,51,18.931572530455554,"001: -0.7548, 000: -0.9765, 003: -0.6517, 002: -0.8724"
3,1.8019485150427843,37,18.01946004291065,"002: -1.4233, 001: -0.9103, 000: -0.8427, 003: -0.3940"
4,5.486913320098448,5655,54.86913231247571,"001: -60.1330, 000: -0.5753, 003: -0.6815, 002: -0.3294"
5,6.991914150619611,1242,69.91913493705376,"002: -0.3413, 001: -1.2951, 000: -0.8437, 003: -12.7602"
6,6.2431453720756895,251,62.43142410225759,"001: -1.6450, 000: -1.1891, 003: -2.3173, 002: -0.9516"
7,1.4988813843043214,19,14.988765917332845,"002: -1.0649, 001: -1.9528, 000: -1.2995, 003: -1.0339"
8,1.6737430013030359,30,16.737414428489053,"001: -0.3124, 000: -0.8841, 003: -0.4617, 002: -1.1270"
9,1.3520463915238612,34,13.520454942146685,"002: -0.8779, 001: -0.5529, 000: -0.6324, 003: -1.0388"
MEAN,3.425055221519043,1262.7,34.25053448511001,n/a
