episode,sim/wall,total steps,steps/sec,score
0,4.96051536651973,205,49.60513363257985,"002: -0.6945, 000: -1.9873, 001: -0.6483"
1,5.745264305826675,171,57.4526108429944,"002: -1.3094, 000: -1.9631, 001: -0.8841"
2,6.61093658364446,715,66.10935709242285,"002: -0.4872, 000: -1.3498, 001: -6.5501"
3,1.9624685389663326,26,19.624639478902488,"002: -0.6927, 000: -1.4192, 001: -1.3870"
4,1.6238076433865274,11,16.23803642893268,"002: -0.9923, 000: -0.7930, 001: -0.6762"
5,2.5407162828634777,40,25.407089724019286,"002: -1.0183, 000: -0.4979, 001: -0.5560"
6,4.266404457666032,72,42.6640084121549,"002: -0.7503, 000: -0.8533, 001: -0.5380"
7,5.553532699966572,10000,55.53532641140651,"002: -0.1379, 000: -119.6427, 001: -0.9290"
8,1.8144615576447658,17,18.144578638239896,"002: -0.9900, 000: -0.8249, 001: -0.7388"
9,2.546046201410043,48,25.46043947538947,"002: -0.7362, 000: -0.6065, 001: -0.3856"
MEAN,3.7624153637894624,1130.5,37.62412201370424,n/a
