episode,sim/wall,total steps,steps/sec,score
0,3.3624728149057366,46,33.62468126888402,"000: -0.3694, 001: -0.7471"
1,7.3518805671299,258,73.51877570256829,"000: -2.6759, 001: -1.7810"
2,4.38337440899308,17,43.83344767637722,"000: -0.9158, 001: -1.2115"
3,4.111954535768151,38,41.11940744792144,"000: -1.1621, 001: -1.2167"
4,4.214404955636321,24,42.14392604749305,"000: -0.9249, 001: -0.3240"
5,6.490037673500089,195,64.90032523590851,"000: -2.0261, 001: -0.7479"
6,3.8263021353525564,29,38.26291302523308,"000: -0.7285, 001: -0.6724"
7,3.035180101255793,24,30.35170034511642,"000: -0.5516, 001: -0.4680"
8,5.770197185784246,43,57.701805710190555,"000: -0.8987, 001: -0.4111"
9,5.087118199726122,53,50.871100507090546,"000: -0.9425, 001: 0.0986"
MEAN,4.763292257805199,72.7,47.63280829667831,n/a
