episode,sim/wall,total steps,steps/sec,score
0,7.981981490415661,262,79.8197511288471,000: -2.2724
1,7.990422855906198,125,79.90414331440158,000: -1.2256
2,8.24815734569779,32,82.48126933091453,000: -0.2134
3,8.550356311830368,21,85.50298210735586,000: -0.6420
4,8.568136537395729,23,85.68083267682792,000: -0.8470
5,5.973678265644658,4990,59.73678163344937,000: -138.9476
6,6.007700004673674,2491,60.076997283151826,000: -36.1700
7,8.369748167462651,12,83.69595069866287,000: -1.0414
8,3.584834438000105,662,35.848340214542944,000: -6.4237
9,7.86189758797197,1537,78.61896629187612,000: -26.1880
MEAN,7.3136913004998805,1015.5,73.13660146800302,n/a
