episode,sim/wall,total steps,steps/sec,score
0,1.7586793993758083,31,17.586779721172615,"003: -1.9157, 000: -2.3520, 002: -1.7115, 001: -1.9217"
1,1.3386177805827637,28,13.386170176873577,"003: -2.1124, 000: -2.1373, 002: -2.0455, 001: -1.6456"
2,0.9340775520657415,27,9.340771668429031,"003: -2.1111, 000: -0.5536, 002: -2.8448, 001: -2.6940"
3,2.671080642554032,60,26.71079225022857,"003: -5.1618, 000: -1.9371, 002: -2.1369, 001: -0.8541"
4,1.9233026349595732,33,19.23300764195477,"003: -1.6851, 000: -0.6821, 002: -1.5144, 001: -1.7146"
5,3.169508053874553,58,31.695059891337387,"003: -2.2191, 000: -1.1136, 002: -1.7578, 001: -4.4613"
6,1.8189874745212762,33,18.189862792808007,"003: -1.5012, 000: -2.2683, 002: -2.0518, 001: -3.2338"
7,1.9791058740630858,21,19.79102316537251,"003: -1.8152, 000: -1.0726, 002: -1.7084, 001: -1.4942"
8,1.460104360827463,16,14.601024547585764,"003: -1.2021, 000: -1.4461, 002: -1.5689, 001: -1.8994"
9,1.546936713544489,37,15.469356341475011,"003: -2.3599, 000: -4.6736, 002: -1.9965, 001: -2.3571"
MEAN,1.8600400486368784,34.4,18.600384819723725,n/a
