episode,sim/wall,total steps,steps/sec,score
0,8.054847345396164,15,80.54744221834443,000: -1.9655
1,8.80467281381692,12,88.0459580304101,000: -1.7692
2,9.464322946047792,7,94.64048377322486,000: -1.3921
3,9.082629917235824,15,90.82485686485676,000: -1.7742
4,9.216080357843524,7,92.15877858761638,000: -1.3434
5,9.056959885492887,7,90.56680506628993,000: -1.4252
6,8.418356366811219,16,84.18261325519141,000: -2.0473
7,9.001738943810278,8,90.01400867561412,000: -1.4569
8,8.904788931743392,9,89.04620886340209,000: -1.0495
9,9.17134280243277,7,91.71084969606856,000: -0.8272
MEAN,8.917574031063078,10.3,89.17380050310187,n/a
