,mem_usage,step
0,100,5345050624
1,200,5364850688
2,300,5394972672
3,400,5419638784
4,500,5441294336
5,600,5465448448
6,700,5490872320
7,800,5515616256
8,900,5541183488
9,1000,5573853184
10,1100,5602758656
11,1200,5623185408
12,1300,5643456512
13,1400,5676777472
14,1500,5701001216
15,1600,5734891520
16,1700,5761105920
17,1800,5783269376
18,1900,5803274240
19,2000,5832290304
20,2100,5862019072
21,2200,5890404352
22,2300,5926715392
23,2400,5965578240
24,2500,5988352000
25,2600,6019022848
26,2700,6049595392
27,2800,6079164416
28,2900,6109708288
29,3000,6138859520
30,3100,6169440256
31,3200,6199631872
32,3300,6228430848
33,3400,6257762304
34,3500,6288969728
35,3600,6315003904
36,3700,6341832704
37,3800,6366683136
38,3900,6393217024
39,4000,6419288064
40,4100,6441824256
41,4200,6464520192
42,4300,6502490112
43,4400,6531948544
44,4500,6557249536
45,4600,6581309440
46,4700,6600232960
47,4800,6620774400
48,4900,6641954816
49,5000,6664339456
