,mem_usage,step
0,100,8849010688
1,200,11744358400
2,300,14196936704
3,400,17737084928
4,500,20376670208
5,600,22832345088
6,700,25288253440
7,800,27743719424
8,900,30198575104
9,1000,32653856768
10,1100,35109122048
11,1200,37564641280
12,1300,40023257088
13,1400,43605565440
14,1500,46561755136
15,1600,49162641408
16,1700,51770064896
17,1800,54378926080
18,1900,56988610560
19,2000,59598307328
20,2100,60853104640
21,2200,60857143296
22,2300,60858347520
23,2400,60862889984
24,2500,60859146240
25,2600,60860448768
26,2700,62910095360
27,2800,66045603840
28,2900,68513939456
29,3000,71876001792
30,3100,72190488576
31,3200,72203321344
32,3300,72209571840
33,3400,72214122496
34,3500,72217112576
35,3600,72219205632
36,3700,72222031872
37,3800,72223342592
38,3900,72224915456
39,4000,73561608192
40,4100,75238248448
41,4200,75241656320
42,4300,75248939008
43,4400,75251572736
44,4500,75266396160
45,4600,75270377472
46,4700,75276288000
47,4800,75278602240
48,4900,75273277440
49,5000,75275112448
