,mem_usage,step
0,100,5712183296
1,200,6050729984
2,300,6368243712
3,400,6684393472
4,500,6989430784
5,600,7266562048
6,700,7585607680
7,800,7932444672
8,900,8217174016
9,1000,8534343680
10,1100,8843083776
11,1200,9157296128
12,1300,9462493184
13,1400,9700462592
14,1500,10046648320
15,1600,10305552384
16,1700,10547453952
17,1800,10789629952
18,1900,11059777536
19,2000,11426000896
20,2100,11715194880
21,2200,12062285824
22,2300,12310867968
23,2400,12630536192
24,2500,12927496192
25,2600,13170159616
26,2700,13409435648
27,2800,13689311232
28,2900,14013304832
29,3000,14426726400
30,3100,14775767040
31,3200,15079231488
32,3300,15363989504
33,3400,15648980992
34,3500,15907954688
35,3600,16147017728
36,3700,16381878272
37,3800,16629899264
38,3900,16908382208
39,4000,17249869824
40,4100,17596289024
41,4200,17934028800
42,4300,18322378752
43,4400,18685710336
44,4500,19044966400
45,4600,19356835840
46,4700,19664711680
47,4800,20068823040
48,4900,20410871808
49,5000,20661198848
