,mem_usage,step
0,100,5682843648
1,200,5881536512
2,300,6034108416
3,400,6165966848
4,500,6288654336
5,600,6389055488
6,700,6488420352
7,800,6589599744
8,900,6683971584
9,1000,6770999296
10,1100,6844403712
11,1200,6903922688
12,1300,6964465664
13,1400,7025303552
14,1500,7086366720
15,1600,7145607168
16,1700,7200923648
17,1800,7257022464
18,1900,7310757888
19,2000,7356899328
20,2100,7418798080
21,2200,7466754048
22,2300,7511842816
23,2400,7559548928
24,2500,7603326976
25,2600,7645261824
26,2700,7687467008
27,2800,7729152000
28,2900,7771074560
29,3000,7811706880
30,3100,7853383680
31,3200,7895588864
32,3300,7937789952
33,3400,7975538688
34,3500,8011710464
35,3600,8048599040
36,3700,8084766720
37,3800,8120946688
38,3900,8155549696
39,4000,8191750144
40,4100,8239456256
41,4200,8271699968
42,4300,8301502464
43,4400,8326049792
44,4500,8350257152
45,4600,8374202368
46,4700,8398143488
47,4800,8422088704
48,4900,8444194816
49,5000,8487329792
50,5100,8792272896
51,5200,9006731264
52,5300,9143840768
53,5400,9245466624
54,5500,9347817472
55,5600,9439662080
56,5700,9524129792
57,5800,9608327168
58,5900,9679114240
59,6000,9748324352
60,6100,9814896640
61,6200,9875959808
62,6300,9938849792
63,6400,9998053376
64,6500,10053570560
65,6600,10108305408
66,6700,10162511872
67,6800,10204868608
68,6900,10241183744
69,7000,10276962304
70,7100,10313277440
71,7200,10347741184
72,7300,10377732096
73,7400,10407989248
74,7500,10438242304
75,7600,10468233216
76,7700,10496663552
77,7800,10523504640
78,7900,10553765888
79,8000,10584551424
80,8100,10615074816
81,8200,10645336064
82,8300,10675601408
83,8400,10706124800
84,8500,10736631808
85,8600,10766888960
86,8700,10797154304
87,8800,10827513856
88,8900,10857775104
89,9000,10888294400
90,9100,10918551552
91,9200,10948812800
92,9300,10979069952
93,9400,11009327104
94,9500,11039584256
95,9600,11069849600
96,9700,11098267648
97,9800,11122479104
98,9900,11146940416
99,10000,11206709248
