,mem_usage,step
0,100,5497061376
1,200,5575327744
2,300,5650264064
3,400,5716459520
4,500,5786316800
5,600,5854404608
6,700,5923086336
7,800,5989539840
8,900,6046687232
9,1000,6103703552
10,1100,6261624832
11,1200,6358859776
12,1300,6450343936
13,1400,6535016448
14,1500,6619164672
15,1600,6695178240
16,1700,6773325824
17,1800,6844338176
18,1900,6903189504
19,2000,6957731840
20,2100,7015858176
21,2200,7068692480
22,2300,7134281728
23,2400,7223406592
24,2500,7282376704
25,2600,7335067648
26,2700,7393787904
27,2800,7448268800
28,2900,7514804224
29,3000,7573274624
30,3100,7632244736
31,3200,7692124160
32,3300,7750516736
33,3400,7814881280
34,3500,7858446336
35,3600,7899070464
36,3700,7935258624
37,3800,7978356736
38,3900,8023969792
39,4000,8063553536
40,4100,8102875136
41,4200,8142471168
42,4300,8181780480
43,4400,8221376512
44,4500,8257290240
45,4600,8286904320
46,4700,8306823168
47,4800,8326488064
48,4900,8346411008
49,5000,8408420352
50,5100,8524353536
51,5200,8613126144
52,5300,8668700672
53,5400,8719294464
54,5500,8769626112
55,5600,8819957760
56,5700,8865308672
57,5800,8910659584
58,5900,8953651200
59,6000,8992972800
60,6100,9032294400
61,6200,9071878144
62,6300,9109102592
63,6400,9148948480
64,6500,9181454336
65,6600,9211338752
66,6700,9234145280
67,6800,9244368896
68,6900,9254592512
69,7000,9264816128
70,7100,9274777600
71,7200,9285001216
72,7300,9295224832
73,7400,9305448448
74,7500,9315672064
75,7600,9325895680
76,7700,9335857152
77,7800,9346342912
78,7900,9356566528
79,8000,9366528000
80,8100,9376751616
81,8200,9386975232
82,8300,9397198848
83,8400,9407422464
84,8500,9417646080
85,8600,9427869696
86,8700,9438093312
87,8800,9448579072
88,8900,9458540544
89,9000,9469026304
90,9100,9479249920
91,9200,9489473536
92,9300,9499697152
93,9400,9509920768
94,9500,9520144384
95,9600,9530368000
96,9700,9540853760
97,9800,9551077376
98,9900,9561563136
99,10000,9614077952
