episode,sim/wall,total steps,steps/sec,score
0,0.008999309420220557,100,0.0899930934684658,"026: 0.3133, 073: -6.9938, 066: -1.7060, 039: -1.9503, 011: 2.1015, 034: 2.3761, 001: 2.4119, 032: -0.6582, 033: 2.5090, 037: 2.0578, 052: 0.9618, 059: -0.8172, 058: -1.1648, 064: 2.3678, 044: 2.4208, 022: -0.8119, 025: 2.2535, 003: 2.4200, 005: 2.2051, 031: 2.3976, 071: 2.5607, 061: 1.4212, 072: 0.5468, 019: 2.4128, 020: 2.3293, 006: 1.7230, 016: -0.5868, 045: 0.5048, 002: -0.9806, 068: 2.0638, 063: 2.3706, 008: 2.3634, 015: -1.7182, 027: 2.3361, 036: 2.4071, 041: -0.0425, 047: 2.2387, 018: 2.4065, 060: 2.3178, 023: 0.5756, 062: 2.4317, 049: -0.0485, 035: 2.4473, 000: 2.2545, 009: -0.6490, 010: -0.2752, 053: -0.4258, 043: -1.1505, 056: 2.3093, 046: 2.2429, 057: 2.4962, 021: 2.2776, 065: -0.2712, 007: 1.7585, 024: 2.3747, 038: 0.5398, 028: 2.4446, 067: 2.3208, 055: -0.0707, 054: -0.1300, 040: -0.2444, 051: -0.9996, 070: -11.5146, 030: 2.3898, 012: 2.4951, 014: 2.3202, 029: 2.4613, 042: 2.2075, 004: 2.4690, 050: 0.5728, 074: 2.0706, 017: -1.8250, 069: -1.4379, 013: -4.6345, 048: 2.1532"
1,0.008326012131594151,100,0.08326012072094191,"026: -0.9779, 073: 0.5212, 066: -0.7267, 039: 0.6879, 011: 2.2328, 034: 2.2569, 001: 2.3613, 032: -3.3448, 033: 2.3210, 037: -0.9341, 052: 2.1897, 059: 2.2375, 058: 2.4060, 064: 2.2777, 044: 2.5242, 022: 2.3370, 025: 2.3630, 003: 2.4546, 005: 2.3415, 031: 2.5557, 071: 2.3649, 061: 2.3195, 072: 2.4857, 019: -0.9998, 020: 2.3974, 006: 2.4181, 016: 1.9572, 045: -0.8352, 002: -0.7412, 068: 2.3636, 063: 2.1010, 008: -11.9708, 015: 2.5351, 027: -2.7501, 036: 2.4836, 041: -4.0494, 047: 0.5126, 018: -29.0832, 060: 2.4703, 023: 2.4869, 062: 2.4471, 049: 0.1630, 035: 2.4015, 000: 2.3249, 009: 2.4191, 010: 1.1089, 053: 2.5488, 043: 2.2880, 056: 1.9996, 046: 2.3447, 057: 2.4110, 021: -2.2973, 065: 1.9113, 007: 2.1961, 024: -4.2603, 038: -6.8475, 028: 2.4040, 067: 2.4192, 055: 2.2744, 054: -11.4253, 040: 2.2346, 051: 2.4488, 070: 1.9273, 030: 1.9796, 012: 2.2653, 014: 2.0843, 029: 1.9873, 042: 0.1730, 004: -3.9911, 050: 2.4399, 074: -3.9876, 017: 0.0876, 069: 2.5144, 013: 2.4942, 048: 0.8952"
2,0.008422428842480083,100,0.08422428781594105,"026: -3.3393, 073: 2.4613, 066: 0.1846, 039: 1.8445, 011: 2.4754, 034: 0.2020, 001: -7.9925, 032: 2.3147, 033: -2.2535, 037: 2.3622, 052: 0.5280, 059: 0.7293, 058: -0.9464, 064: 1.8837, 044: 2.3032, 022: 2.3706, 025: 2.5461, 003: 2.3654, 005: 2.4249, 031: -0.1922, 071: 2.2877, 061: -0.3859, 072: 2.3376, 019: 1.7764, 020: 2.6206, 006: 0.9279, 016: 2.0551, 045: 2.3334, 002: 2.4117, 068: -0.6792, 063: -6.1367, 008: 2.4313, 015: 2.3212, 027: 2.3675, 036: 1.9959, 041: -6.3162, 047: 2.2504, 018: 0.7312, 060: 2.3727, 023: 2.3921, 062: 2.4736, 049: 1.9652, 035: 2.5661, 000: 2.4523, 009: 2.3575, 010: 2.3585, 053: 2.4327, 043: 2.1198, 056: -0.2947, 046: 2.1176, 057: -0.8741, 021: -0.3138, 065: 2.5220, 007: 2.3889, 024: -0.1307, 038: 2.3348, 028: 2.5296, 067: 2.5152, 055: 2.3946, 054: -0.3750, 040: -0.4593, 051: -0.8668, 070: 2.2891, 030: 2.5721, 012: 1.7438, 014: 2.3812, 029: 2.6378, 042: 1.2515, 004: 2.4056, 050: -3.7808, 074: -5.1685, 017: 2.4653, 069: -4.3774, 013: 2.4852, 048: 2.4178"
3,0.008091278227800753,100,0.08091278170047547,"026: 2.3478, 073: -4.8752, 066: -1.2998, 039: 2.3280, 011: 2.2236, 034: 2.2979, 001: 0.5948, 032: 2.5022, 033: 2.4161, 037: 2.0925, 052: -0.8229, 059: 2.1695, 058: -0.2044, 064: 2.2069, 044: 2.4827, 022: 2.3989, 025: 2.4198, 003: -0.3056, 005: 2.1227, 031: 2.0046, 071: 2.3555, 061: 2.3400, 072: 2.4041, 019: 1.8323, 020: 2.3575, 006: -0.3492, 016: 1.8150, 045: -0.8535, 002: 1.8074, 068: 2.5108, 063: 2.0489, 008: 1.8766, 015: -0.5907, 027: 2.3981, 036: -0.7068, 041: 2.4060, 047: 2.3817, 018: 0.5916, 060: 2.3016, 023: 2.4787, 062: 2.1732, 049: 2.3967, 035: 0.7592, 000: -0.1803, 009: 2.3027, 010: 2.4192, 053: 2.4190, 043: 2.3538, 056: 2.1500, 046: 2.4652, 057: 2.4137, 021: -0.9410, 065: 2.3277, 007: 2.4353, 024: 1.9180, 038: 0.8316, 028: -2.2402, 067: 2.2764, 055: 2.2801, 054: -3.1593, 040: 2.3848, 051: 2.4601, 070: 2.4902, 030: 2.4314, 012: 2.4011, 014: 2.2271, 029: 2.4216, 042: 2.1364, 004: -0.0578, 050: 2.4495, 074: -6.7345, 017: 2.3260, 069: 2.1483, 013: 2.2945, 048: 0.4907"
4,0.008765510132504168,100,0.08765510062893134,"026: 2.2841, 073: 2.3975, 066: 2.4129, 039: -2.1485, 011: -2.6700, 034: 1.9543, 001: 2.4793, 032: 2.2250, 033: -0.7860, 037: 2.3881, 052: 1.2700, 059: 2.4803, 058: 0.6843, 064: 0.3555, 044: 2.2167, 022: 2.0153, 025: -0.9835, 003: 2.3775, 005: 2.1130, 031: -2.6603, 071: 2.4258, 061: -0.6733, 072: 0.0594, 019: 2.3993, 020: 2.0847, 006: 0.0520, 016: -10.2959, 045: -0.9992, 002: 2.3581, 068: 2.1163, 063: 1.5575, 008: -0.8866, 015: 2.3104, 027: 2.4295, 036: -2.6060, 041: 2.5119, 047: -0.2798, 018: -6.7578, 060: 1.1782, 023: 0.7397, 062: 2.3786, 049: 2.4672, 035: 2.2832, 000: -2.5636, 009: -7.6396, 010: -0.8448, 053: -0.8441, 043: 2.1264, 056: -5.0911, 046: 2.4566, 057: 2.2282, 021: 2.4280, 065: 2.4758, 007: -1.2936, 024: -6.1120, 038: 2.5371, 028: 2.0138, 067: 1.3100, 055: 2.4054, 054: 1.5751, 040: 2.3963, 051: 2.4098, 070: 2.4937, 030: 1.2265, 012: 2.3680, 014: 2.3603, 029: 2.4213, 042: 0.5062, 004: 2.4085, 050: 2.4354, 074: 2.3311, 017: 2.4340, 069: 2.0587, 013: 2.5154, 048: 2.4741"
5,0.0082807835628111,100,0.08280783502320947,"026: 2.3953, 073: -1.6944, 066: -0.7869, 039: 2.4047, 011: -11.4652, 034: -1.3081, 001: 2.3642, 032: -0.7278, 033: 1.6759, 037: 2.3739, 052: 0.0247, 059: 2.4644, 058: 2.2884, 064: 2.3611, 044: 2.3006, 022: 2.1254, 025: 2.3859, 003: 2.4682, 005: 2.1218, 031: 0.9624, 071: 0.9109, 061: 2.4066, 072: -5.8689, 019: -1.1948, 020: 2.3778, 006: 2.2148, 016: -0.4256, 045: -0.9891, 002: 1.8191, 068: 2.2652, 063: 2.4470, 008: -0.6875, 015: 2.1655, 027: 2.4829, 036: 2.5232, 041: 2.3511, 047: 2.5251, 018: 2.4936, 060: -4.5219, 023: 2.3370, 062: 1.4332, 049: 2.0132, 035: 0.9482, 000: -3.5096, 009: 1.9183, 010: 2.4547, 053: 2.3755, 043: 2.5271, 056: 2.4756, 046: 0.0928, 057: 2.3497, 021: 2.3210, 065: 2.5308, 007: -2.0894, 024: 2.2381, 038: 1.0897, 028: 2.4326, 067: -4.3194, 055: -6.3757, 054: 1.9927, 040: 2.4097, 051: 1.5618, 070: 2.3709, 030: 2.4711, 012: 2.3268, 014: 0.3791, 029: 2.4214, 042: 2.3378, 004: 2.3704, 050: 2.4622, 074: 2.3478, 017: -0.9493, 069: 2.4550, 013: -0.0365, 048: 2.2611"
6,0.007865346417875849,100,0.07865346363302887,"026: 2.0698, 073: 2.2867, 066: -0.2446, 039: 0.9438, 011: 2.4771, 034: 2.3650, 001: -1.9517, 032: 2.4799, 033: 2.3028, 037: 1.9837, 052: 2.4501, 059: 2.4051, 058: 2.3594, 064: 2.0156, 044: 2.3386, 022: -1.6008, 025: 2.4437, 003: -2.0721, 005: 2.1579, 031: 2.4458, 071: 2.5135, 061: -3.7523, 072: -5.5895, 019: 2.3619, 020: 2.3378, 006: 2.3303, 016: -1.0204, 045: -1.6907, 002: 2.4403, 068: 2.3361, 063: -2.9296, 008: 2.3638, 015: 2.4740, 027: 1.7819, 036: 2.5135, 041: 2.4551, 047: 2.3958, 018: 2.1950, 060: 2.2535, 023: 2.3287, 062: 2.3876, 049: -3.7566, 035: 2.4477, 000: 2.3541, 009: -0.2652, 010: 2.2765, 053: 2.1035, 043: 2.2760, 056: 2.3990, 046: 2.4415, 057: -0.3709, 021: 2.3199, 065: 1.9427, 007: -0.8536, 024: 2.4263, 038: 2.1842, 028: -0.3289, 067: 2.5187, 055: 2.3945, 054: 2.2712, 040: 0.9815, 051: 2.2544, 070: 2.3430, 030: 2.4728, 012: 1.4648, 014: 2.4578, 029: 2.3511, 042: 1.3179, 004: 2.4672, 050: -0.3743, 074: 2.3311, 017: 2.4033, 069: 2.3590, 013: 2.4955, 048: 2.3634"
7,0.008272431975536535,100,0.08272431915168335,"026: 2.5059, 073: 1.1572, 066: 0.9692, 039: 2.3144, 011: 2.3703, 034: -1.1504, 001: -1.3919, 032: 2.3021, 033: 2.3713, 037: -7.6299, 052: 2.3605, 059: 2.3716, 058: 2.3888, 064: -1.9406, 044: 2.5214, 022: 2.4288, 025: 2.4192, 003: 1.8009, 005: -0.2691, 031: -10.4766, 071: 2.4960, 061: 0.0960, 072: -0.1427, 019: 2.4150, 020: 2.2652, 006: -3.9889, 016: 2.1320, 045: 2.4048, 002: 0.9943, 068: -0.4526, 063: 2.2995, 008: 1.1104, 015: -10.3135, 027: -2.5600, 036: 2.3852, 041: 2.4776, 047: -8.8006, 018: -2.9352, 060: 2.4826, 023: -1.9448, 062: 2.2561, 049: -4.7965, 035: 2.2477, 000: 2.4514, 009: 2.4209, 010: 2.0731, 053: 2.2517, 043: 2.3910, 056: 2.3547, 046: 2.4371, 057: 2.3979, 021: 2.2457, 065: 1.9892, 007: 2.1244, 024: 2.4664, 038: -0.1421, 028: 2.3235, 067: 0.4235, 055: 2.3021, 054: -3.4992, 040: 0.6603, 051: 2.1811, 070: 2.2502, 030: 2.2407, 012: 2.4271, 014: 2.3793, 029: 2.4677, 042: -0.2842, 004: 1.8277, 050: -2.6496, 074: 1.6124, 017: 2.1012, 069: 2.2103, 013: -0.0470, 048: 2.4684"
8,0.008450535629274697,100,0.08450535564576502,"026: -0.1225, 073: 1.8706, 066: 2.2274, 039: 2.3922, 011: 2.3462, 034: 2.5127, 001: -0.0249, 032: 2.4513, 033: 2.3588, 037: 2.4800, 052: -0.0334, 059: 2.3777, 058: 2.3573, 064: 2.2686, 044: 2.4539, 022: 2.3258, 025: 2.3961, 003: 2.3027, 005: 0.2681, 031: 2.3098, 071: 2.4282, 061: 2.3994, 072: 2.3060, 019: -0.6250, 020: 2.4298, 006: 2.3703, 016: -2.8384, 045: -2.7819, 002: 2.4444, 068: -0.1308, 063: 2.3594, 008: 2.3951, 015: 2.3506, 027: 2.3988, 036: -0.6152, 041: 2.4178, 047: 2.4771, 018: 2.1409, 060: -0.6742, 023: 2.2070, 062: 1.9198, 049: -43.0173, 035: -0.0928, 000: 2.3356, 009: 2.3249, 010: 2.3490, 053: -2.7187, 043: -0.5739, 056: 2.4473, 046: 2.2687, 057: -0.6288, 021: -0.3740, 065: 2.3741, 007: 2.3196, 024: -1.0446, 038: -2.7024, 028: 2.4293, 067: 2.4236, 055: 2.5257, 054: 2.2036, 040: 2.4193, 051: 2.2333, 070: 0.2150, 030: 2.2002, 012: 2.4573, 014: -0.6238, 029: 2.1961, 042: 0.0312, 004: 2.4837, 050: 2.4053, 074: -2.9375, 017: 2.2440, 069: 2.4272, 013: 0.3043, 048: 0.2495"
9,0.008222957894668823,100,0.08222957831796308,"026: 2.3436, 073: -5.0234, 066: 2.4459, 039: 2.3655, 011: -6.7223, 034: 2.3608, 001: 1.7466, 032: 2.5132, 033: -0.6482, 037: 1.9650, 052: 2.3693, 059: 2.4001, 058: 2.3021, 064: 2.0538, 044: 2.4194, 022: 1.1559, 025: 2.4512, 003: 2.3717, 005: 2.3094, 031: 2.3456, 071: 2.4689, 061: 0.5492, 072: -5.7850, 019: 0.1678, 020: 0.7580, 006: 2.4567, 016: 2.3848, 045: -1.8622, 002: 2.0701, 068: 2.3655, 063: 1.2714, 008: 0.6136, 015: -4.8623, 027: 2.4381, 036: 2.5041, 041: 0.4759, 047: 2.1040, 018: 2.3413, 060: -0.6541, 023: 2.2991, 062: 0.0175, 049: 2.3633, 035: -0.7998, 000: 1.5305, 009: 0.3572, 010: 2.3788, 053: 2.3138, 043: 2.3586, 056: 2.0866, 046: 2.5062, 057: 0.7304, 021: 2.3862, 065: 2.3842, 007: 2.3170, 024: 0.4494, 038: 2.2562, 028: 1.9203, 067: -2.0686, 055: -1.3826, 054: -3.5319, 040: -0.0015, 051: 2.3415, 070: 2.1830, 030: 2.3890, 012: 2.3726, 014: 2.1647, 029: -1.4805, 042: 2.4199, 004: 2.1931, 050: 1.9850, 074: -1.8586, 017: 2.3915, 069: 0.0944, 013: -1.2643, 048: 0.9594"
