,mem_usage
0,477.21875
1,477.23046875
2,552.265625
3,817.0078125
4,844.30078125
5,872.75390625
6,882.66796875
7,884.9375
8,889.00390625
9,889.421875
10,896.84375
11,899.34375
12,899.34375
13,899.34375
14,899.34375
15,899.34375
16,899.34375
17,900.8671875
18,900.8671875
19,900.8671875
20,900.8671875
21,900.8671875
22,900.8671875
23,900.8671875
24,901.37890625
25,901.89453125
26,902.41015625
27,902.41015625
28,902.41015625
29,902.41015625
30,902.41015625
31,902.41015625
32,902.41015625
33,903.6953125
34,904.015625
35,904.015625
36,904.015625
37,904.015625
38,904.015625
39,904.26953125
40,904.26953125
41,904.26953125
42,905.55859375
43,905.55859375
44,905.55859375
45,905.55859375
46,905.55859375
47,905.55859375
48,905.81640625
49,905.81640625
50,906.07421875
51,906.07421875
52,907.36328125
53,907.36328125
54,907.36328125
55,907.36328125
56,907.36328125
57,907.36328125
58,907.36328125
59,907.36328125
60,908.640625
61,908.640625
62,908.640625
63,908.66796875
64,908.66796875
65,908.66796875
66,908.66796875
67,908.66796875
68,908.66796875
69,908.9140625
70,909.171875
71,909.4296875
72,909.4296875
73,909.4296875
74,909.4296875
75,909.4296875
76,909.4296875
77,909.4296875
78,909.4296875
79,910.71875
80,911.234375
81,911.234375
82,911.234375
83,911.234375
84,911.234375
85,911.234375
86,911.234375
87,911.234375
88,911.4921875
89,911.75
90,912.5234375
91,912.5234375
92,912.5234375
93,912.5234375
94,912.5234375
95,912.5234375
96,912.5234375
97,912.5234375
98,912.5234375
99,912.5234375
100,912.5234375
101,912.5234375
102,912.5234375
103,912.78125
104,913.0390625
105,914.0703125
106,914.84375
107,914.84375
108,914.84375
109,914.84375
110,914.84375
111,914.84375
112,914.84375
113,914.84375
114,914.84375
115,914.84375
116,914.84375
117,915.1015625
118,915.6171875
119,916.1328125
120,917.1640625
121,917.421875
122,917.7890625
123,917.7890625
124,917.7890625
125,917.7890625
126,917.7890625
127,917.7890625
128,917.7890625
129,917.7890625
130,917.7890625
131,917.7890625
132,917.7890625
133,918.0390625
134,919.18359375
135,919.953125
136,919.953125
137,919.953125
138,919.953125
139,919.953125
140,919.953125
141,919.953125
142,919.953125
143,919.953125
144,920.2109375
145,920.2109375
146,920.2109375
147,920.46875
148,921.7578125
149,922.015625
150,922.53125
151,922.53125
152,922.53125
153,922.53125
154,922.53125
155,922.53125
156,922.53125
157,922.53125
158,922.53125
159,922.53125
160,922.53125
161,922.53125
162,923.046875
163,924.3359375
164,924.59375
165,925.125
166,925.125
167,925.125
168,925.125
169,925.125
170,925.37890625
171,925.37890625
172,925.37890625
173,925.37890625
174,925.37890625
175,925.89453125
176,926.15234375
177,927.18359375
178,927.18359375
179,927.18359375
180,927.18359375
181,927.18359375
182,927.18359375
183,927.18359375
184,927.18359375
185,927.18359375
186,927.18359375
187,931.5
188,931.84765625
189,943.28515625
190,937.28125
191,937.30078125
192,937.30078125
193,937.30078125
194,937.3203125
195,937.3203125
196,937.3203125
197,937.51953125
198,937.51953125
199,937.76953125
200,937.76953125
201,937.76953125
202,938.02734375
203,938.02734375
204,938.80078125
205,938.80078125
206,938.80078125
207,939.05859375
208,939.05859375
209,939.83203125
210,940.08984375
211,940.08984375
212,940.08984375
213,940.08984375
214,940.86328125
215,941.1953125
216,941.1953125
217,941.1953125
218,941.1953125
219,942.22265625
220,942.3203125
221,942.3203125
222,942.3203125
223,942.3203125
224,943.08984375
225,943.34765625
226,943.34765625
227,943.34765625
228,943.34765625
229,944.12109375
230,944.12109375
231,944.12109375
232,944.12109375
233,944.12109375
234,944.12109375
235,944.63671875
236,945.15234375
237,945.15234375
238,945.15234375
239,945.15234375
240,945.15234375
241,945.92578125
242,945.92578125
243,945.92578125
244,945.92578125
245,945.92578125
246,946.69921875
247,946.69921875
248,946.69921875
249,946.69921875
250,947.47265625
251,947.47265625
252,947.47265625
253,947.47265625
254,947.73046875
255,948.5
256,948.5
257,948.5
258,948.7578125
259,948.7578125
260,948.7578125
261,948.7578125
262,949.53125
263,949.53125
264,949.53125
265,949.53125
266,949.7890625
267,950.5625
268,950.5625
269,950.5625
270,950.8203125
271,950.8203125
272,951.59375
273,951.59375
274,951.59375
275,951.8515625
276,951.8515625
277,951.8515625
278,952.625
279,952.625
280,952.625
281,952.625
282,952.625
283,953.3984375
284,953.3984375
285,953.3984375
286,953.3984375
287,953.9140625
288,953.9140625
289,953.9140625
290,953.9140625
291,953.9140625
292,953.9140625
293,953.9140625
294,954.9453125
295,954.9453125
296,954.9453125
297,955.203125
298,955.71875
299,955.71875
300,955.71875
301,955.9765625
302,956.4921875
303,956.4921875
304,957.265625
305,957.265625
306,957.265625
307,957.265625
308,957.265625
309,958.0390625
310,958.296875
311,958.296875
312,958.296875
313,959.0703125
314,959.0703125
315,959.0703125
316,959.328125
317,959.328125
318,959.5859375
319,960.359375
320,960.359375
321,960.359375
322,960.61328125
323,960.61328125
324,961.38671875
325,961.38671875
326,961.38671875
327,961.38671875
328,961.90234375
329,961.90234375
330,961.90234375
331,961.90234375
332,961.90234375
333,962.16015625
334,963.19140625
335,963.19140625
336,963.19140625
337,963.296875
338,964.06640625
339,964.06640625
340,964.06640625
341,964.06640625
342,964.32421875
343,964.32421875
344,964.83984375
345,964.83984375
346,964.83984375
347,964.83984375
348,965.35546875
349,965.35546875
350,965.35546875
351,965.35546875
352,965.35546875
353,965.61328125
354,966.38671875
355,966.64453125
356,966.64453125
357,966.64453125
358,967.41796875
359,967.41796875
360,967.41796875
