,mem_usage
0,476.61328125
1,476.6328125
2,689.5703125
3,797.7578125
4,808.1328125
5,858.28515625
6,860.80078125
7,864.71484375
8,865.73828125
9,866.76953125
10,868.27734375
11,869.296875
12,870.06640625
13,870.58203125
14,871.71484375
15,871.953125
16,871.953125
17,872.0859375
18,872.0859375
19,872.2421875
20,872.2421875
21,872.2421875
22,872.2421875
23,872.2421875
24,872.2421875
25,872.58984375
26,873.10546875
27,873.359375
28,873.6015625
29,873.6015625
30,873.6015625
31,873.6015625
32,873.83984375
33,873.83984375
34,873.83984375
35,874.0859375
36,874.0859375
37,874.0859375
38,874.3359375
39,874.84765625
40,875.87890625
41,875.87890625
42,876.11328125
43,876.11328125
44,876.11328125
45,876.11328125
46,876.3515625
47,876.3515625
48,876.3515625
49,876.3515625
50,876.59765625
51,876.59765625
52,876.59765625
53,876.84375
54,876.84375
55,877.6171875
56,878.12890625
57,878.8984375
58,879.15625
59,879.15625
60,879.15625
61,879.41015625
62,879.41015625
63,879.41015625
64,879.41015625
65,879.41015625
66,879.41015625
67,879.6640625
68,879.6640625
69,879.6640625
70,879.6640625
71,879.9140625
72,880.875
73,888.94140625
74,889.8515625
75,890.7265625
76,890.7265625
77,890.7265625
78,890.984375
79,885.77734375
80,885.77734375
81,885.77734375
82,885.77734375
83,885.77734375
84,885.77734375
85,885.77734375
86,885.77734375
87,885.77734375
88,885.77734375
89,885.77734375
90,885.77734375
91,885.77734375
92,886.03125
93,886.2890625
94,886.2890625
95,886.2890625
96,886.2890625
97,886.2890625
98,886.2890625
99,886.546875
100,887.0625
101,887.0625
102,887.0625
103,887.0625
104,887.0625
105,887.0625
106,887.0625
107,887.8359375
108,887.8359375
109,887.8359375
110,887.8359375
111,887.8359375
112,887.8359375
113,887.8359375
114,887.8359375
115,888.3515625
116,888.8671875
117,888.8671875
118,888.8671875
119,888.8671875
120,889.06640625
121,889.06640625
122,889.06640625
123,889.578125
124,890.09375
125,890.09375
126,890.3515625
127,890.3515625
128,890.3515625
129,890.3515625
130,890.609375
131,891.125
132,891.640625
133,891.640625
134,891.8984375
135,891.8984375
136,891.8984375
137,891.8984375
138,892.15625
139,892.4140625
140,892.9296875
141,899.94921875
142,902.203125
143,896.20703125
144,896.20703125
145,898.265625
146,898.265625
147,898.265625
148,898.265625
149,898.265625
150,898.265625
151,898.265625
152,898.265625
153,898.265625
154,898.265625
155,898.265625
156,898.265625
157,898.265625
158,898.265625
159,898.265625
160,898.265625
161,898.78125
162,898.78125
163,898.78125
164,898.78125
165,898.78125
166,898.78125
167,899.5546875
168,899.5546875
169,899.5546875
170,899.5546875
171,899.5546875
172,899.8125
173,899.8125
174,899.8125
175,899.8125
176,899.8125
177,900.0703125
178,900.0703125
179,900.0703125
180,900.0703125
181,900.0703125
182,900.5859375
183,900.5859375
184,900.5859375
185,900.5859375
186,900.5859375
187,900.5859375
188,900.84375
189,901.1015625
190,901.1015625
191,901.1015625
192,901.1015625
193,901.1015625
194,901.359375
195,901.875
196,901.875
197,901.875
198,901.875
199,901.875
200,911.98828125
201,913.82421875
202,907.75
203,907.75
204,907.75
205,907.75
206,907.75
207,907.75
208,907.75
209,907.75
210,907.75
211,907.75
212,907.75
213,907.75
214,907.75
215,907.75
216,907.75
217,907.75
218,907.75
219,907.75
220,907.75
221,908.00390625
222,908.00390625
223,908.00390625
224,908.00390625
225,908.00390625
226,908.51953125
227,908.51953125
228,908.51953125
229,908.51953125
230,908.51953125
231,908.51953125
232,908.51953125
233,908.77734375
234,909.29296875
235,909.29296875
236,909.29296875
237,909.29296875
238,909.29296875
239,909.29296875
240,909.29296875
241,909.5390625
242,909.796875
243,909.796875
244,909.796875
245,909.796875
246,909.796875
247,910.0546875
248,910.3125
249,910.3125
250,910.3125
251,910.3125
252,910.3125
253,910.5703125
254,910.828125
255,910.828125
256,910.828125
257,910.828125
258,910.828125
259,911.6015625
260,911.6015625
261,918.96875
262,921.328125
263,923.984375
264,925.78515625
265,920.6640625
266,920.6640625
267,920.6640625
268,920.6640625
269,920.6640625
270,920.6640625
271,920.6640625
272,920.6640625
273,920.6640625
274,920.6640625
275,920.6640625
276,920.6640625
277,920.6640625
278,920.6640625
279,920.6640625
280,920.6640625
281,920.6640625
282,920.6640625
283,920.6640625
284,920.6640625
285,920.6640625
286,920.6640625
287,920.6640625
288,920.6640625
289,921.17578125
290,921.17578125
291,921.17578125
292,921.17578125
293,921.17578125
294,921.69140625
295,921.69140625
296,921.69140625
297,921.69140625
298,921.69140625
299,922.46484375
300,922.46484375
301,922.46484375
302,922.46484375
303,922.46484375
304,922.98046875
305,922.98046875
306,922.98046875
307,922.98046875
308,922.98046875
309,922.98046875
310,923.49609375
311,923.49609375
312,923.49609375
313,923.49609375
314,924.01171875
315,924.01171875
316,924.01171875
317,924.23828125
318,924.23828125
319,925.0078125
320,925.0078125
321,925.0078125
322,925.0078125
323,925.0078125
324,925.265625
325,925.265625
326,925.265625
327,925.5234375
328,925.5234375
329,926.0390625
330,926.0390625
331,926.296875
332,926.296875
333,926.8125
334,926.8125
335,927.0703125
336,927.0703125
337,929.9296875
338,937.06640625
339,930.86328125
340,930.86328125
341,930.86328125
342,930.86328125
343,930.86328125
344,930.86328125
345,930.86328125
346,930.86328125
347,930.86328125
348,930.86328125
349,930.86328125
350,930.86328125
351,930.86328125
352,930.86328125
353,930.86328125
354,930.86328125
355,930.86328125
356,931.1171875
357,931.1171875
358,931.1171875
359,931.1171875
360,931.1171875
361,931.375
362,931.890625
363,931.890625
364,931.890625
365,931.890625
366,931.890625
367,931.890625
368,932.6640625
369,932.6640625
370,932.6640625
371,932.6640625
372,932.6640625
373,932.6640625
374,933.1796875
375,933.1796875
376,933.1796875
377,933.1796875
378,933.1796875
379,933.1796875
380,933.4375
381,933.953125
382,933.953125
383,933.953125
384,933.953125
385,933.953125
386,934.25390625
387,935.0234375
388,935.0234375
389,935.0234375
390,935.28125
391,935.28125
392,935.28125
393,935.5390625
394,935.56640625
395,935.56640625
396,936.59375
397,936.59375
398,936.59375
399,936.59375
400,936.8515625
401,936.8515625
402,936.8515625
403,937.06640625
404,937.578125
405,938.09375
406,938.26171875
407,938.26171875
408,938.26171875
409,939.76171875
410,947.15234375
411,947.66796875
412,950.640625
413,951.15625
414,951.15625
415,946.07421875
416,946.07421875
417,946.07421875
418,946.07421875
419,946.07421875
420,946.07421875
421,946.07421875
422,946.07421875
423,946.07421875
424,946.07421875
425,946.07421875
426,946.07421875
427,946.07421875
428,946.07421875
429,946.07421875
430,946.07421875
431,946.07421875
432,946.07421875
433,946.07421875
434,946.07421875
435,946.07421875
436,946.07421875
437,946.07421875
438,946.07421875
439,946.07421875
440,946.07421875
441,946.07421875
442,946.07421875
443,946.328125
444,947.359375
445,947.359375
446,947.359375
447,947.359375
448,947.359375
449,947.359375
450,947.359375
451,947.359375
452,947.359375
453,948.1328125
454,948.390625
455,948.390625
456,948.390625
457,948.390625
458,948.390625
459,948.390625
460,948.390625
461,948.390625
462,948.390625
463,949.1640625
464,949.421875
465,949.421875
466,949.421875
467,949.421875
468,949.421875
469,949.421875
470,949.421875
471,949.6796875
472,949.6796875
473,950.7109375
474,950.7109375
475,950.96875
476,950.96875
477,950.96875
478,950.96875
479,950.96875
480,951.2265625
481,951.2265625
482,952.2578125
483,952.2578125
484,952.2578125
485,957.87109375
486,960.125
487,956.0859375
488,957.1171875
489,957.1171875
490,957.1171875
491,957.1171875
492,957.1171875
493,957.1171875
494,957.1171875
495,957.1171875
496,957.1171875
497,957.1171875
498,957.1171875
499,957.1171875
500,957.1171875
501,957.1171875
502,957.1171875
503,957.1171875
504,957.1171875
505,957.375
506,957.375
507,957.375
508,957.375
509,957.375
510,957.890625
511,957.890625
512,957.890625
513,957.890625
514,958.40625
515,958.40625
516,958.40625
517,958.40625
518,958.6640625
519,958.6640625
520,958.6640625
521,958.6640625
522,958.6640625
523,959.1796875
524,959.1796875
525,959.1796875
526,959.1796875
527,959.6953125
528,959.6953125
529,959.6953125
530,959.6953125
531,959.6953125
532,959.953125
533,959.953125
534,959.953125
535,960.46875
536,960.46875
537,960.46875
538,960.46875
539,960.46875
540,960.984375
541,960.984375
542,960.984375
543,960.984375
544,961.5
545,961.5
546,964.2890625
547,969.3203125
548,964.81640625
549,966.1015625
550,967.1328125
551,967.1328125
552,967.1328125
553,967.1328125
554,967.1328125
555,967.1328125
556,967.1328125
557,967.1328125
558,967.1328125
559,967.1328125
560,967.1328125
561,967.1328125
562,967.1328125
563,967.1328125
564,967.1328125
565,967.1328125
566,967.1328125
567,967.1328125
568,967.6484375
569,967.6484375
570,967.6484375
571,967.6484375
572,967.6484375
573,967.6484375
574,967.6484375
575,967.6484375
576,968.1640625
577,968.6796875
578,968.6796875
579,968.6796875
580,968.6796875
581,968.6796875
582,968.6796875
583,968.6796875
584,968.6796875
585,968.6796875
586,968.6796875
587,969.453125
588,969.453125
589,969.453125
590,969.453125
591,969.453125
592,969.453125
593,969.453125
594,969.453125
595,969.453125
596,969.7109375
597,969.7109375
598,970.2265625
599,971.0
600,971.0
601,971.0
602,971.0
603,971.0
604,971.0
605,971.0
606,971.0
607,971.0
608,971.0
609,976.34375
610,977.625
611,979.71875
612,980.4921875
613,980.4921875
614,980.75
615,980.75
616,980.90625
617,976.25390625
618,976.25390625
619,976.25390625
620,976.25390625
621,976.25390625
622,976.25390625
623,976.765625
624,976.765625
625,976.765625
626,976.765625
627,976.765625
628,976.765625
629,976.765625
630,976.765625
631,976.765625
632,977.0234375
633,977.796875
634,977.796875
635,977.796875
636,977.796875
637,977.796875
638,977.796875
639,977.796875
640,977.796875
641,977.796875
642,977.796875
643,977.796875
644,978.0546875
645,978.0546875
646,978.0546875
647,978.3125
648,979.34375
649,979.859375
650,979.859375
651,979.859375
652,979.859375
653,979.859375
654,979.859375
655,979.859375
656,979.859375
657,979.859375
658,979.859375
659,980.1171875
660,980.84375
661,981.35546875
662,981.35546875
663,981.35546875
664,981.35546875
665,981.35546875
666,981.35546875
667,981.35546875
668,981.35546875
669,981.61328125
670,981.61328125
671,982.64453125
672,982.64453125
673,982.90234375
674,982.90234375
675,982.90234375
676,982.90234375
677,983.16015625
678,983.16015625
679,965.2578125
