episode,sim/wall,total steps,steps/sec,score
0,0.42972094465038047,500,4.2972093672562925,"000: -0.1687, 011: 13.6221, 013: -1.1451, 001: 14.0563, 010: 13.9540, 006: -0.0223, 003: 13.4848, 009: 14.2102, 004: 14.4475, 005: -0.8559, 002: 0.1343, 007: 13.7725, 008: 13.6836, 014: 14.0309, 012: 14.4113"
1,0.30923797503389855,192,3.0923796434662307,"000: -2.1549, 011: 3.1474, 013: 3.9897, 001: 5.7206, 010: 5.6999, 006: 5.4788, 003: -0.3123, 009: 5.6372, 004: 5.4123, 005: -11.7696, 002: -0.8838, 007: -0.5945, 008: 4.6479, 014: -1.7629, 012: 4.1622"
2,0.2949659774894488,183,2.949659706882715,"000: 5.2769, 011: 5.1396, 013: 5.3695, 001: 0.3404, 010: 4.9389, 006: 5.2317, 003: -1.5833, 009: 3.9297, 004: 5.3037, 005: 4.9790, 002: -6.9954, 007: 0.0011, 008: 2.9692, 014: 0.9841, 012: -4.6529"
3,0.29293892690385426,145,2.9293891702687156,"000: 4.3436, 011: 3.7343, 013: -0.5431, 001: 2.0435, 010: 2.6413, 006: 4.2626, 003: 4.0952, 009: 0.2327, 004: 4.1303, 005: -10.7531, 002: 4.3253, 007: 4.0303, 008: -6.6925, 014: 0.2444, 012: -3.9920"
4,0.26648454796683885,151,2.664845412392653,"000: 4.5246, 011: 4.0725, 013: 4.2213, 001: 0.6321, 010: 4.5134, 006: -4.4794, 003: -0.9702, 009: 4.5488, 004: -0.9888, 005: -10.7894, 002: 4.0930, 007: 1.0870, 008: 4.4516, 014: 2.2784, 012: 3.8180"
5,0.2724458551739181,320,2.724458496435948,"000: 9.4953, 011: 9.0623, 013: -1.4324, 001: 3.0725, 010: 9.5193, 006: 1.9487, 003: -22.2741, 009: 8.5872, 004: 9.3197, 005: 2.9787, 002: -63.3307, 007: -0.7489, 008: 5.9248, 014: 9.0799, 012: -5.0129"
6,0.26257796182870496,111,2.6257794998128916,"000: 3.4347, 011: -2.5306, 013: 3.1939, 001: 3.3443, 010: 1.6140, 006: -1.4050, 003: 3.2065, 009: 2.6977, 004: 3.2903, 005: 3.2568, 002: -10.3237, 007: -0.8499, 008: -0.1218, 014: 3.3760, 012: 0.4671"
7,0.22956159984427715,263,2.295615960224344,"000: 7.7481, 011: 4.0717, 013: 7.6997, 001: -8.9152, 010: 7.8375, 006: 7.8010, 003: 1.9581, 009: 7.3675, 004: 5.1976, 005: -2.2524, 002: -0.2818, 007: 7.8203, 008: 7.3039, 014: 0.8261, 012: 7.8931"
8,0.27772585206158146,165,2.7772584091635877,"000: -0.8640, 011: -1.3730, 013: 4.7063, 001: -6.4995, 010: 1.0868, 006: 4.7928, 003: 4.8749, 009: -1.6258, 004: 0.6870, 005: 4.4627, 002: -1.6675, 007: 4.9679, 008: 0.3496, 014: 4.6795, 012: -0.8174"
9,0.2589170607408739,103,2.5891704987856294,"000: 2.9380, 011: 2.9895, 013: -7.6549, 001: 1.4599, 010: 0.8470, 006: -11.1529, 003: 0.2491, 009: 3.1426, 004: -2.0393, 005: -3.1239, 002: 0.1420, 007: 3.1610, 008: 1.7639, 014: 2.8887, 012: 3.0918"
10,0.25253126317905567,181,2.5253125645886185,"000: -9.4789, 011: 2.4679, 013: 5.4844, 001: 4.9978, 010: 4.9908, 006: 5.2846, 003: 2.3415, 009: 1.1297, 004: 4.1204, 005: 5.4985, 002: 5.0936, 007: 3.3031, 008: 5.5082, 014: -3.1165, 012: 3.7834"
11,0.2676234537881552,179,2.6762344711035473,"000: 5.1337, 011: 5.0382, 013: 4.3976, 001: 4.9491, 010: 1.7354, 006: 1.0720, 003: 2.6986, 009: 5.3883, 004: -1.2806, 005: -6.1092, 002: 5.1827, 007: 5.2412, 008: -4.6537, 014: -3.5469, 012: 5.3265"
12,0.28259291199790626,125,2.825929013356127,"000: 3.7221, 011: 3.6098, 013: -0.5047, 001: 3.4898, 010: 3.7003, 006: 3.6562, 003: 2.4321, 009: 1.7562, 004: 3.8455, 005: -3.2487, 002: -0.5038, 007: 0.1573, 008: -1.9995, 014: -4.5761, 012: 3.7366"
MEAN,0.28440956389683797,201.3846153846154,2.844095554902869,n/a
