,mem_usage,step
0,4929531904,100
1,4939022336,200
2,5139324928,300
3,5148258304,400
4,6033973248,500
5,6145961984,600
6,6154072064,700
7,6175318016,800
8,6183964672,900
9,6152384512,1000
10,6210961408,1100
11,6231130112,1200
12,6239780864,1300
13,6248468480,1400
14,6267592704,1500
15,6275379200,1600
16,6306586624,1700
17,6327816192,1800
18,6336466944,1900
19,6344712192,2000
20,6353240064,2100
21,6371586048,2200
22,6380249088,2300
23,6401597440,2400
24,6440398848,2500
25,6449573888,2600
26,6458224640,2700
27,6467141632,2800
