,mem_usage,step
0,4968542208,100
1,5017464832,200
2,5259337728,300
3,5284982784,400
4,6215106560,500
5,6353940480,600
6,6376189952,700
7,6461091840,800
8,6471991296,900
9,6554267648,1000
10,6613377024,1100
11,6646743040,1200
12,6706696192,1300
13,6741102592,1400
14,6798712832,1500
15,6857568256,1600
16,6939811840,1700
17,6963019776,1800
18,7022575616,1900
19,7056211968,2000
20,7116025856,2100
21,7210864640,2200
22,7232102400,2300
23,7254941696,2400
24,7358582784,2500
25,7393980416,2600
26,7453351936,2700
27,7487561728,2800
