episode,sim/wall,total steps,steps/sec,score
0,0.17801980105645268,221,1.780197990051219,"021: 6.0172, 018: 6.3256, 015: -4.6423, 008: 6.6140, 017: -1.6478, 025: -0.1686, 007: 3.0167, 026: -0.9306, 009: 6.5652, 003: 6.3848, 013: -2.3423, 028: 6.3086, 020: 6.6250, 022: 3.2279, 023: 4.4307, 014: 6.1571, 011: 4.3194, 024: -4.0612, 029: 6.3985, 000: 3.1423, 010: 6.6479, 019: 6.3501, 004: 6.4741, 002: 1.4497, 001: 6.4300, 016: 0.8493, 005: -6.1967, 006: 0.0152, 012: 6.4724, 027: 6.5270"
1,0.1833287558606562,213,1.8332875397964372,"021: -50.8017, 018: -1.5307, 015: -86.7313, 008: 0.1317, 017: -1.0087, 025: -6.0243, 007: 6.0329, 026: 5.8290, 009: 5.7823, 003: 1.3190, 013: 2.9729, 028: 6.0055, 020: 2.9420, 022: -10.8271, 023: 6.4233, 014: 6.0837, 011: 2.1037, 029: 6.1879, 024: 6.0530, 010: 6.1719, 000: 2.5343, 019: 6.1231, 004: -0.3222, 002: 5.6599, 001: -0.8466, 016: -39.3085, 005: -29.7327, 006: -3.9657, 012: 6.2129, 027: 6.0465"
2,0.1572399785530759,129,1.5723997535436958,"021: 3.7318, 018: 2.8112, 015: 3.4563, 008: -20.3746, 017: 3.5636, 025: 2.6597, 007: -0.9257, 026: 3.7753, 009: 0.9894, 003: -6.6617, 013: 3.8973, 028: 2.7989, 020: -3.0099, 022: 3.7403, 023: -1.6276, 014: 2.6191, 011: 3.8093, 024: 3.7255, 029: 1.0597, 000: 3.8545, 010: 3.7016, 019: -0.9434, 004: 1.4096, 002: 3.6010, 001: 0.6621, 016: 3.5661, 005: 3.7379, 006: 2.1728, 012: 3.7814, 027: -12.2876"
3,0.1423071144685236,196,1.4230711299047574,"021: 5.7189, 018: -0.7232, 015: 5.4641, 008: -0.9501, 017: -0.7399, 025: 5.8266, 007: 5.8006, 026: -11.2884, 009: -0.8428, 003: 5.6221, 013: -10.0234, 028: 5.6308, 020: 5.0913, 022: 5.6336, 023: 5.5385, 014: -7.6353, 011: 4.5872, 029: 6.0175, 024: 5.5646, 010: -2.3869, 000: 5.4499, 019: 5.8124, 004: 0.2991, 002: -3.5328, 001: -5.6622, 016: 5.6938, 005: 5.8700, 006: 5.9923, 012: 1.5308, 027: -9.0070"
4,0.13225093969598464,435,1.3225093902494773,"021: -41.4237, 018: 12.6732, 015: 12.3575, 008: 9.5209, 017: 11.4619, 025: 8.0971, 007: -71.6092, 026: -10.4994, 009: 11.4437, 003: 2.0314, 013: 11.6017, 028: 12.3337, 020: 8.2964, 022: 12.0323, 023: 12.2489, 014: -0.7973, 011: -3.3472, 024: 12.2010, 029: -6.9395, 000: 3.8104, 010: 12.3902, 019: 11.8741, 004: 12.4549, 002: 2.0887, 001: 12.4997, 016: 12.2914, 005: -1.6420, 006: 12.4079, 012: -0.5683, 027: 12.4210"
5,0.1223473314243457,235,1.2234733051314828,"021: 7.1153, 018: -3.0942, 015: 6.9072, 008: 1.5350, 017: 6.7491, 025: -2.0643, 007: 6.6311, 026: 0.6037, 009: 6.8985, 003: 3.0324, 013: 1.0096, 028: 3.8226, 020: 6.9752, 022: 3.0613, 023: 3.4986, 014: 5.4173, 011: 0.1047, 029: 7.0305, 024: 7.0492, 010: 6.7040, 000: 7.1414, 019: 6.9243, 004: -0.3520, 002: 6.7835, 001: -8.1825, 016: -1.9957, 005: 6.4164, 006: 6.9544, 012: 7.0480, 027: 6.9847"
6,0.1325143089748988,144,1.3251430723046536,"021: 4.3484, 018: 4.2811, 015: -0.5633, 008: -0.5845, 017: -0.6217, 025: 4.1291, 007: 4.2299, 026: 4.0640, 009: 3.9460, 003: -0.8377, 013: -1.8881, 028: -0.2985, 020: -4.4971, 022: -1.4293, 023: 3.5586, 014: -5.3293, 011: 4.1565, 024: 0.0034, 029: 0.1712, 000: -15.9024, 010: 4.3529, 019: -0.5866, 004: 4.3399, 002: 4.1967, 001: -9.3938, 016: 3.8865, 005: 3.9873, 006: 4.3671, 012: 4.2371, 027: 4.2823"
7,0.12286534255850315,242,1.2286534166615408,"021: 1.4251, 018: 1.6373, 015: -7.3026, 008: 1.1714, 017: -2.5203, 025: 7.1677, 007: 7.0846, 026: 1.9625, 009: 6.8033, 003: 6.9272, 013: -1.6653, 028: 6.5129, 020: -1.8630, 022: 7.1830, 023: 6.7036, 014: 7.2048, 011: 6.9560, 029: 7.1360, 024: 2.8060, 010: 6.7392, 000: 2.9352, 019: 1.3442, 004: 6.9688, 002: 6.7776, 001: -0.7898, 016: -0.7332, 005: 7.1008, 006: 6.9918, 012: 7.0307, 027: 6.9709"
8,0.12735818713822422,196,1.2735818575709026,"021: 5.5105, 018: -6.1963, 015: 5.8742, 008: 5.2753, 017: 0.2107, 025: -3.0859, 007: -3.7618, 026: 5.6393, 009: -0.9710, 003: 5.8404, 013: 5.6749, 028: 5.7106, 020: -5.3379, 022: 5.6684, 023: -1.0077, 014: 5.0789, 011: 5.7677, 024: 5.5452, 029: 5.5887, 000: 5.7794, 010: 1.8603, 019: -15.0970, 004: 5.8201, 002: 5.6768, 001: 5.0561, 016: -0.7730, 005: 5.7777, 006: -2.2409, 012: -7.7134, 027: 2.2992"
9,0.12376577740682868,216,1.2376577622328162,"021: -16.0415, 018: 4.6055, 015: 4.3297, 008: 6.4416, 017: 1.9238, 025: 1.4759, 007: 5.9346, 026: 6.1600, 009: -0.9228, 003: 5.5318, 013: 6.3312, 028: -2.0734, 020: 3.9651, 022: 5.8714, 023: 6.1344, 014: 0.1874, 011: 4.5577, 029: 5.9827, 024: 5.5880, 010: 6.4604, 000: 0.3633, 019: 6.0805, 004: 5.9837, 002: -5.2347, 001: 6.3368, 016: 0.3468, 005: 6.1997, 006: 2.7803, 012: -2.3525, 027: 6.1996"
