,mem_usage,step
0,5877682176,100
1,7378612224,200
2,7981285376,300
3,8594452480,400
4,9254699008,500
5,9848803328,600
6,10464743424,700
7,11060760576,800
8,11585024000,900
9,12261699584,1000
10,12818386944,1100
11,13427118080,1200
12,14053720064,1300
13,14658654208,1400
14,15278194688,1500
15,15873191936,1600
16,16507273216,1700
17,16990244864,1800
18,17662124032,1900
19,18277650432,2000
20,18913886208,2100
21,19532935168,2200
22,20158046208,2300
23,20782653440,2400
24,21421256704,2500
25,21985619968,2600
