episode,sim/wall,total steps,steps/sec,score
0,0.12704458621807055,208,1.2704458510802616,"029: 6.1024, 039: -1.7714, 041: -0.0595, 001: 0.2931, 024: -2.6819, 025: -0.7137, 008: -1.4764, 040: 6.1686, 012: 6.3395, 000: -0.6982, 023: 3.8829, 019: -0.9083, 016: 5.8163, 021: 5.7854, 004: 6.1715, 044: 5.8500, 037: 5.6712, 005: -11.6441, 035: 0.2444, 006: 5.8484, 043: -1.0271, 042: 5.6614, 013: -3.4798, 007: 5.5489, 027: 6.1672, 011: 6.1485, 009: 2.1275, 014: 6.0741, 026: 6.0682, 032: -0.6586, 017: -1.6429, 020: 6.0108, 015: -8.0989, 031: 4.2812, 033: 5.6358, 010: 6.1451, 022: 3.5514, 018: 6.2364, 003: 6.0215, 030: 6.0635, 028: 5.7190, 036: 3.5981, 002: -8.1410, 034: 6.0996, 038: 5.0274"
1,0.13126465539586005,251,1.312646544138561,"029: 7.4040, 039: 7.1714, 041: -10.1992, 001: 6.8162, 024: 6.7919, 025: -2.1715, 008: -10.7697, 040: -15.1639, 012: -6.5784, 000: 7.2724, 023: -11.1161, 019: 6.4203, 016: 7.0634, 021: 7.2923, 004: 6.7648, 044: 6.9191, 037: 7.2514, 005: 7.3009, 035: 7.4496, 006: 1.0799, 043: -7.4429, 042: 7.1723, 013: 7.5310, 007: 7.3795, 027: 7.1732, 011: -6.2701, 009: 7.6248, 014: 6.8764, 026: -5.5628, 032: 0.7858, 017: -4.9997, 020: -5.7079, 015: -3.9906, 031: -0.9858, 033: 7.2214, 010: 7.1011, 022: -3.7552, 018: 7.3136, 003: 7.1582, 030: -0.8038, 028: 1.9164, 036: 7.3079, 002: -1.2798, 034: 7.3093, 038: 6.7923"
2,0.10048177985427256,236,1.0048177924226895,"029: 7.0573, 039: 3.1833, 041: 7.0791, 001: 6.6531, 024: 6.5872, 025: 6.9931, 008: -2.9914, 040: -3.6543, 012: -29.4805, 000: -8.3859, 023: 6.7021, 019: 6.7391, 016: 6.9460, 021: 6.6077, 004: -1.9448, 044: 6.7737, 037: 6.2130, 005: 6.9018, 035: 6.3181, 006: 6.9471, 043: 6.9614, 042: 6.0274, 013: -13.8621, 007: 6.6070, 027: -1.8574, 011: 4.0809, 009: -0.8453, 014: -7.6214, 026: -11.1982, 032: 3.1290, 017: -0.7314, 020: 5.4881, 015: -1.0829, 031: 2.9186, 033: 7.0982, 010: -2.6169, 022: 7.2676, 018: 6.7332, 003: 6.8826, 030: 6.7862, 028: -1.3689, 036: 6.5186, 002: 4.8556, 034: 5.0480, 038: -1.1151"
3,0.09442781381737476,356,0.9442781351879527,"029: 10.2336, 039: -1.5771, 041: 1.3307, 001: 10.1500, 024: 9.9196, 025: 9.7841, 008: -6.9751, 040: 2.4981, 012: -0.6950, 000: -0.3575, 023: 10.3936, 019: -7.6931, 016: -5.3270, 021: 10.0770, 004: 10.1286, 044: -3.0974, 037: -2.9924, 005: -220.7162, 035: 9.9475, 006: 10.0957, 043: 10.1903, 042: 3.3040, 013: 10.2626, 007: 10.4126, 027: -13.6898, 011: -0.4920, 009: -4.4239, 014: 2.4167, 026: 9.8786, 032: 10.5514, 017: 10.1070, 020: 10.3666, 015: 10.3848, 031: 9.6186, 033: 9.7238, 010: -2.0384, 022: 10.0125, 018: 9.7529, 003: -5.0686, 030: 8.7861, 028: 10.2613, 036: 4.0536, 002: 9.8961, 034: 10.1717, 038: 10.6385"
4,0.09041716780695366,104,0.9041716686986959,"029: 3.0369, 039: -0.7870, 041: -17.9013, 001: 0.7096, 024: -4.4842, 025: 3.1576, 008: 3.1861, 040: 2.6785, 012: -4.3608, 000: 2.9723, 023: -4.0808, 019: 2.9437, 016: 3.1653, 021: 3.0759, 004: 3.0384, 044: 3.1934, 037: 0.2850, 005: 3.0193, 035: -0.3602, 006: 3.1886, 043: 2.9568, 042: 2.9913, 013: 2.7375, 007: -0.8401, 027: 3.0297, 011: 3.1800, 009: 2.8746, 014: -0.9749, 026: -0.8736, 032: -6.5286, 017: -1.4501, 020: -0.3055, 015: -0.2002, 031: 3.1616, 033: 2.7181, 010: -0.4772, 022: 3.1608, 018: -2.1456, 003: -0.3939, 030: 2.8681, 028: 2.6580, 036: 0.2974, 002: 3.0924, 034: 3.1415, 038: -1.0140"
5,0.0812858368245355,165,0.8128583625169045,"029: 4.7835, 039: 4.7507, 041: 2.1804, 001: -2.9083, 024: 4.9449, 025: 5.1444, 008: 4.6610, 040: -0.7707, 012: 4.8153, 000: 4.3129, 023: -2.0423, 019: 0.7278, 016: -0.7570, 021: 4.6811, 004: 3.1273, 044: -0.2034, 037: 4.7519, 005: 4.8797, 035: 4.8393, 006: 1.9545, 043: 0.5544, 042: -16.6303, 013: 4.6527, 007: 4.8181, 027: 4.7935, 011: 4.2948, 009: 4.7734, 014: 4.1461, 026: 4.5737, 032: 4.3849, 017: 4.2634, 020: 4.9269, 015: 4.8387, 031: -1.4733, 033: -2.4743, 010: -10.3919, 022: 4.9764, 018: 4.8922, 003: 4.3990, 030: 1.3104, 028: -3.4533, 036: -3.2821, 002: -1.5265, 034: 4.7445, 038: -4.3421"
6,0.09008889217569628,150,0.900888914016934,"029: -0.3622, 039: -1.9543, 041: 4.4677, 001: 4.2416, 024: 3.8147, 025: -3.7250, 008: 4.1732, 040: -4.2088, 012: -0.9194, 000: -0.3824, 023: 4.3117, 019: 0.4328, 016: 4.3347, 021: 4.0753, 004: 4.4982, 044: 4.4586, 037: 4.5139, 005: -2.2912, 035: 2.1754, 006: -0.1219, 043: 4.3860, 042: 4.2825, 013: 0.5820, 007: -0.3007, 027: 4.0645, 011: 4.3830, 009: 2.8429, 014: 3.9915, 026: 4.4914, 032: 4.1685, 017: -0.0052, 020: 1.4538, 015: -2.5238, 031: -9.0171, 033: 4.0577, 010: 3.8692, 022: 4.0901, 018: 3.9532, 003: 4.3378, 030: -0.3316, 028: 3.8344, 036: 4.3452, 002: -0.3532, 034: -8.0102, 038: 4.3542"
7,0.08182949223140361,128,0.81829491358336,"029: -0.8571, 039: 3.7448, 041: 0.2926, 001: 0.6322, 024: 3.7863, 025: -4.7934, 008: -1.4204, 040: 3.8681, 012: 3.7773, 000: -10.6595, 023: 3.4386, 019: 3.7225, 016: -1.1991, 021: -0.1274, 004: 3.6478, 044: 1.8165, 037: -0.9755, 005: -16.4253, 035: 3.8783, 006: 3.7978, 043: 3.5857, 042: 2.8891, 013: 3.7397, 007: 3.8221, 027: 1.9337, 011: -0.9958, 009: 1.7549, 014: 3.3427, 026: 3.6082, 032: -5.6652, 017: 3.5535, 020: 0.5616, 015: 3.8507, 031: 2.7305, 033: 3.1379, 010: 3.8907, 022: -0.7781, 018: 3.8127, 003: 3.2320, 030: 3.7079, 028: 1.7739, 036: -0.0955, 002: 3.7750, 034: 3.6472, 038: 3.4734"
8,0.08311740817151275,155,0.8311740732138858,"029: -0.7012, 039: 4.2741, 041: 4.5490, 001: 4.4622, 024: 3.3705, 025: 4.6122, 008: 4.0392, 040: -1.8109, 012: -2.9645, 000: -1.7182, 023: 3.2624, 019: 4.5848, 016: -5.9954, 021: 4.6258, 004: 4.4151, 044: 4.6229, 037: 3.4306, 005: 2.9634, 035: 2.2151, 006: -0.7767, 043: -4.2545, 042: 4.6243, 013: 4.4497, 007: 3.8310, 027: 4.4338, 011: 4.5568, 009: 0.3674, 014: -0.6996, 026: -11.1847, 032: -1.3381, 017: 4.2431, 020: 3.8801, 015: 4.4126, 031: -0.3131, 033: 4.5265, 010: 4.2039, 022: -4.6483, 018: 4.5429, 003: 2.7428, 030: 1.2093, 028: 4.5847, 036: 4.1773, 002: 2.5831, 034: -1.6575, 038: 4.4089"
9,0.08403205059816712,165,0.8403204998596149,"029: 3.1146, 039: 4.7046, 041: 4.9460, 001: -3.9412, 024: 0.3490, 025: 0.7084, 008: 4.5363, 040: -8.7470, 012: 0.3638, 000: -0.4800, 023: -5.1389, 019: -1.4293, 016: 4.8241, 021: 4.8944, 004: 2.4709, 044: 4.8045, 037: 4.3043, 005: 4.8125, 035: 4.7958, 006: -4.0059, 043: 2.4179, 042: 4.8263, 013: -0.5210, 007: -5.8576, 027: 4.4270, 011: -9.6228, 009: 3.1052, 014: 4.6721, 026: 4.1371, 032: 4.2589, 017: 4.8890, 020: 3.1329, 015: 4.9052, 031: 4.9679, 033: -2.1437, 010: 4.9825, 022: -0.1276, 018: -5.3772, 003: 4.9093, 030: 0.0288, 028: 5.0649, 036: 4.9377, 002: -4.4023, 034: 3.9832, 038: 2.3411"
