episode,sim/wall,total steps,steps/sec,score
0,0.12359552071515528,174,1.2359551924996393,"015: -1.4951, 026: 5.0697, 003: 0.0234, 022: 5.0789, 041: -2.4473, 006: 4.9944, 027: -5.8917, 034: 4.1242, 000: -0.7547, 012: 5.2652, 013: 0.0498, 005: -13.2388, 032: -0.5508, 008: 4.9637, 025: -0.7572, 004: 5.2285, 016: 4.8006, 018: 4.1542, 009: 5.2628, 028: 4.7958, 038: 4.6242, 020: 5.0813, 010: 0.4708, 019: -1.3391, 039: -1.7631, 001: 5.2190, 011: 4.7819, 017: -1.6430, 033: 4.4437, 043: -1.0303, 014: 5.0510, 036: 3.3531, 023: 4.6064, 037: 4.7886, 040: 0.4662, 035: 5.2226, 021: 4.9191, 044: 5.0765, 002: 0.6364, 024: 4.9149, 031: 5.0617, 029: 5.2490, 030: 5.1521, 042: 4.7802, 007: 4.6275"
1,0.12835819922149186,145,1.283581978669597,"015: -4.0112, 026: -6.2396, 003: 3.8720, 022: -3.7580, 041: 3.8341, 006: -0.9859, 027: 4.3198, 034: 4.2483, 000: 4.2711, 012: -0.9639, 013: 4.4653, 005: 4.2913, 032: 0.9944, 008: -10.9221, 025: -5.1477, 004: 3.6351, 016: 4.1988, 018: 0.7006, 009: 4.2380, 028: 4.2827, 038: 3.7659, 020: -5.6105, 010: 3.7402, 019: -7.9941, 039: 4.3388, 001: 4.1587, 011: -6.1909, 017: -4.0436, 033: 4.2336, 043: -2.7643, 014: 3.8996, 036: 4.3192, 023: -11.8049, 037: 4.1744, 040: 4.1032, 035: 4.2743, 021: -1.0038, 044: 4.2119, 002: -6.9773, 024: 4.1098, 031: -8.7576, 029: -0.9716, 030: -0.9831, 042: 4.3030, 007: 4.2809"
2,0.11524138113793235,245,1.1524138049174133,"015: -1.2072, 026: -11.2015, 003: 7.0478, 022: 7.1725, 041: 7.2718, 006: -13.0242, 027: 2.9073, 034: 6.4667, 000: -7.8685, 012: 7.0688, 013: -8.9120, 005: 3.9529, 032: 7.2235, 008: -1.3650, 025: 7.3814, 004: -3.6371, 016: 7.3576, 018: 0.1575, 009: -0.8388, 028: 6.1135, 038: 7.3288, 020: 0.7263, 010: -0.7455, 019: 7.2396, 039: 7.1079, 001: 6.9186, 011: 0.5574, 017: -0.7448, 033: 7.2514, 043: 7.3755, 014: -12.3848, 036: 6.7696, 023: 6.7467, 037: 6.6005, 040: -4.7207, 035: 6.5982, 021: 7.1059, 044: 7.2924, 002: 6.6078, 024: 6.8081, 031: 2.0043, 029: 7.0693, 030: 6.7718, 042: 6.9152, 007: 6.8073"
3,0.09644065296680338,238,0.9644065240777394,"015: 6.5269, 026: 7.1060, 003: -5.9275, 022: 7.1981, 041: 1.8223, 006: 6.5272, 027: 6.8958, 034: -2.0889, 000: 6.6340, 012: -0.2308, 013: 7.1133, 005: -55.1255, 032: 7.1563, 008: -6.9272, 025: 1.7583, 004: 7.2860, 016: 6.8329, 018: 7.1555, 009: 6.9302, 028: 7.0979, 038: 6.9169, 020: 6.9559, 010: -2.0385, 019: -7.1479, 039: 1.0677, 001: 6.4570, 011: -2.9009, 017: 6.7670, 033: 6.5044, 043: 0.2472, 014: 1.1592, 036: 4.9497, 023: 6.8439, 037: 5.6012, 040: 6.9134, 035: 6.9875, 021: 6.9240, 044: -3.1209, 002: 7.0054, 024: 7.0019, 031: 6.4463, 029: 1.8459, 030: -4.8165, 042: 0.9736, 007: 0.3576"
4,0.08316860630786481,146,0.8316860563013383,"015: 0.7786, 026: -3.6475, 003: 4.3757, 022: 4.1600, 041: -0.8681, 006: 4.1821, 027: -0.0961, 034: 4.2776, 000: 4.1608, 012: 4.3345, 013: 2.1399, 005: 4.2217, 032: -6.7926, 008: 4.3240, 025: 4.2656, 004: 4.0691, 016: 4.3277, 018: -0.3196, 009: 4.2407, 028: 2.1572, 038: 3.1813, 020: 0.0574, 010: 4.2584, 019: 1.0166, 039: -0.7847, 001: 1.0360, 011: 4.3550, 017: 4.1854, 033: 2.3344, 043: 2.0142, 014: -1.8221, 036: -0.3881, 023: -3.3558, 037: 0.3658, 040: 4.1857, 035: 2.5152, 021: 0.6624, 044: 4.3517, 002: 4.5679, 024: -4.5562, 031: 4.3461, 029: 4.2824, 030: 4.1057, 042: 4.2339, 007: -0.8498"
5,0.07620528245246806,178,0.7620528198576408,"015: 1.0987, 026: 5.2025, 003: 5.1410, 022: 5.2681, 041: 1.2027, 006: 1.9173, 027: 5.5067, 034: 1.7377, 000: 1.3410, 012: 1.1674, 013: 5.2049, 005: 5.3568, 032: 4.6497, 008: 4.6606, 025: 5.2868, 004: 2.6292, 016: -1.4728, 018: 5.2147, 009: 2.5772, 028: 5.2175, 038: 4.8636, 020: 5.2201, 010: -0.4957, 019: 4.6838, 039: 5.1759, 001: 1.5833, 011: 5.0536, 017: 4.4143, 033: -0.4498, 043: 0.8075, 014: 3.8852, 036: 5.0326, 023: -2.0423, 037: 5.0216, 040: -0.7786, 035: 5.2969, 021: 5.1400, 044: 5.0218, 002: -1.5287, 024: 5.1979, 031: -2.4900, 029: 5.4210, 030: -1.1697, 042: 1.3688, 007: 5.0977"
6,0.07789025345470112,244,0.7789025303973318,"015: -2.5212, 026: 7.5370, 003: -0.1118, 022: 7.0400, 041: 7.2715, 006: 6.6296, 027: 6.8771, 034: -7.9834, 000: -0.0624, 012: -0.9237, 013: 6.8595, 005: -10.6211, 032: 7.0088, 008: 7.0739, 025: 6.9671, 004: 7.3415, 016: 6.9206, 018: 2.0782, 009: -5.9868, 028: 1.7045, 038: 6.8272, 020: 2.8733, 010: 6.4432, 019: 3.0931, 039: -78.1333, 001: 7.0811, 011: 6.9234, 017: 0.2097, 033: 3.2205, 043: 6.2298, 014: 6.8077, 036: 6.0774, 023: 1.4993, 037: 6.9870, 040: -3.3595, 035: -2.2139, 021: 1.3884, 044: 6.7107, 002: 6.8885, 024: 2.8412, 031: 7.2006, 029: -0.0668, 030: 7.0385, 042: 7.1219, 007: 6.7383"
7,0.07879801973520295,182,0.7879801924716842,"015: 5.4880, 026: 5.0465, 003: 5.0794, 022: -0.7782, 041: 0.3112, 006: 5.3615, 027: -7.0535, 034: 5.4466, 000: 0.6223, 012: 5.2193, 013: 2.6143, 005: -25.5268, 032: 1.2845, 008: -1.4161, 025: -5.1810, 004: 5.1382, 016: 5.3191, 018: 5.3361, 009: 1.4835, 028: 5.4290, 038: 5.0367, 020: 5.1748, 010: 5.2545, 019: 2.9739, 039: 5.4275, 001: 4.8865, 011: -0.9746, 017: 5.3809, 033: 3.7170, 043: 3.5081, 014: 4.6763, 036: 5.3718, 023: 0.4158, 037: -0.9976, 040: 5.1456, 035: 5.2516, 021: 5.1998, 044: -9.2174, 002: 0.0765, 024: 5.3824, 031: 5.1437, 029: 2.9023, 030: 0.1256, 042: 5.2124, 007: 5.3504"
8,0.08308547228801574,179,0.8308547155244027,"015: 5.2700, 026: -11.3165, 003: 5.2313, 022: 0.2542, 041: 5.3543, 006: -0.7787, 027: 4.9823, 034: -29.0674, 000: -1.8976, 012: 5.0177, 013: 1.1415, 005: -1.2722, 032: 0.4338, 008: 4.8701, 025: 5.0571, 004: 4.4156, 016: -8.0912, 018: 5.1047, 009: -4.3214, 028: 4.4295, 038: -0.2882, 020: 1.3067, 010: 4.9262, 019: 5.2390, 039: 4.8742, 001: 5.3679, 011: 5.1153, 017: 1.2160, 033: 5.4656, 043: -1.7627, 014: -0.5580, 036: 4.2411, 023: 5.1124, 037: 4.7444, 040: 5.2496, 035: -0.8212, 021: 5.2863, 044: 5.4048, 002: 4.9120, 024: 5.0842, 031: -0.3559, 029: -0.5172, 030: 1.5420, 042: 5.3369, 007: 4.6240"
9,0.08295593872544911,163,0.8295593781952887,"015: 4.8187, 026: 4.3199, 003: 4.7378, 022: -20.4631, 041: 4.8591, 006: -3.9891, 027: 4.2733, 034: 4.2475, 000: -0.7673, 012: -0.0911, 013: -0.7645, 005: 4.7763, 032: 2.8263, 008: 4.4285, 025: 4.3456, 004: 1.8268, 016: 4.6743, 018: -5.0528, 009: 0.9414, 028: 4.8492, 038: 4.8922, 020: 4.6687, 010: 2.3859, 019: -1.4256, 039: 4.7905, 001: -3.9080, 011: 4.8156, 017: 4.8067, 033: -1.7354, 043: 4.4827, 014: 4.5884, 036: 0.3649, 023: -6.8670, 037: 4.1719, 040: -9.1558, 035: -19.1542, 021: 4.7451, 044: 4.8101, 002: 4.9284, 024: -7.6999, 031: 4.7730, 029: 0.9232, 030: -0.8501, 042: 4.7584, 007: 0.4674"
