episode,sim/wall,total steps,steps/sec,score
0,0.10413160205288549,103,1.041316000449121,"010: 0.1568, 024: 3.0999, 003: 3.0510, 008: 2.9076, 042: 2.5622, 025: -0.1177, 046: 2.9296, 033: 3.0894, 032: -1.1777, 020: 3.0228, 029: 0.9473, 051: -0.9717, 013: -4.1774, 055: -0.7060, 006: 0.0140, 016: 2.9446, 058: 3.1317, 012: 1.3073, 019: 2.7929, 022: -0.6342, 052: 0.3884, 056: 2.9713, 057: 3.1667, 018: 3.1192, 004: 3.1140, 011: 3.0013, 014: 3.0671, 027: 3.0763, 028: 3.0250, 049: -0.6862, 023: 0.6623, 059: -0.6403, 005: -1.5023, 040: 0.1137, 050: 2.6884, 007: 2.6568, 009: 2.8622, 026: 2.5589, 030: 3.0234, 053: -0.3153, 015: -2.2206, 035: 3.1133, 002: -0.9797, 001: 3.0918, 039: -1.7649, 000: 2.4884, 038: 0.5128, 047: 3.0584, 045: 3.0352, 043: -1.0250, 037: 2.3226, 044: 3.0612, 021: 3.1366, 017: -1.6431, 048: 2.7363, 054: -1.5603, 036: 2.9796, 034: 2.9718, 041: 0.1508, 031: 3.0747"
1,0.10143495056198319,140,1.0143494933543296,"010: 3.7961, 024: 4.1489, 003: -11.2042, 008: 4.1347, 042: -2.8728, 025: 4.1425, 046: 4.0775, 033: 1.8828, 032: -6.9323, 020: -0.9158, 029: -0.2707, 051: -2.6573, 013: 3.8639, 055: 4.1570, 006: -5.2367, 016: 4.1529, 058: -0.9041, 012: -0.0178, 019: 1.2696, 022: 4.0333, 052: 4.3257, 056: 0.2275, 057: 1.2729, 018: 3.7686, 004: 4.0568, 011: -7.7167, 014: 4.0886, 027: 4.1687, 028: 4.3259, 049: 3.8044, 023: -3.3673, 059: 4.1621, 005: -4.0573, 040: 4.2624, 050: 4.1807, 007: 3.7885, 009: -0.8260, 026: 0.4076, 030: 0.6193, 053: 3.8678, 015: 2.1359, 035: 1.7559, 002: -3.9663, 001: 3.3559, 039: 4.1215, 000: 4.2588, 038: 3.5633, 047: 1.9114, 045: -1.6286, 043: -0.5722, 037: 4.0715, 044: 4.0887, 021: 3.2151, 017: 4.1254, 048: -4.0333, 054: 3.8970, 036: 3.3007, 034: 3.9168, 041: 4.0888, 031: 4.0670"
2,0.09787337638313638,124,0.978733750938613,"010: 3.3592, 024: 3.0029, 003: -14.5907, 008: 3.7872, 042: -1.5175, 025: -0.0585, 046: 3.5905, 033: 3.6712, 032: 3.8107, 020: 3.6666, 029: 3.6479, 051: 3.6839, 013: 3.6393, 055: 2.1641, 006: -3.7620, 016: 3.2582, 058: 3.6056, 012: -6.9973, 019: 3.4500, 022: 2.1642, 052: 1.2201, 056: 3.8351, 057: 3.6600, 018: -1.0230, 004: 3.6873, 011: 0.2151, 014: 3.6288, 027: 3.6603, 028: 3.6491, 049: -7.6585, 023: -0.8220, 059: 2.2124, 005: 3.6657, 040: -2.0450, 050: 3.6334, 007: 2.3263, 009: 3.7240, 026: 3.4484, 030: -6.3353, 053: 3.6529, 015: 0.4877, 035: -4.4804, 002: 0.0956, 001: -0.7737, 039: -5.4322, 000: 3.4825, 038: -6.9766, 047: 3.5783, 045: 3.5373, 043: 1.0075, 037: 3.6884, 044: 3.5408, 021: 1.5675, 017: 3.5465, 048: 3.5945, 054: 3.5502, 036: 3.8920, 034: 3.6508, 041: -3.0853, 031: 3.0986"
3,0.10510057232665403,134,1.0510057134396646,"010: 0.4072, 024: 2.1839, 003: 3.8069, 008: 0.9947, 042: 4.0636, 025: -6.3223, 046: -0.7888, 033: -4.4491, 032: 3.9844, 020: 3.5638, 029: 2.9790, 051: 4.0001, 013: 0.7209, 055: 3.8902, 006: -3.5329, 016: 3.8653, 058: -5.4480, 012: 0.6104, 019: 3.8901, 022: -1.8970, 052: -11.1582, 056: -4.7704, 057: 3.9774, 018: 4.0784, 004: 4.0275, 011: 3.8742, 014: -0.8389, 027: 3.7514, 028: 3.3996, 049: 3.8591, 023: 4.1856, 059: 3.3629, 005: 3.6207, 040: 3.1712, 050: 1.9873, 007: 0.7205, 009: 3.8797, 026: -2.5637, 030: -0.5112, 053: 3.0501, 015: 4.0134, 035: 3.2943, 002: 3.6622, 001: 3.9606, 039: -0.2463, 000: 4.1162, 038: 3.9954, 047: 3.8285, 045: 3.5578, 043: -0.1948, 037: 3.9273, 044: 0.3607, 021: -1.0916, 017: 0.3962, 048: -1.0774, 054: -0.1996, 036: 3.8132, 034: 3.8264, 041: 4.0638, 031: -4.4789"
4,0.07962706211831205,162,0.7962706165174241,"010: -1.8999, 024: 4.4352, 003: -1.3246, 008: 4.7090, 042: 4.5676, 025: 4.7231, 046: 1.8489, 033: 4.7440, 032: 4.6355, 020: -0.9712, 029: -2.5993, 051: 4.9275, 013: 4.4081, 055: -4.4775, 006: 4.5666, 016: 1.5673, 058: 4.5496, 012: 4.7876, 019: -0.5282, 022: 4.8604, 052: 4.9544, 056: -6.0775, 057: -0.1703, 018: -4.9941, 004: 4.2781, 011: 4.6956, 014: 4.8211, 027: -0.7787, 028: 2.5624, 049: 4.5949, 023: 0.1899, 059: 4.6618, 005: 4.8504, 040: -1.4320, 050: 4.9569, 007: -0.1679, 009: 4.8545, 026: 4.8352, 030: 0.2144, 053: 4.7957, 015: 4.6104, 035: 4.6622, 002: 4.5129, 001: 4.5171, 039: 4.8034, 000: 4.8020, 038: 2.2618, 047: 4.7839, 045: -0.5040, 043: -0.1531, 037: 4.6198, 044: 4.4696, 021: -3.9942, 017: -2.8193, 048: -1.1510, 054: -58.5729, 036: -2.9074, 034: -1.0072, 041: 1.4720, 031: -0.3867"
5,0.06494199221031997,129,0.6494199166468823,"010: 3.5169, 024: -0.7719, 003: 3.7026, 008: 3.7016, 042: 3.8087, 025: 3.4256, 046: 3.8081, 033: 3.5716, 032: 3.8775, 020: -0.2013, 029: -5.6229, 051: 3.7199, 013: -0.7969, 055: 3.7160, 006: -0.6626, 016: -1.0473, 058: -0.7808, 012: -1.0839, 019: 1.2204, 022: 0.0844, 052: 3.8025, 056: 3.8219, 057: 3.8037, 018: 3.8373, 004: 3.8435, 011: 0.5390, 014: -6.9843, 027: 3.5655, 028: 1.5612, 049: -0.1306, 023: -5.2014, 059: 3.2988, 005: -6.5059, 040: 3.7021, 050: 3.0857, 007: -0.6885, 009: 3.7919, 026: 3.5740, 030: -0.8036, 053: 3.7548, 015: -0.7755, 035: 3.7016, 002: 3.8847, 001: 0.1885, 039: 3.2744, 000: -3.6294, 038: -0.8304, 047: 3.7563, 045: 3.6302, 043: 3.8588, 037: 3.6930, 044: -8.2113, 021: -10.1953, 017: 3.8286, 048: 3.6934, 054: 3.6858, 036: -0.8451, 034: 3.9707, 041: -4.8285, 031: 3.7930"
6,0.05682558726894687,139,0.5682558682584544,"010: 3.8537, 024: 3.9198, 003: 3.8904, 008: 4.2126, 042: -10.8005, 025: 2.6515, 046: 1.5332, 033: 3.5281, 032: -2.7996, 020: 3.9497, 029: 4.1278, 051: 1.9833, 013: -0.3879, 055: 1.5548, 006: -0.3744, 016: 4.0897, 058: 4.1120, 012: 4.1342, 019: 3.9522, 022: -0.7818, 052: 3.9032, 056: 2.8288, 057: 4.1732, 018: 4.0180, 004: 3.9979, 011: 4.1620, 014: 4.0242, 027: 0.0484, 028: 3.9822, 049: 4.2694, 023: -0.1230, 059: -0.5065, 005: 4.1352, 040: 3.9467, 050: -0.5200, 007: 4.2054, 009: 3.5575, 026: 3.9936, 030: 2.4195, 053: 3.7445, 015: 3.9168, 035: 0.3845, 002: 2.8336, 001: -0.8651, 039: 1.3375, 000: -0.1295, 038: -2.2079, 047: -0.2764, 045: 3.8655, 043: 3.9744, 037: 4.0216, 044: 4.0863, 021: -8.7836, 017: 2.3947, 048: -0.8130, 054: 3.8199, 036: 1.3888, 034: 4.2501, 041: 0.0656, 031: 4.1504"
7,0.05382056336498752,180,0.5382056313478223,"010: 4.4674, 024: -4.0251, 003: -1.2413, 008: 4.7069, 042: 4.1118, 025: 3.4501, 046: 2.6574, 033: -1.8140, 032: 5.1358, 020: 5.2336, 029: 2.6889, 051: 5.3852, 013: -1.4215, 055: 1.9498, 006: 0.4406, 016: 0.2447, 058: 1.7735, 012: -5.0191, 019: 5.2892, 022: 5.1080, 052: 5.1295, 056: 0.7660, 057: 5.2023, 018: 0.1116, 004: 1.8180, 011: 5.2560, 014: 5.3385, 027: -33.8500, 028: 5.2507, 049: -2.9360, 023: 0.7420, 059: -1.8697, 005: -0.4084, 040: 5.2607, 050: -2.7637, 007: 0.9577, 009: 5.3467, 026: 2.6660, 030: 5.2572, 053: 5.3759, 015: 4.3002, 035: 4.9216, 002: 5.3267, 001: 5.1816, 039: 4.7352, 000: 1.5730, 038: 5.1699, 047: 1.8776, 045: 5.3489, 043: 5.2395, 037: -3.4395, 044: 5.3468, 021: 4.9952, 017: -12.8143, 048: 5.1078, 054: 5.4396, 036: 5.3702, 034: -8.7440, 041: 2.8009, 031: 4.8274"
8,0.05357512104001054,160,0.5357512065507418,"010: 4.6178, 024: 3.5605, 003: 4.5302, 008: 4.4005, 042: 0.3980, 025: 4.7991, 046: 0.4875, 033: 4.7229, 032: 4.7028, 020: -2.7620, 029: -2.7302, 051: -9.9753, 013: -0.4995, 055: 4.8209, 006: 3.5282, 016: -0.8361, 058: 1.7912, 012: 4.8048, 019: 4.3104, 022: 4.4215, 052: 1.2605, 056: 4.2815, 057: 2.8426, 018: 4.7486, 004: 4.7880, 011: -4.0598, 014: 4.4704, 027: -12.5936, 028: 4.7742, 049: 4.8474, 023: 4.5211, 059: 0.6376, 005: 3.4970, 040: 2.5385, 050: 4.2695, 007: 4.6581, 009: 4.6302, 026: 4.4240, 030: 4.0808, 053: -0.7101, 015: -11.9327, 035: 4.5446, 002: 4.7341, 001: 4.2911, 039: 4.4862, 000: -0.9758, 038: -4.7628, 047: 4.7318, 045: 4.7028, 043: 4.6130, 037: -0.7081, 044: 1.0162, 021: 4.3759, 017: 4.5254, 048: 2.8394, 054: 4.5851, 036: 2.2994, 034: -0.9978, 041: -2.9132, 031: 4.2747"
9,0.05312113376490777,152,0.5312113341081165,"010: 4.5240, 024: -1.0225, 003: -0.1393, 008: -2.7125, 042: -14.2704, 025: 4.4235, 046: 4.3920, 033: 4.3274, 032: 2.4357, 020: 2.2635, 029: 1.5031, 051: -0.0076, 013: -1.7683, 055: 1.5510, 006: 3.6774, 016: 4.3657, 058: -2.2767, 012: 4.4527, 019: 4.3876, 022: 4.6003, 052: 1.7134, 056: 4.6094, 057: 0.8558, 018: -1.3818, 004: 4.4033, 011: 3.9094, 014: 4.5186, 027: -6.9628, 028: 4.4766, 049: 4.4203, 023: 2.2587, 059: 3.7832, 005: -0.2811, 040: 0.4908, 050: 4.5887, 007: -0.4408, 009: 4.1089, 026: 4.2959, 030: 3.7226, 053: 4.3185, 015: 4.3904, 035: 4.6747, 002: 4.4685, 001: 4.4966, 039: -43.4585, 000: 4.0902, 038: -0.5571, 047: 4.5629, 045: 4.5935, 043: 4.5324, 037: -8.4533, 044: -0.4933, 021: 0.5213, 017: -2.3521, 048: 4.4380, 054: -1.7704, 036: 2.9020, 034: 4.5204, 041: 4.3361, 031: 3.9587"
