episode,sim/wall,total steps,steps/sec,score
0,0.09156092144244178,123,0.9156092030493673,"023: 2.8891, 043: -1.0257, 025: 1.3359, 015: -1.5854, 001: 2.0074, 019: 3.5842, 027: 3.5021, 021: 3.4727, 002: 0.9681, 058: -0.7124, 057: 3.7704, 048: 3.0254, 018: 3.6867, 024: 3.7077, 004: 3.6741, 059: -0.8475, 036: 3.5482, 014: 3.6792, 031: 3.6291, 028: 3.4809, 044: 0.0227, 056: 3.6553, 041: 0.1689, 010: 0.8193, 033: 3.6794, 042: 3.2907, 050: 3.2104, 020: 3.6462, 003: 1.1241, 029: 3.7513, 055: 0.0085, 016: 3.4859, 035: 1.9093, 038: 3.3721, 039: -1.7633, 051: -0.7143, 034: 1.0301, 022: -0.8409, 046: 3.4036, 011: 3.6680, 053: -23.8031, 000: 1.2324, 012: 3.4140, 006: 3.2793, 032: -0.5496, 009: 3.6232, 005: -2.7690, 047: 3.6680, 007: 3.1296, 013: 1.0450, 030: 2.9837, 054: 3.5025, 026: 3.7476, 037: 3.2842, 017: -1.6424, 045: 3.6101, 049: 3.7111, 052: 1.1072, 008: 3.7029, 040: 0.8278"
1,0.09616883326088368,109,0.9616883184482802,"023: 3.2121, 043: 0.6451, 025: 3.1097, 015: 3.1836, 001: 2.8576, 019: -0.4065, 027: 3.0784, 021: 3.1693, 002: -3.7708, 058: -0.8758, 057: -0.4123, 048: -3.9848, 018: 2.8451, 024: 0.9524, 004: 3.1001, 059: 3.2537, 036: 2.8818, 014: 3.2367, 031: 3.1728, 028: 3.3650, 044: 0.8952, 056: -0.6433, 041: 3.0597, 010: -0.9811, 033: 0.7205, 042: -4.0722, 050: -0.4477, 020: -0.8841, 003: -11.2289, 029: 0.5318, 055: 3.3065, 016: 3.2919, 035: 1.1269, 038: 2.4862, 039: 3.3441, 051: -5.6405, 034: 3.1472, 022: 3.2081, 046: 3.0342, 011: -9.3611, 053: 2.5801, 000: 1.2241, 012: -0.5892, 006: -10.4976, 032: -3.8438, 009: -0.9858, 005: 1.8930, 047: 0.7678, 007: 3.2104, 013: 3.1227, 030: 0.6005, 054: 2.7276, 026: 0.5873, 037: 3.3198, 017: 3.1367, 045: -1.6270, 049: 3.1678, 052: 3.2533, 008: 3.2118, 040: 3.2118"
2,0.09634488605880832,201,0.963448855082905,"023: -0.8176, 043: 4.6555, 025: 6.0376, 015: 0.6838, 001: -0.7719, 019: 5.8143, 027: 6.0550, 021: -0.1276, 002: 0.1367, 058: 5.9738, 057: 0.5017, 048: 5.6506, 018: -1.1073, 024: 5.3630, 004: 4.6429, 059: 4.6142, 036: 5.8131, 014: -100.5230, 031: 5.4829, 028: 4.5279, 044: 2.4999, 056: 5.9349, 041: -4.3330, 010: 5.5891, 033: 5.9115, 042: -1.7194, 050: 5.9182, 020: 6.0787, 003: -14.6164, 029: 5.9285, 055: 5.4161, 016: 5.8180, 035: 5.7663, 038: -6.9411, 039: -71.3481, 051: 5.7691, 034: 5.6761, 022: 5.6937, 046: -12.1367, 011: -0.2924, 053: 5.8533, 000: 0.5959, 012: -6.5543, 006: -3.7632, 032: 6.0149, 009: 6.0859, 005: 5.9920, 047: 5.8346, 007: -3.2069, 013: 5.8634, 030: -8.0799, 054: 6.0225, 026: 3.0929, 037: 5.8336, 017: 5.2130, 045: 5.6966, 049: -7.3015, 052: 5.8350, 008: 6.0668, 040: -2.0393"
3,0.09149046321449907,97,0.9149046198005544,"023: 2.7510, 043: -2.8922, 025: -1.3106, 015: 2.7974, 001: 2.8197, 019: 2.8898, 027: -0.2673, 021: -0.9760, 002: 0.2767, 058: -3.0583, 057: 2.8953, 048: -0.9872, 018: 2.9432, 024: 0.8331, 004: 2.8658, 059: 2.8326, 036: 2.8645, 014: -0.8410, 031: -4.5006, 028: 2.7083, 044: 0.3306, 056: -5.1270, 041: 2.7911, 010: 0.4933, 033: -0.8293, 042: -0.3189, 050: 2.7780, 020: 2.4186, 003: 2.7366, 029: 2.8372, 055: 2.8117, 016: 1.2687, 035: 2.4147, 038: 3.0515, 039: -0.3823, 051: 2.7395, 034: 2.7802, 022: 0.3807, 046: -0.7845, 011: 2.8626, 053: 2.3793, 000: 2.8750, 012: 1.6665, 006: -3.5292, 032: 2.8748, 009: 2.7864, 005: 2.6068, 047: 2.6858, 007: 2.8039, 013: 2.8870, 030: -4.1672, 054: 0.3951, 026: 2.9078, 037: 2.7862, 017: 0.6010, 045: -0.9980, 049: 0.7656, 052: -12.1271, 008: 0.9087, 040: 2.6861"
4,0.06273812304457202,203,0.6273812276720274,"023: 0.8053, 043: 2.4763, 025: 5.2566, 015: 5.8208, 001: 3.5273, 019: 5.3920, 027: -0.7781, 021: 0.9862, 002: 5.7392, 058: 3.6986, 057: -4.5265, 048: -1.1515, 018: -4.4076, 024: 5.3237, 004: 5.4082, 059: 5.7625, 036: -3.0826, 014: 6.0310, 031: 2.3512, 028: 0.8391, 044: 5.4469, 056: -6.9461, 041: 5.8363, 010: -1.9009, 033: 5.9315, 042: 5.3214, 050: 6.0491, 020: -2.7255, 003: -0.8696, 029: 0.6187, 055: -4.8417, 016: 5.9329, 035: 5.9258, 038: -0.1896, 039: 5.8518, 051: 5.8899, 034: 0.2042, 022: 5.9704, 046: 1.4646, 011: 5.7860, 053: 5.4870, 000: 5.9226, 012: 6.1638, 006: 5.4207, 032: 5.9351, 009: 6.0515, 005: 5.7208, 047: 3.4291, 007: 5.9954, 013: 6.1613, 030: -4.1028, 054: 5.9266, 026: 5.9325, 037: 5.7665, 017: -1.9418, 045: 5.1614, 049: 5.8163, 052: 5.8228, 008: 5.4898, 040: -1.6762"
5,0.05244212989977725,140,0.5244212957193061,"023: -5.1052, 043: 3.9793, 025: 3.7904, 015: -0.7794, 001: 4.1329, 019: 2.0428, 027: 3.6320, 021: -8.3825, 002: 0.5223, 058: -0.7785, 057: 4.0770, 048: 4.0429, 018: 2.3849, 024: -8.2085, 004: 0.5374, 059: 3.6511, 036: -1.6535, 014: -6.9347, 031: 3.9353, 028: 3.5677, 044: -1.1856, 056: 4.1553, 041: -0.5918, 010: 4.0166, 033: 3.6854, 042: 4.0634, 050: -0.9847, 020: 0.0343, 003: 0.5186, 029: -6.0298, 055: 4.1096, 016: 2.3081, 035: -0.3938, 038: 3.8729, 039: 3.9381, 051: 4.2318, 034: 4.1753, 022: 4.2343, 046: 4.1367, 011: -5.7681, 053: 4.1811, 000: -0.2814, 012: -1.1569, 006: 3.9806, 032: 4.1033, 009: 4.1272, 005: -1.3997, 047: 3.7916, 007: -3.3476, 013: -0.7977, 030: -1.0032, 054: 4.1291, 026: 4.0298, 037: 4.0479, 017: 4.0444, 045: 3.9217, 049: 0.0875, 052: -3.3234, 008: 4.0568, 040: 3.9459"
6,0.048416441851156206,149,0.48416441551081385,"023: 0.6441, 043: 4.2316, 025: 4.4479, 015: 3.8550, 001: -3.5690, 019: 4.4879, 027: -0.7278, 021: -9.0149, 002: 2.7995, 058: 4.5472, 057: 4.3576, 048: -0.8351, 018: 4.2954, 024: 3.8738, 004: 4.5374, 059: -3.5134, 036: 4.4488, 014: 3.6051, 031: 4.3903, 028: 4.3195, 044: 4.4439, 056: 2.7918, 041: 4.3999, 010: 4.3265, 033: 4.0519, 042: -10.8297, 050: 0.4201, 020: 4.3020, 003: 4.1739, 029: 4.2088, 055: 4.1891, 016: -6.8688, 035: 0.6673, 038: -12.2409, 039: -0.6017, 051: 1.4824, 034: 4.5238, 022: -0.7824, 046: -2.2070, 011: 4.4740, 053: 4.1565, 000: 0.6919, 012: 4.4609, 006: -30.3874, 032: -2.2752, 009: 3.7305, 005: -0.7492, 047: -0.6068, 007: 4.3273, 013: -2.6530, 030: -0.6512, 054: 4.2248, 026: 4.3737, 037: 4.2329, 017: 4.2960, 045: -0.6801, 049: 4.5103, 052: 4.3463, 008: 4.4491, 040: 3.8805"
7,0.04549062111545834,129,0.4549062084773135,"023: 3.5778, 043: 3.9070, 025: 3.9406, 015: 3.8815, 001: 3.7329, 019: 3.8185, 027: -17.8185, 021: 2.5813, 002: 3.8786, 058: 1.2522, 057: 3.6898, 048: 3.6356, 018: 0.1839, 024: 3.6015, 004: 3.5916, 059: 3.7847, 036: 3.7929, 014: 1.7174, 031: 2.2849, 028: 3.2926, 044: 4.0431, 056: 3.7617, 041: 1.1698, 010: 3.7416, 033: 3.5881, 042: 3.8033, 050: -2.7752, 020: 3.4165, 003: -0.0111, 029: -0.3216, 055: 1.9962, 016: -0.0518, 035: 3.7043, 038: 3.8410, 039: 3.1646, 051: 3.6880, 034: -8.3715, 022: 1.3102, 046: 3.7578, 011: 3.7642, 053: 3.6917, 000: -0.8328, 012: -5.3632, 006: 0.2873, 032: -0.8161, 009: 3.8899, 005: -0.8159, 047: 1.7573, 007: 2.5747, 013: -1.4189, 030: 3.6439, 054: 3.8761, 026: 3.5044, 037: 3.7048, 017: -1.7891, 045: 3.9369, 049: 1.8554, 052: 3.7576, 008: 3.6906, 040: 2.6073"
8,0.048508570176072574,207,0.48508569877946894,"023: 3.4202, 043: 5.8902, 025: 4.3823, 015: -110.8822, 001: 5.7851, 019: 5.6953, 027: -12.9613, 021: 5.7812, 002: 6.0155, 058: 1.7756, 057: 3.6138, 048: 5.4484, 018: 6.0449, 024: 0.2306, 004: 6.1418, 059: -2.9639, 036: 6.2217, 014: 5.8398, 031: -0.2026, 028: 6.1717, 044: 0.8560, 056: 5.7221, 041: -2.8914, 010: 5.8944, 033: 6.1420, 042: -0.3394, 050: 3.2081, 020: 5.5096, 003: 3.2431, 029: -2.7121, 055: 6.1114, 016: 5.1568, 035: 5.6776, 038: -5.0654, 039: 6.0461, 051: -9.9735, 034: -0.9324, 022: 4.8091, 046: 1.1451, 011: -0.4697, 053: 5.0299, 000: -3.1976, 012: 5.8841, 006: 6.1181, 032: 6.1014, 009: 6.0190, 005: 6.0597, 047: 6.2031, 007: 0.3276, 013: 6.0232, 030: 2.0058, 054: -24.0303, 026: 5.7769, 037: 4.9603, 017: 6.0198, 045: -0.3728, 049: 5.9783, 052: 0.6376, 008: 5.8933, 040: 2.5666"
9,0.04550876771121817,151,0.4550876741691441,"023: -1.0999, 043: 4.4175, 025: 4.2994, 015: 4.5895, 001: 4.5601, 019: 4.2775, 027: -6.9441, 021: 0.5835, 002: 4.4417, 058: -7.7277, 057: -0.0055, 048: 4.4689, 018: -0.5988, 024: -1.0208, 004: 4.3899, 059: 3.8024, 036: 4.2932, 014: 4.5613, 031: 3.4595, 028: 4.3120, 044: -3.2280, 056: 3.1417, 041: 4.3566, 010: 4.4273, 033: 4.3792, 042: 3.1736, 050: 4.4783, 020: 3.5826, 003: 4.3938, 029: 4.1583, 055: 1.5038, 016: 4.4466, 035: 4.5118, 038: 4.4857, 039: -3.4221, 051: 4.5663, 034: 4.4339, 022: 4.5012, 046: 4.4431, 011: 3.8907, 053: 2.3492, 000: 4.2275, 012: 4.5518, 006: 3.7436, 032: 2.3285, 009: 4.2969, 005: -0.3194, 047: 4.6070, 007: 0.7362, 013: -1.7665, 030: 3.6364, 054: -1.7668, 026: 1.3939, 037: -8.4054, 017: -2.3523, 045: 4.5562, 049: 2.3985, 052: 2.2631, 008: -2.9038, 040: 0.4676"
