episode,sim/wall,total steps,steps/sec,score
0,0.09389630412393733,108,0.9389630295614778,"039: -1.7749, 013: 0.2646, 026: 3.1898, 014: 3.3009, 008: 3.1291, 030: 3.1952, 038: 0.3034, 002: -0.9862, 021: 3.2232, 019: 3.0793, 055: 0.0498, 052: 1.4544, 004: 3.3420, 005: -2.1330, 016: -0.4513, 037: 2.8093, 023: 2.8425, 054: 2.1245, 012: 3.1163, 058: 3.1753, 022: 3.0952, 024: 3.1962, 047: 3.1915, 045: 2.9523, 053: -1.1653, 051: -0.9757, 001: 3.3207, 032: -0.5486, 031: 3.1370, 028: 3.0777, 034: 1.4200, 044: -0.0077, 036: 3.1212, 003: 0.2876, 050: 0.3608, 011: 3.0601, 029: 3.2413, 006: 2.9496, 048: 2.9356, 059: 3.0679, 025: 0.2929, 042: 2.9649, 017: -1.6507, 035: 3.3208, 056: 3.1707, 027: 3.0694, 033: 3.1530, 049: 3.1584, 041: -3.9695, 043: -1.0133, 007: 2.6803, 010: 1.6972, 000: 0.3048, 015: -7.8317, 009: -0.4768, 057: 3.3535, 020: 3.0969, 040: 1.7108, 018: 1.6339, 046: 2.9627"
1,0.09644542067118159,156,0.964454196760586,"039: 4.7188, 013: 4.3308, 026: -1.2998, 014: 4.4346, 008: 4.2782, 030: 0.4955, 038: 4.3546, 002: -3.7506, 021: 4.6682, 019: 4.6145, 055: 4.8141, 052: 4.7151, 004: 4.5420, 005: -19.7503, 016: 4.7098, 037: 2.6744, 023: -3.2567, 054: 4.1196, 012: -1.2251, 058: -0.3947, 022: 4.5519, 024: 4.4701, 047: 4.6639, 045: -2.0442, 053: 4.0231, 051: -7.7522, 001: 4.1183, 032: 0.3324, 031: 4.1527, 028: 4.7226, 034: 4.3503, 044: -26.4658, 036: 4.2642, 003: -11.7743, 050: -0.5342, 011: 0.0451, 029: 0.8186, 006: -4.5969, 048: -4.0015, 059: 4.6447, 025: -13.5231, 042: -7.8263, 017: 4.6080, 035: -0.3391, 056: -3.9508, 027: 4.6860, 033: 4.4993, 049: 4.0565, 041: 4.6801, 043: -0.5828, 007: -0.1393, 010: -0.9768, 000: 4.8076, 015: 4.5299, 009: -1.0009, 057: 4.6326, 020: 2.0333, 040: 4.3400, 018: 4.0244, 046: 3.1303"
2,0.05926592360955075,106,0.5926592313553191,"039: 1.3160, 013: 3.3120, 026: 3.1573, 014: 2.9079, 008: -0.4521, 030: -7.0132, 038: -6.9614, 002: 0.1493, 021: 0.7387, 019: 3.0574, 055: 0.5476, 052: 3.1589, 004: 3.0754, 005: 2.1064, 016: 2.7062, 037: 3.1697, 023: -0.8207, 054: -0.4059, 012: -6.5082, 058: 3.1600, 022: 2.9531, 024: 2.9332, 047: 3.1703, 045: 3.2335, 053: 3.1206, 051: 1.8542, 001: -0.7732, 032: 3.1717, 031: 3.0400, 028: 3.1648, 034: 3.2447, 044: 2.8965, 036: 3.1737, 003: -14.6108, 050: 2.9944, 011: -0.2391, 029: 3.1990, 006: -3.7655, 048: -0.8522, 059: 0.5942, 025: 1.3604, 042: -0.0645, 017: 3.1778, 035: 3.1300, 056: 3.2039, 027: 3.2317, 033: 3.1211, 049: -7.2065, 041: -0.5893, 043: 2.9752, 007: 3.1612, 010: 3.0638, 000: 3.2297, 015: 0.7038, 009: 3.1873, 057: 3.0964, 020: 3.0785, 040: -2.0390, 018: 2.2206, 046: 0.8014"
3,0.03781146524447275,144,0.3781146507877269,"039: -0.6365, 013: -0.7838, 026: 0.0031, 014: -0.8467, 008: 1.0135, 030: -9.6688, 038: 4.2996, 002: 4.1365, 021: 4.2303, 019: -27.8209, 055: 4.2898, 052: -10.6058, 004: 3.9858, 005: 3.8418, 016: 4.1338, 037: 4.1902, 023: 4.2189, 054: 0.2826, 012: 3.0369, 058: -6.0173, 022: 0.2312, 024: -10.1843, 047: 4.0580, 045: -0.9433, 053: 3.8952, 051: 4.2457, 001: 4.4545, 032: 4.4198, 031: -4.5033, 028: 2.4372, 034: 3.4144, 044: 0.1545, 036: 4.1666, 003: 3.8263, 050: 1.7659, 011: 4.2360, 029: 4.3469, 006: -3.5288, 048: -1.0981, 059: 1.0473, 025: -3.2224, 042: 3.7911, 017: -0.3796, 035: 3.7909, 056: -4.7726, 027: 4.0564, 033: 3.5674, 049: 4.1652, 041: 4.1830, 043: 0.2235, 007: -0.7765, 010: -0.4072, 000: 4.2594, 015: 4.2207, 009: 4.2841, 057: 4.0169, 020: 3.8708, 040: 3.7089, 018: 4.2279, 046: -0.7842"
4,0.030107379519564006,164,0.30107379427319564,"039: -3.1126, 013: 4.8226, 026: 4.7648, 014: 4.7498, 008: 4.7252, 030: 0.6886, 038: 2.1914, 002: 4.9118, 021: 4.8799, 019: 4.2123, 055: -4.7985, 052: 4.8509, 004: 4.4509, 005: 4.8911, 016: 3.7381, 037: 4.4761, 023: 0.7906, 054: -6.8653, 012: 4.9234, 058: 0.5456, 022: 4.8063, 024: 4.5663, 047: 4.6509, 045: 4.4285, 053: 4.7765, 051: 4.7700, 001: 4.5926, 032: 4.9008, 031: 1.2909, 028: 1.5151, 034: -3.6064, 044: 4.6189, 036: -2.9017, 003: -0.8032, 050: 4.8119, 011: 4.7564, 029: -3.1319, 006: 4.5886, 048: -1.1485, 059: 4.9253, 025: 4.7584, 042: -82.5988, 017: 0.9006, 035: 4.8456, 056: -5.9123, 027: -0.7769, 033: 4.9131, 049: 4.7989, 041: 3.5924, 043: 2.5233, 007: -0.1007, 010: -1.9015, 000: 4.7691, 015: 4.7333, 009: 4.8620, 057: -3.7964, 020: -0.7214, 040: -3.6897, 018: 4.8286, 046: 1.3118"
5,0.03032737521169205,119,0.3032737506427328,"039: 3.0424, 013: -0.7998, 026: 3.4952, 014: -6.9494, 008: 3.4690, 030: -0.9831, 038: 3.3843, 002: 3.6367, 021: -12.0430, 019: 2.0271, 055: 3.5907, 052: 3.3729, 004: 0.8693, 005: -3.1979, 016: -1.6126, 037: 3.4834, 023: -5.0441, 054: 3.5829, 012: -1.1657, 058: -0.7806, 022: 3.5621, 024: 0.1255, 047: 3.6220, 045: 3.1132, 053: 3.5567, 051: 3.5461, 001: 3.4642, 032: 3.6116, 031: 3.4796, 028: 3.4721, 034: 3.6664, 044: -8.0016, 036: -0.9022, 003: 3.6051, 050: -1.0096, 011: -7.2449, 029: -5.5707, 006: 3.4691, 048: 3.5042, 059: 2.9598, 025: 3.2147, 042: 2.5267, 017: 3.5595, 035: 1.7151, 056: 3.5914, 027: 2.9751, 033: 3.1580, 049: -0.3938, 041: -1.1990, 043: 3.6158, 007: 3.3845, 010: -0.6401, 000: -1.2081, 015: -0.7804, 009: 2.5341, 057: 3.4592, 020: -0.3412, 040: 3.5060, 018: 3.3776, 046: 3.3714"
6,0.027715753742803887,146,0.2771575362990669,"039: 2.3474, 013: -0.2667, 026: 4.1359, 014: 2.7020, 008: 4.4228, 030: 4.1600, 038: 4.2587, 002: 4.2857, 021: -1.1465, 019: 4.3591, 055: 3.5352, 052: 4.3513, 004: 4.2486, 005: 2.8632, 016: -1.0934, 037: 4.3302, 023: 3.7255, 054: 2.9130, 012: 4.5128, 058: 4.4304, 022: -0.7759, 024: 4.0560, 047: -0.2929, 045: 2.8392, 053: 3.9383, 051: 3.1534, 001: -0.2071, 032: -3.4651, 031: 4.3014, 028: 2.6591, 034: 4.1511, 044: 4.4926, 036: 1.2256, 003: 3.8589, 050: -0.0661, 011: 4.0285, 029: 4.1380, 006: 0.3388, 048: -1.1320, 059: 0.3287, 025: 3.0838, 042: -10.8534, 017: 4.2530, 035: -4.7300, 056: -2.5436, 027: 4.3571, 033: 1.0382, 049: 4.2656, 041: 2.9430, 043: 4.2088, 007: 4.2961, 010: -0.2792, 000: 3.7770, 015: 4.3864, 009: 3.8342, 057: 4.3343, 020: 2.9893, 040: 4.0813, 018: 4.2137, 046: -2.5750"
7,0.02925265220239171,203,0.29252652121990136,"039: 5.9196, 013: -1.4206, 026: -1.9859, 014: 5.8712, 008: 5.6527, 030: 5.8692, 038: 5.9831, 002: 6.1221, 021: 5.4704, 019: 5.8989, 055: -0.4837, 052: 5.9838, 004: -13.4549, 005: 0.9197, 016: -0.0156, 037: 5.8353, 023: -0.2070, 054: 6.1189, 012: -5.0104, 058: -0.1343, 022: 0.2809, 024: -17.9189, 047: 1.1226, 045: 6.0397, 053: 5.9728, 051: 6.0172, 001: 5.9715, 032: 0.9216, 031: 5.5290, 028: 5.6744, 034: -8.7728, 044: 6.0648, 036: 6.1992, 003: 1.8979, 050: -2.5104, 011: 5.5920, 029: 5.8720, 006: -25.8178, 048: 5.9190, 059: 0.0162, 025: 5.9728, 042: 5.9239, 017: -5.7149, 035: 6.0223, 056: -0.2563, 027: 5.9639, 033: 1.0788, 049: 5.9514, 041: 0.2010, 043: 5.4319, 007: -2.0199, 010: 5.5447, 000: -8.9125, 015: 5.4678, 009: 6.0078, 057: 5.7467, 020: 5.4595, 040: 5.5906, 018: -10.7691, 046: 3.0475"
8,0.029758547894516745,165,0.2975854776655516,"039: 4.3902, 013: -6.9026, 026: 4.6933, 014: 4.8736, 008: 4.6928, 030: 4.4129, 038: -5.1070, 002: 4.8524, 021: 4.6747, 019: 4.4987, 055: 4.8587, 052: 0.9204, 004: 4.8419, 005: 4.8673, 016: 0.1120, 037: -0.4054, 023: 4.8215, 054: 4.7984, 012: 4.8119, 058: 1.8222, 022: 4.5381, 024: 1.8461, 047: 5.0491, 045: -0.1263, 053: -0.4100, 051: -10.2375, 001: 4.2949, 032: 4.9091, 031: 4.5397, 028: 4.8666, 034: -0.9784, 044: -1.8504, 036: 4.9005, 003: 0.8975, 050: 4.6420, 011: -2.2532, 029: -2.7010, 006: 5.0628, 048: -0.1088, 059: 2.3022, 025: 4.8941, 042: -0.1791, 017: 4.5128, 035: 4.6502, 056: 1.1511, 027: -2.2433, 033: 4.8392, 049: 5.0092, 041: -2.8876, 043: 4.7265, 007: 4.5355, 010: 4.5309, 000: -1.0218, 015: -35.1522, 009: 2.0500, 057: -0.1482, 020: 5.0363, 040: 2.3485, 018: 5.0040, 046: 4.7891"
9,0.028233236226003534,162,0.2823323610869046,"039: -3.4283, 013: -1.7714, 026: 2.5693, 014: 4.8564, 008: -2.9014, 030: 4.3261, 038: 4.7687, 002: 4.5324, 021: -3.8734, 019: 4.7564, 055: 1.5116, 052: 1.5670, 004: 4.8667, 005: -0.3869, 016: 4.8521, 037: -8.6010, 023: 2.3059, 054: -1.7683, 012: 4.4562, 058: -6.8509, 022: 4.8548, 024: -1.0117, 047: 4.6818, 045: 4.8412, 053: 4.4422, 051: 2.2372, 001: 4.8468, 032: -1.7120, 031: 4.4921, 028: 4.6504, 034: 4.8938, 044: 4.7083, 036: 2.9788, 003: 2.1205, 050: 4.7955, 011: 4.3620, 029: 4.6985, 006: 4.3668, 048: 2.7140, 059: 4.3440, 025: 4.5486, 042: -16.6311, 017: -2.3531, 035: 4.7587, 056: 4.6499, 027: -6.5933, 033: 4.7438, 049: 4.8702, 041: 4.7780, 043: 4.7834, 007: 1.0094, 010: 4.8183, 000: 4.2579, 015: 4.6980, 009: 4.9217, 057: -3.3273, 020: 4.0712, 040: 0.7934, 018: 1.3779, 046: 4.5966"
