episode,sim/wall,total steps,steps/sec,score
0,0.07789947100168673,116,0.7789947025334085,"010: 3.4820, 073: 3.4321, 022: 3.3422, 039: 2.3953, 014: -0.5544, 048: 3.5232, 052: 0.0498, 059: 3.3428, 000: 3.1415, 012: 3.3794, 004: 3.4642, 047: -0.2621, 071: 2.2308, 040: 3.3524, 058: 3.3663, 032: 3.4585, 069: -2.6072, 065: 3.4054, 067: 3.5348, 016: 3.4521, 025: -3.7482, 033: 3.4218, 041: 2.1333, 013: -0.7387, 045: 3.3475, 008: 1.8559, 074: 3.1930, 024: 2.4688, 066: 3.4509, 049: 3.4349, 070: 0.6610, 036: 0.7574, 055: 0.6992, 002: 1.8139, 060: 3.3897, 035: 3.3912, 063: 1.7009, 068: 3.4074, 007: 0.0340, 037: 3.3177, 017: 3.0754, 028: -2.6931, 034: 3.4284, 026: 1.7585, 056: 3.3199, 003: 2.7666, 020: 2.3604, 061: 3.5443, 009: 3.2323, 021: 0.6000, 043: 3.3290, 044: 0.5433, 018: -0.5754, 011: -1.2249, 006: 3.2285, 057: 2.0100, 064: -0.9404, 030: 3.2408, 072: 2.8288, 023: 0.6317, 031: -0.9752, 050: -0.6817, 027: 3.3542, 029: 3.3314, 038: 3.5244, 005: 2.3120, 001: -13.6307, 051: 3.5312, 015: 0.6731, 053: 3.4236, 054: 3.3149, 046: 1.3654, 042: 3.2140, 019: -1.6420, 062: -3.0829"
1,0.08152772514668341,125,0.8152772425924388,"010: 3.6114, 073: 3.6947, 022: -1.0859, 039: 0.3436, 014: 2.8554, 048: 3.6803, 052: 0.7705, 059: -0.6001, 000: 3.7596, 012: 3.6320, 004: 3.6478, 047: 0.1283, 071: 1.8723, 040: 3.6107, 058: -3.7986, 032: 1.0706, 069: 3.7018, 065: 3.8217, 067: -0.2047, 016: 1.8867, 025: 3.6969, 033: -0.9596, 041: -0.3122, 013: 3.7744, 045: 0.1398, 008: 3.6862, 074: 0.6340, 024: 3.4075, 066: 3.6688, 049: 3.8275, 070: -2.2295, 036: 2.0778, 055: 3.3515, 002: -2.1999, 060: 3.6946, 035: 3.3395, 063: 3.4338, 068: 1.1585, 007: 3.4745, 037: 3.6725, 017: -1.4297, 028: -2.4943, 034: -0.7689, 026: 3.5987, 056: 3.1521, 003: 3.7429, 020: 3.3202, 061: -2.5159, 009: 3.5142, 021: 3.6204, 043: 3.7380, 044: 3.3749, 018: 0.0017, 011: 0.1097, 006: 3.3760, 057: -6.9200, 064: 3.5542, 030: -3.9958, 072: -0.4839, 023: 1.0323, 031: -0.2116, 050: 3.6410, 027: 2.3845, 029: -0.4222, 038: 3.7900, 005: -6.0242, 001: 3.1208, 051: 3.6114, 015: 3.0294, 053: -2.7940, 054: -1.3561, 046: -0.5890, 042: 3.5330, 019: 0.8217, 062: 3.6586"
2,0.047498227475613074,162,0.47498227243190705,"010: 2.3653, 073: 0.1580, 022: 4.9186, 039: 0.6541, 014: 4.8197, 052: 4.8151, 048: 4.7410, 059: -1.2521, 000: 1.7696, 012: 0.0084, 004: 0.1451, 047: 4.6643, 071: 4.7135, 058: -1.0187, 040: 4.7554, 032: 0.5931, 069: 4.6499, 065: 0.8322, 067: 4.1956, 062: 1.4063, 016: 4.5229, 025: -0.6948, 033: 4.6407, 041: 4.2941, 013: -0.2325, 045: 4.8444, 008: 4.8065, 074: 4.2209, 024: 4.3378, 066: 4.3720, 049: 4.7407, 070: 4.9732, 036: 4.5298, 055: 3.6697, 002: 0.7035, 063: -2.3515, 060: 4.3420, 035: 1.1623, 068: 1.6827, 007: -0.4629, 037: 4.9066, 017: 0.0120, 028: -0.7757, 034: 4.7591, 026: 4.8485, 056: 0.8628, 003: 4.6380, 020: -0.2857, 061: 4.8193, 021: 1.5778, 009: 4.6688, 057: 4.5433, 044: -1.1295, 018: 4.6773, 064: 4.4727, 043: -2.9664, 006: 4.5966, 011: 4.7219, 072: -0.3826, 030: 4.7504, 023: 4.8538, 031: 4.7758, 050: 4.3442, 029: 4.4902, 027: 4.5786, 038: 4.0894, 001: 4.7387, 051: -0.1946, 015: -0.2322, 053: -4.0643, 054: 4.9736, 046: 4.4853, 042: 0.0372, 019: 4.6381, 005: 1.6589"
3,0.024627293182619078,161,0.2462729311974876,"010: -1.7529, 073: 4.7361, 022: -0.2226, 039: 4.3989, 014: -0.2592, 048: 4.6559, 052: 4.7886, 059: 4.6681, 000: -5.1989, 012: 4.9421, 004: 0.8480, 047: 1.4713, 071: 4.7026, 040: 4.8213, 058: -2.4990, 032: 4.6493, 069: -0.6412, 065: 4.6589, 067: 4.1863, 016: 2.0645, 025: 4.5143, 033: 4.7034, 041: 1.4992, 013: -5.2493, 045: 4.5864, 008: 2.8230, 074: 4.8156, 024: 2.9379, 066: 4.7638, 049: 4.8581, 070: 4.6358, 036: -0.3895, 055: -3.0597, 002: 4.6090, 060: -0.2985, 035: 4.8310, 063: 4.6470, 068: -0.1269, 007: 4.8209, 037: 4.6730, 017: 3.6870, 028: 4.5327, 034: -0.8542, 026: 4.7839, 056: -4.1048, 003: 4.9138, 020: -4.7240, 061: 4.6638, 009: -9.1253, 021: 4.5298, 043: 4.6965, 044: 4.4971, 018: 4.2584, 011: -0.6368, 006: 4.8735, 057: 4.8572, 064: 2.4011, 030: -6.2256, 072: 4.0516, 023: -1.0355, 031: 2.1077, 050: -0.2773, 027: 4.8195, 029: 4.8143, 038: 4.8883, 005: 4.6793, 001: 1.5415, 051: 4.7245, 015: -1.9004, 053: 0.7999, 054: 4.7930, 046: 4.4264, 042: 4.2726, 019: 4.9020, 062: 1.1704"
4,0.022409930243539284,124,0.22409930166290898,"010: 2.7266, 073: 3.5665, 022: 3.6290, 039: 3.4929, 014: 0.9099, 048: -1.0253, 052: -4.2313, 059: 0.4264, 000: 3.7102, 012: 2.8809, 004: 3.4837, 047: 3.5744, 071: 3.7618, 040: -2.7428, 058: 1.4535, 032: 1.4744, 069: -7.6342, 065: -6.9193, 067: 3.4383, 016: 3.6898, 025: -0.4445, 033: 3.6683, 041: 3.3922, 013: 0.6778, 045: 0.3880, 008: 3.5742, 074: -3.2118, 024: -3.5383, 066: 3.6773, 049: -2.8798, 070: 2.8489, 036: -0.9583, 055: 3.6289, 002: 3.6582, 060: 0.7180, 035: 3.6385, 063: 3.6382, 068: -5.4725, 007: 0.5197, 037: -4.8134, 017: 3.7705, 028: 3.6952, 034: -0.7788, 026: 3.7294, 056: 3.6730, 003: 3.6877, 020: 3.4052, 061: 2.7584, 009: 0.4349, 021: 3.6201, 043: 3.6852, 044: 3.7278, 018: 0.0538, 011: 3.6707, 006: 3.7682, 057: 3.7004, 064: -1.4162, 030: 0.6447, 072: 3.6856, 023: 3.5957, 031: 3.2437, 050: 3.1838, 027: 3.1848, 029: 0.5106, 038: -6.1222, 005: 3.5392, 001: -0.7378, 051: 3.5909, 015: 3.5051, 053: -1.4160, 054: 3.5628, 046: 3.1917, 042: 3.3848, 019: -9.6147, 062: 3.3714"
5,0.02226787874812287,139,0.22267878671576344,"010: 4.0688, 073: 1.5871, 022: 4.1334, 039: -3.8230, 014: 4.1971, 052: 3.9093, 048: 4.0694, 059: 4.1973, 000: 4.0729, 012: 0.6828, 004: 4.2360, 071: -1.7673, 047: -0.1066, 058: -0.8823, 040: 3.4869, 032: 4.2006, 069: 3.2756, 065: 4.1768, 067: -2.1132, 025: -2.3524, 016: 3.9462, 033: -0.1172, 041: 4.0532, 013: -0.1330, 045: -10.1242, 008: 0.9682, 074: 4.1949, 024: 4.1245, 066: 4.0408, 049: 4.2316, 070: 4.1425, 055: 3.9609, 002: -0.2933, 060: 4.0406, 035: 2.1651, 063: 3.9318, 068: 1.1833, 007: 4.0404, 037: 3.9914, 028: 3.3474, 017: -2.7054, 034: -4.8217, 042: 4.0953, 026: 2.6539, 056: -2.3533, 003: -3.5129, 020: 4.1919, 061: 4.0795, 021: -11.6941, 009: 3.9485, 057: -0.2120, 044: -13.9781, 018: 0.9869, 064: 3.8669, 043: 0.6492, 011: 3.7995, 006: 2.6462, 072: -0.7609, 030: 1.1503, 023: 4.2315, 031: 2.1697, 050: 4.0341, 029: 3.3861, 005: 4.1249, 038: 1.7851, 027: -2.5207, 001: -4.8155, 051: 3.8886, 015: 4.1330, 053: 4.1201, 054: 4.0880, 046: 3.6633, 036: 4.0853, 019: 4.0936, 062: 3.9250"
6,0.02176977524416524,147,0.21769775182672954,"010: -0.1236, 073: 4.4744, 022: 4.3128, 039: -7.2631, 014: -1.1511, 048: 4.3103, 052: 2.9929, 059: -0.2602, 000: -9.1695, 012: -6.8567, 004: -14.4474, 047: 1.2100, 071: -1.0056, 040: 2.4131, 058: -0.0849, 032: 4.2122, 069: 4.3193, 065: -2.9276, 067: 3.8405, 016: 3.7009, 025: 3.8138, 033: -1.3261, 041: 4.1680, 013: -0.8047, 045: -32.7257, 008: 4.2735, 074: 4.3377, 024: -3.0029, 066: 3.9716, 049: 2.1183, 070: 4.3718, 036: 1.2602, 055: 4.3674, 002: -3.6364, 060: 4.4192, 035: 4.3564, 063: 4.1199, 068: 4.1101, 007: 4.2040, 037: 1.2390, 017: 4.1360, 028: 4.2616, 034: 4.3784, 026: 3.6654, 056: 4.3935, 003: 2.9388, 020: 2.0548, 061: -3.5574, 009: 4.1536, 021: 4.3293, 043: -0.4924, 044: 4.3503, 018: 4.4687, 011: 4.2733, 006: 4.2515, 057: -0.8922, 064: 2.7986, 030: 4.2860, 072: 4.5117, 023: -0.7767, 031: 4.2744, 050: 3.7302, 027: 4.2574, 029: -1.0380, 038: -10.4735, 005: -3.7837, 001: 4.3540, 051: 1.5830, 015: 4.4480, 053: 4.5006, 054: -1.7782, 046: 4.3993, 042: 3.9590, 019: -7.6489, 062: -1.5680"
7,0.023075819121696674,111,0.2307581905307163,"010: -0.1443, 073: 3.1209, 022: 3.2535, 039: 2.3629, 014: 3.2062, 048: 2.9697, 052: 2.9076, 059: -0.2561, 000: -1.6461, 012: 3.3484, 004: 1.4659, 047: -4.0199, 071: -0.3853, 040: 3.0638, 058: 2.6202, 032: 3.1349, 069: 3.4168, 065: -7.9909, 067: 3.1358, 016: 3.2146, 025: -0.8332, 033: 3.2609, 041: -3.0865, 013: 1.4294, 045: 1.4097, 008: 0.3921, 074: 3.3787, 024: -0.9760, 066: -0.3748, 049: 3.3104, 070: 3.2312, 036: 3.2073, 055: 3.2538, 002: -3.3164, 060: 2.8170, 035: 3.2405, 063: 0.6950, 068: 3.3628, 007: -9.6623, 037: 3.2342, 017: -3.7637, 028: -1.2356, 034: 3.1655, 026: -0.9083, 056: 3.2747, 003: -1.4805, 020: 3.3691, 061: 3.2025, 009: 2.7831, 021: 3.3512, 043: 3.1733, 044: 3.2872, 018: -1.3790, 011: -0.2677, 006: 3.3856, 057: 3.2673, 064: 3.3831, 030: 3.4281, 072: 3.4027, 023: 3.1102, 031: -0.3877, 050: -1.0044, 027: 3.4748, 029: -0.5246, 038: -2.9307, 005: -2.8858, 001: 2.5679, 051: 0.2888, 015: 3.2707, 053: -0.5498, 054: 3.0460, 046: -0.4982, 042: 2.8261, 019: 3.3354, 062: 1.4466"
8,0.022022347729675634,170,0.22022347661658487,"010: 4.9198, 073: 5.0914, 022: 4.8506, 039: 0.6271, 014: 4.8527, 048: 5.0309, 052: 0.7404, 059: 4.8925, 000: 1.3014, 012: 0.3095, 004: 5.0486, 047: 0.5207, 071: -2.5254, 040: 4.9995, 058: 4.8238, 032: -0.2045, 069: 5.2240, 065: 5.1458, 067: 4.7134, 016: 4.9590, 025: 4.9604, 033: -1.5893, 041: 4.9131, 013: 5.0572, 045: 0.0983, 008: 4.7896, 074: 5.2061, 024: 4.9745, 066: 0.2625, 049: -1.0932, 070: 1.9316, 036: 5.1430, 055: 4.8131, 002: 4.6405, 060: 3.3650, 035: -0.0088, 063: 0.4358, 068: 4.9690, 007: 1.2738, 037: -2.2797, 017: 4.8851, 028: -4.7510, 034: 2.7854, 026: 4.7183, 056: 4.5263, 003: -0.3427, 020: -8.5056, 061: 5.0729, 009: 4.9714, 021: 1.0076, 043: 5.0882, 044: 4.6845, 018: 5.0420, 011: 0.3760, 006: 0.5885, 057: -1.0033, 064: 5.1610, 030: 1.3993, 072: 5.2229, 023: 0.2480, 031: 2.1752, 050: 4.5363, 027: 4.8427, 029: 4.7718, 038: -13.1572, 005: 4.9835, 001: 2.1714, 051: 2.3415, 015: 4.7954, 053: 5.0826, 054: 4.7512, 046: 4.8325, 042: 0.8532, 019: 4.9667, 062: 1.2472"
MEAN,0.03812205198820022,139.44444444444446,0.38122051734532725,n/a
