episode,sim/wall,total steps,steps/sec,score
0,0.07798758779371162,147,0.7798758710319875,"044: 4.0532, 005: -3.0246, 021: 4.3528, 001: 4.4391, 011: 4.1433, 067: 4.1933, 004: 4.2753, 065: -0.9768, 033: 3.7237, 020: 4.4068, 063: 4.0751, 040: 4.4114, 006: 0.1516, 028: 4.2640, 074: 2.7617, 073: -11.3191, 048: 3.9510, 035: 4.4100, 019: 1.8496, 029: 4.1828, 016: 0.6867, 031: 4.3947, 024: 4.2616, 055: 4.1126, 060: 4.2100, 068: 3.7969, 056: 4.1449, 042: 3.8482, 070: -10.7776, 071: 4.5378, 003: 4.2030, 053: -0.4436, 034: 4.3696, 007: -0.0799, 013: -7.6483, 023: -0.8779, 038: 3.3460, 045: 4.3098, 052: 1.5003, 002: -0.3911, 008: 4.1943, 018: 4.4321, 059: -0.8171, 037: 3.8510, 012: 4.4258, 058: 4.2598, 041: 4.2516, 043: -1.0123, 026: -0.9863, 009: 0.7162, 010: 4.4390, 022: -0.8106, 064: 4.2798, 000: -0.4888, 061: 3.2070, 015: -3.4713, 066: -1.5295, 057: 4.4815, 072: -43.7864, 030: -2.5161, 046: 4.1235, 036: 3.8003, 027: 4.3677, 054: 0.3856, 032: -0.5384, 017: -1.6463, 051: -0.8833, 050: 3.8771, 049: 4.1531, 014: 4.4252, 047: 4.4465, 039: -1.7640, 069: -2.4290, 062: -1.2489, 025: -0.4777"
1,0.07513532442471711,150,0.7513532379660783,"044: 4.4180, 005: 4.3990, 021: -2.0706, 001: 3.5332, 011: 2.0174, 067: 4.4582, 004: -3.7636, 065: 3.9959, 033: 0.2123, 020: 4.3335, 063: 3.7623, 040: -1.1405, 006: 4.4990, 028: 4.5378, 074: -3.7598, 073: 3.6673, 048: 3.7194, 035: 4.4079, 019: -0.9363, 029: 4.1211, 016: 0.3530, 031: 3.3526, 024: -3.9820, 055: 2.5612, 060: 0.9037, 068: 4.3093, 056: 4.3457, 042: -2.3226, 070: 3.6897, 071: 4.5399, 003: 4.1669, 053: 4.4964, 034: 4.3324, 007: 4.3398, 013: 4.5229, 023: 4.4175, 038: -1.4027, 045: -0.7319, 052: 4.1325, 002: -0.6704, 008: -20.2419, 018: -0.9661, 059: 2.9005, 037: -0.8379, 012: 4.3100, 058: 4.4115, 041: -58.5169, 043: 0.1395, 026: -0.7496, 009: 4.3407, 010: 0.0623, 022: 2.1276, 064: 4.4042, 000: -1.3909, 061: 0.7378, 015: 4.3186, 066: -0.6606, 057: 4.4762, 072: 4.4467, 030: 3.9536, 046: 0.8911, 036: -6.3545, 027: -9.8551, 054: -11.3940, 032: -2.2852, 017: 4.3589, 051: 4.3680, 050: 4.0845, 049: -4.2642, 014: 4.2515, 047: 4.5939, 039: 3.8636, 069: 4.1865, 062: 4.4123, 025: 3.9233"
2,0.038116810886051254,128,0.3811681069661579,"044: 3.7374, 005: 3.7893, 021: 0.9262, 001: -7.3125, 011: 1.5364, 067: 3.8077, 004: 2.8754, 065: -0.6232, 033: -2.0432, 020: 3.6718, 063: -0.8479, 040: -0.8042, 028: 3.7365, 006: -0.1466, 074: -0.8525, 073: 3.7072, 048: 3.8140, 035: 3.9285, 019: 3.5130, 029: 3.8002, 016: 3.6109, 031: 2.3749, 024: 2.4129, 060: 3.7097, 070: 1.5490, 055: 3.8025, 056: -0.5936, 042: 1.8699, 068: -0.9764, 071: 3.6024, 003: 3.6699, 052: 0.4755, 023: 1.9270, 053: 0.4136, 034: -0.8109, 007: 3.6267, 013: 3.6296, 038: 3.5735, 002: 3.9806, 008: 3.7419, 018: 3.6495, 059: 3.9257, 045: 2.6776, 037: 3.7509, 012: -6.7302, 058: -0.8431, 062: 3.8779, 041: -6.0236, 043: 3.7359, 026: -3.1028, 009: -1.6771, 022: 0.3565, 010: 3.7619, 064: 3.2132, 000: 3.9121, 061: 0.4286, 066: 0.0613, 072: 3.7286, 057: -0.8754, 015: 3.4881, 046: 3.7688, 036: 3.1830, 027: 3.6140, 054: 0.5670, 032: 3.7587, 017: 3.8525, 051: -0.8699, 069: -24.6740, 049: 3.5423, 014: 3.8592, 047: 3.3826, 039: 3.1585, 050: -3.5297, 030: 1.6529, 025: -0.6325"
3,0.025687306332286833,178,0.25687306270420374,"044: 2.9811, 005: 4.6879, 021: -0.7362, 001: 5.1686, 011: -1.5517, 067: 5.0964, 004: 5.1954, 065: 5.2142, 033: 5.1803, 020: 5.3301, 063: 4.9166, 040: 3.2479, 006: -0.5530, 028: -1.9037, 074: -5.5797, 073: -4.8639, 048: 0.8877, 035: -5.3898, 019: 3.5245, 029: 4.9912, 016: 4.5611, 031: 4.4932, 024: 4.9563, 055: 5.1703, 060: 4.9220, 068: 5.4370, 056: 2.2028, 042: 5.1614, 070: 5.2850, 071: 5.2270, 003: -0.5870, 053: 5.2087, 034: 5.0372, 007: 5.1967, 013: 4.8962, 023: 5.3153, 038: 0.2380, 045: -0.7737, 052: -0.4957, 002: 5.3159, 008: 4.4571, 018: 5.1427, 059: 1.6192, 037: 4.8328, 012: 0.7872, 058: -1.4997, 041: 5.0389, 043: 4.8816, 026: 5.0677, 009: 2.7926, 010: 5.2320, 022: 4.2338, 064: 1.6647, 000: -0.0026, 061: 1.8150, 015: -0.4623, 066: -1.1678, 057: 0.9432, 072: 5.2234, 030: 5.1995, 046: -1.8090, 036: -0.6888, 027: 5.2907, 054: -2.9103, 032: 5.1517, 017: 5.0463, 051: 5.0592, 050: 5.0739, 049: 1.1061, 014: 5.0391, 047: -11.5817, 039: 4.9915, 069: 5.3664, 062: 1.4430, 025: 1.6084"
4,0.024695865728086134,107,0.24695865619369792,"044: 0.4867, 005: 2.9607, 021: 3.1761, 001: 3.1533, 011: 2.2162, 067: 1.1224, 004: 3.3359, 065: 3.1562, 033: -0.0196, 020: 2.5860, 063: 1.2262, 040: 3.0470, 006: -1.9413, 028: 2.5092, 074: 3.1019, 073: 3.0741, 048: 2.9811, 035: 3.0611, 019: -0.7855, 029: 3.2458, 016: -15.0613, 031: -9.9014, 024: -5.9957, 055: 2.9664, 060: -1.5123, 068: -0.9810, 056: -2.5326, 042: -1.0051, 070: 3.1167, 071: 3.2150, 003: 3.1968, 053: -0.7789, 034: 2.7211, 007: -1.1724, 013: -0.4171, 023: 3.0962, 038: 3.2368, 045: -0.0255, 052: 1.1608, 002: 3.1615, 008: -0.8001, 018: -5.3923, 059: 3.2089, 037: 3.2359, 012: 0.4588, 058: 1.9779, 041: 3.1413, 043: 3.0770, 026: 3.0890, 009: -6.9695, 010: -0.7788, 022: 3.0324, 064: 2.6437, 000: -2.5243, 061: 3.2381, 015: 0.3868, 066: 3.1167, 057: 2.8484, 072: 0.4788, 030: 3.0295, 046: 3.2111, 036: -1.0864, 027: -0.4953, 054: 2.5657, 032: 2.9422, 017: 0.8858, 051: 3.2311, 050: 0.2369, 049: 3.2463, 014: 3.0770, 047: -2.9232, 039: -0.7451, 069: 2.8794, 062: 3.1294, 025: -0.9617"
5,0.02271090572502445,118,0.22710905631231648,"044: 1.1255, 005: 2.6016, 021: 3.0106, 001: 3.4644, 011: -11.2094, 067: 3.5982, 004: 2.5455, 065: 3.5370, 033: 2.6713, 020: 2.0372, 063: 3.4203, 040: 3.6460, 006: 3.4711, 028: -0.6921, 074: 3.4413, 073: -1.4189, 048: 1.8566, 035: 1.0458, 019: 0.2636, 029: 3.4774, 016: -0.2229, 031: 1.0102, 024: 3.2581, 055: -4.3827, 060: -4.2245, 068: 3.3404, 056: 3.5215, 042: 3.1344, 070: 3.2739, 071: 3.5546, 003: 3.5886, 053: 3.2492, 034: -1.1651, 007: -1.7232, 013: 1.8074, 023: 3.3594, 038: 3.5015, 045: -0.9277, 052: 1.8274, 002: 2.8581, 008: 2.2237, 018: 3.5470, 059: 3.4894, 037: 3.6029, 012: 3.0730, 058: 3.3175, 041: 1.2047, 043: 3.0229, 026: 3.5275, 009: 0.4274, 010: 3.5078, 022: 0.5323, 064: 3.0612, 000: -1.5486, 061: 3.5181, 015: 1.6217, 066: 0.2996, 057: 3.4240, 072: -5.0295, 030: 3.4104, 046: -9.4407, 036: 3.6721, 027: 3.5168, 054: 2.0459, 032: -0.7167, 017: -0.8456, 051: 2.8434, 050: 3.4531, 049: -0.2276, 014: 3.3995, 047: 3.4533, 039: 3.5106, 069: 3.4315, 062: -0.2143, 025: -4.0961"
6,0.024391811462663424,181,0.24391811399967456,"044: 5.2353, 005: 4.8558, 021: 5.2839, 001: -9.4526, 011: 5.5126, 067: 2.4235, 004: 1.0341, 065: 3.9286, 033: 1.8079, 020: 5.3835, 063: -2.5617, 040: 5.3825, 006: 5.1395, 028: 0.1810, 074: -1.7673, 073: 5.2479, 048: 5.2516, 035: 1.1796, 019: 5.4836, 029: 5.2682, 016: 0.0609, 031: 0.0038, 024: 5.3078, 055: 5.1898, 060: 5.0822, 068: 5.3852, 056: 5.2927, 042: 4.7935, 070: -0.7427, 071: 5.2874, 003: -5.8669, 053: 5.1432, 034: -0.8094, 007: -0.7763, 013: 5.3626, 023: 5.2628, 038: 5.1664, 045: -0.6165, 052: 1.1066, 002: 5.6068, 008: -8.1636, 018: 5.2057, 059: 5.2970, 037: 4.8622, 012: -1.6344, 058: 3.7219, 041: 1.7810, 043: 5.4616, 026: 4.8173, 009: -0.8141, 010: 3.1519, 022: 0.4189, 064: 5.0809, 000: 1.9387, 061: -7.7257, 015: 1.2177, 066: 5.2796, 057: 0.2543, 072: -5.0171, 030: 5.2443, 046: 2.3549, 036: 5.3573, 027: 4.6113, 054: 4.8806, 032: -0.7372, 017: 5.4300, 051: 5.1980, 050: 0.1132, 049: -0.2072, 014: 5.3943, 047: 5.1972, 039: -0.0913, 069: 5.1863, 062: 5.3074, 025: 5.3486"
7,0.0222726728429824,133,0.22272672771840885,"044: 3.8929, 005: 3.2812, 021: 3.5151, 001: -1.2387, 011: 3.7651, 067: -0.5881, 004: -1.0136, 065: -2.0858, 033: 2.2880, 020: 3.8550, 063: 1.6755, 040: 3.4339, 006: -3.7440, 028: -3.9068, 074: 3.7470, 073: 4.0714, 048: 3.8288, 035: 3.7103, 019: 3.8328, 029: 3.9313, 016: 3.4263, 031: -8.2290, 024: 3.8850, 055: 3.7287, 060: 4.0370, 068: -0.7994, 056: 3.8777, 042: 3.9635, 070: -0.4620, 071: -0.3319, 003: 3.4209, 053: 3.9028, 034: -1.0258, 007: 3.4944, 013: 0.6546, 023: -1.7670, 038: 3.6784, 045: 3.7057, 052: 3.9270, 002: 2.0597, 008: 3.9003, 018: -2.9049, 059: 1.7235, 037: -7.0035, 012: 0.6874, 058: 3.7478, 041: 3.8909, 043: 3.9515, 026: 4.0423, 009: 3.7250, 010: 3.8111, 022: 0.2103, 064: -1.7697, 000: 3.9408, 061: 3.8498, 015: -0.3937, 066: 2.0329, 057: -0.3866, 072: 3.8425, 030: 3.4637, 046: 4.0250, 036: 3.6733, 027: -2.3521, 054: -0.8432, 032: 3.9027, 017: 0.7206, 051: 4.0544, 050: -14.5204, 049: -1.9360, 014: 3.9778, 047: -8.7362, 039: 3.7877, 069: 3.7116, 062: 2.0605, 025: 3.9609"
8,0.023169436056860844,153,0.23169435973208213,"044: 4.5475, 005: 4.4345, 021: -4.9100, 001: 0.8553, 011: 4.3620, 067: 4.4423, 004: 4.6096, 065: 4.6198, 033: 4.4725, 020: -0.1782, 063: 4.4602, 040: 4.7304, 006: 4.6062, 028: 4.5729, 074: -2.7001, 073: 3.9137, 048: -0.1825, 035: 0.7792, 019: -0.1072, 029: 2.2909, 016: -2.9799, 031: 4.4528, 024: -1.0000, 055: 4.5392, 060: 4.2603, 068: -0.2436, 056: 4.3635, 042: -0.8104, 070: 4.4767, 071: 4.5733, 003: 4.5223, 053: 4.4285, 034: 4.5679, 007: 1.4939, 013: -1.5438, 023: 2.6249, 038: -2.1348, 045: -1.6700, 052: 0.8342, 002: 4.3476, 008: 4.5457, 018: 4.5136, 059: 2.3669, 037: 4.6493, 012: 4.6387, 058: -0.4929, 041: 0.3952, 043: -1.6578, 026: -0.2222, 009: 4.6281, 010: 4.4028, 022: 4.5222, 064: 1.2639, 000: 4.4542, 061: 2.1807, 015: 4.5572, 066: 4.0562, 057: -0.7616, 072: 4.0868, 030: 3.9496, 046: -1.6844, 036: -0.8160, 027: 0.3826, 054: 0.9487, 032: 4.5281, 017: 4.5608, 051: 3.7933, 050: 4.5713, 049: -0.9718, 014: -28.6729, 047: 4.5007, 039: 4.4992, 069: 4.4983, 062: 4.3998, 025: 4.2350"
9,0.023437337859496057,146,0.2343733779670441,"044: 4.2950, 005: -7.2017, 021: 4.3012, 001: 3.7950, 011: 0.5534, 067: 4.1082, 004: 0.6672, 065: 4.2734, 033: 2.4406, 020: 1.2124, 063: 4.1039, 040: -5.1638, 006: 4.3534, 028: 3.7309, 074: 2.7396, 073: -4.4763, 048: 3.6005, 035: -0.7440, 019: 2.3224, 029: -1.3245, 016: 2.6980, 031: 4.4324, 024: -0.1134, 055: -1.2556, 060: 2.4128, 068: 4.2267, 056: 4.1830, 042: 4.2915, 070: 4.0658, 071: 4.3302, 003: 4.3167, 053: 0.0944, 034: 4.2327, 007: 1.4308, 013: -0.8996, 023: 4.2166, 038: 1.8573, 045: 3.5849, 052: 4.0472, 002: 0.0578, 008: 4.2168, 018: 4.2636, 059: 4.5013, 037: 3.6765, 012: 4.2424, 058: 4.2676, 041: -0.1119, 043: 4.2843, 026: 4.3386, 009: -0.0126, 010: -0.1063, 022: 4.2396, 064: 3.6473, 000: 3.9486, 061: 0.2760, 015: -4.5019, 066: 3.8754, 057: -1.3505, 072: 0.2333, 030: 3.9577, 046: 4.4082, 036: 4.2848, 027: 0.7373, 054: -4.9838, 032: 2.6997, 017: 3.8886, 051: 4.3223, 050: 3.9211, 049: 1.7465, 014: 3.8871, 047: 3.6228, 039: 4.3237, 069: 0.7359, 062: 4.1466, 025: 4.2845"
