episode,sim/wall,total steps,steps/sec,score
0,0.08352392893605433,123,0.8352392798947972,"035: -0.4806, 011: 3.6260, 031: 3.4883, 037: 3.2262, 046: 3.5649, 020: 3.6315, 050: 0.2423, 052: 1.7553, 001: -0.4222, 013: -8.6963, 065: -0.9729, 000: 3.4348, 022: 3.5274, 066: -1.5311, 024: 2.9275, 064: 3.6989, 009: 3.5766, 040: 0.4584, 014: 3.5737, 023: -1.3919, 048: 3.1522, 060: 3.6309, 063: -16.6058, 005: 3.5541, 004: 3.7736, 018: 3.7499, 026: -0.9709, 038: 0.1698, 002: 0.2449, 025: 3.5450, 042: 3.3599, 067: 3.5769, 069: -3.7391, 053: -0.1674, 071: 3.6856, 061: -0.2101, 072: 3.4928, 036: -0.3327, 021: 3.5531, 045: 3.5395, 008: 3.5774, 039: -1.7756, 074: 3.5355, 054: -1.6735, 028: 3.5428, 012: 3.7113, 047: 3.6775, 017: -1.6427, 051: -0.8474, 073: -5.0088, 062: 3.7780, 041: 0.1178, 027: 0.7714, 070: -10.7505, 015: -1.9921, 068: 3.3310, 056: 3.5362, 033: 3.3087, 032: -6.3409, 010: 0.4433, 034: 3.5621, 006: 3.1443, 003: -0.8979, 044: 3.5536, 059: -0.3275, 019: 3.7165, 030: 3.5643, 007: 3.4556, 029: 3.5391, 057: 3.5938, 016: 3.5877, 058: 3.5529, 055: 1.9116, 043: -1.0250, 049: 1.9277"
1,0.07669104076777516,121,0.7669104007243832,"035: 3.6258, 011: 3.5445, 031: 3.5688, 037: -0.8459, 046: 2.3427, 020: -3.8885, 050: 3.5900, 052: 3.0685, 001: 3.5550, 013: 3.6422, 065: 2.7861, 000: 3.4943, 022: 3.5205, 066: 0.7422, 024: -3.9836, 064: 3.4427, 009: 3.5700, 040: 3.5715, 014: 2.9833, 023: 0.0588, 048: 3.1057, 060: 2.0900, 063: 3.1228, 005: 3.6727, 004: -3.7487, 018: -8.9614, 026: 3.6536, 038: -1.6514, 002: 3.5404, 025: 3.2406, 042: -0.4077, 067: 2.0542, 069: 3.5520, 053: 3.7153, 071: 3.6302, 061: 3.5640, 072: 3.5606, 036: -0.7437, 021: -1.3577, 045: -0.7249, 008: -0.7234, 039: 2.6628, 074: -3.7563, 054: -10.7744, 028: 0.8367, 012: 3.5134, 047: 2.0989, 017: 0.3073, 051: 3.5751, 073: 2.2164, 062: 3.6463, 041: -4.9030, 027: -1.1992, 070: 2.8367, 015: 3.6122, 068: 2.4341, 056: 0.0557, 033: 1.6228, 032: 0.0793, 010: -6.9954, 034: 3.5996, 006: 3.4811, 003: 2.2328, 044: 3.6338, 059: 2.3755, 019: 3.0815, 030: 2.9873, 007: 3.4905, 029: 3.0737, 057: 3.7738, 016: 3.2243, 058: 3.5078, 055: 3.3998, 043: 1.5514, 049: 0.4336"
2,0.06381575348341224,127,0.6381575287179156,"035: 3.8897, 011: 3.8405, 031: 1.2996, 037: 3.8257, 046: 2.4369, 050: -3.5646, 052: 0.9339, 020: 3.9644, 001: -7.6710, 013: 3.6485, 065: 1.0659, 000: 0.6206, 064: 3.6495, 022: 3.7845, 024: 1.2895, 066: 3.5740, 009: 1.3198, 014: 3.9099, 040: -0.5702, 023: 3.5692, 060: 3.7265, 063: 3.7729, 005: 3.6887, 004: 3.6918, 018: 3.6561, 026: -3.1203, 038: 1.4003, 002: 3.9733, 025: 0.9651, 042: 0.9851, 067: 3.8164, 069: 3.7373, 053: 3.8484, 071: 3.8293, 061: 0.4872, 072: 2.2863, 036: 3.0549, 045: 3.7356, 021: 1.0120, 008: 3.8012, 039: 3.2247, 074: -2.2053, 054: 0.5608, 028: 3.7836, 047: 3.4116, 012: -1.1936, 017: 3.7626, 051: -0.3714, 073: 0.7195, 062: 3.8796, 041: -6.0483, 027: 1.0367, 070: 1.0078, 015: 3.4848, 068: 0.3775, 056: -1.1165, 033: -2.0428, 032: 3.7981, 010: 3.7155, 034: -0.5786, 006: -0.1914, 003: 3.6761, 049: 3.3901, 044: 3.5044, 019: 3.1071, 059: 3.7307, 030: 3.7795, 029: 3.8040, 057: -0.3780, 007: 3.7316, 016: 3.7102, 058: -0.8339, 055: 3.6373, 043: 3.6044, 048: 3.5212"
3,0.044393529290170444,163,0.4439352908838498,"035: -6.2799, 011: 1.9215, 031: 4.7449, 037: 4.4949, 046: -1.9133, 020: 4.7874, 050: 4.7810, 052: 0.8843, 001: 4.7947, 013: 4.4994, 065: 4.8244, 000: -1.1487, 022: 4.4132, 066: -1.0847, 024: 4.6569, 064: 1.8202, 009: 2.9226, 040: 4.9378, 014: 4.7761, 023: 4.8456, 048: -6.3654, 060: -80.6133, 063: 4.1421, 005: 4.0612, 004: 2.3267, 018: 4.7458, 026: 4.7204, 038: -0.7455, 002: -0.0218, 025: 4.9478, 042: 4.5364, 067: 4.6430, 069: 4.8549, 053: 4.9424, 071: 4.6618, 061: -0.6372, 072: 4.5882, 036: -5.7478, 021: -1.4877, 045: -0.7786, 008: 3.0474, 039: 1.8360, 074: -6.9969, 054: -3.0996, 028: -2.0433, 012: 4.8161, 047: -3.7288, 017: 4.7491, 051: 4.7658, 073: -4.8177, 062: 4.6266, 041: 4.8182, 027: -2.4789, 070: 4.7369, 015: -0.4258, 068: 4.7504, 056: -0.0414, 033: 4.7939, 032: 4.8397, 010: 4.8753, 034: 2.3386, 006: 0.0442, 003: 0.1112, 044: 4.7054, 059: 2.1558, 019: 4.2891, 030: 4.8181, 007: 4.9919, 029: 4.7739, 057: 0.3602, 016: 2.7700, 058: -5.3186, 055: 4.4700, 043: 4.7332, 049: 2.7626"
4,0.04174256031915281,101,0.4174255999009904,"035: 2.7335, 011: -0.6928, 031: -11.2964, 037: 2.8374, 046: 2.9418, 020: 2.3623, 050: 3.0589, 052: 1.8282, 001: 3.0055, 013: 3.0254, 065: 2.9071, 000: -2.3702, 022: 2.5326, 066: 2.9687, 024: -5.9593, 064: 2.3368, 009: -6.9562, 040: 1.8576, 014: 2.9003, 023: 2.6276, 048: 3.0592, 060: 2.8680, 063: 1.6318, 005: 2.7157, 004: 2.9920, 018: -6.0289, 026: 2.9165, 038: 2.9005, 002: 2.9624, 025: -0.9760, 042: -0.5394, 067: 1.8813, 069: 3.0451, 053: -0.7800, 071: 1.1007, 061: 3.0803, 072: -4.0290, 036: -6.1375, 021: 3.0184, 045: -1.0320, 008: -0.8009, 039: -0.8144, 074: 2.9810, 054: 2.3637, 028: 2.4812, 012: 3.0274, 047: -0.6851, 017: 3.0102, 051: 2.9298, 073: -0.2322, 062: -0.3556, 041: 2.7761, 027: 3.0919, 070: 3.0173, 015: 0.8730, 068: -0.8116, 056: -9.7246, 033: -0.3032, 032: 2.9475, 010: -0.7788, 034: 2.8729, 006: -1.1665, 003: 0.9426, 044: 0.8413, 059: 3.0715, 019: 0.9525, 030: 2.8368, 007: -1.1699, 029: 3.0760, 057: 2.8319, 016: -6.0950, 058: 2.7141, 055: 3.0206, 043: 2.7837, 049: 2.8535"
5,0.04175431408373415,134,0.41754313866596043,"035: 2.6337, 011: -11.3203, 031: 2.5996, 037: 0.5641, 046: -4.0029, 050: 3.9219, 052: -0.7542, 020: 2.0589, 001: 3.8715, 013: -0.7594, 065: 3.8879, 022: 3.3672, 000: -3.3210, 064: 0.8291, 024: 3.6330, 048: -0.4193, 040: 3.8565, 014: 3.9733, 009: 3.6289, 023: 1.8362, 060: -4.2330, 063: 4.0465, 005: 3.5104, 004: -1.5112, 018: 4.0604, 026: 4.0491, 038: 3.9198, 002: 1.2252, 025: -8.0541, 042: 3.8639, 067: 3.9604, 069: 3.7866, 053: 3.8601, 071: 4.0471, 061: 4.0315, 072: -5.3714, 036: 4.0935, 045: -0.8822, 021: 0.8805, 008: 2.2466, 039: 3.9843, 074: 3.7919, 054: 0.5139, 028: -12.0539, 066: 0.3718, 047: 3.9346, 051: 3.1410, 017: -0.8386, 073: -1.4220, 012: 3.8683, 062: -0.4224, 041: 3.8054, 027: 4.1869, 070: 3.8275, 015: 1.2703, 068: 3.8374, 056: 3.9153, 033: 3.6872, 034: -1.1487, 010: 0.3700, 032: -0.5306, 006: 3.9860, 003: 4.1987, 044: 3.4456, 059: 3.8002, 019: 0.2345, 030: 3.6353, 029: 4.0828, 057: 3.7103, 007: 3.6336, 016: -0.2911, 058: 1.8838, 055: -4.6660, 043: 4.0025, 049: -0.4222"
6,0.03954648708905418,157,0.3954648692280699,"035: 4.1635, 011: 4.7137, 031: 1.8988, 037: -0.9729, 046: 4.5324, 020: 4.6411, 050: 0.1230, 052: 4.4460, 001: 4.6567, 013: 4.7878, 065: 3.5599, 000: 1.1513, 022: 1.0319, 066: 4.7801, 024: -0.3084, 064: 4.2582, 009: 0.3306, 040: 4.6223, 014: 0.6098, 023: 4.5394, 048: 4.5078, 060: 4.3863, 063: -2.6984, 005: 2.1583, 004: 4.7791, 018: 1.5377, 026: 4.4729, 038: 4.5343, 002: 4.6553, 025: 2.5742, 042: 4.4992, 067: -0.4267, 069: 4.4386, 053: 4.1895, 071: 4.6978, 061: -9.8198, 072: -5.1462, 036: 4.3188, 021: 4.7245, 045: -6.3625, 008: -2.0138, 039: 1.8454, 074: 2.4692, 054: 4.6398, 028: -0.4449, 012: -0.9847, 047: -2.7464, 017: 4.4693, 051: 4.5090, 073: 4.3167, 062: 4.7036, 041: 2.7617, 027: 4.2469, 070: -0.8334, 015: 4.5559, 068: 4.5790, 056: 4.6589, 033: 3.0922, 032: -0.8301, 010: 4.4990, 034: 0.3626, 006: 2.5342, 003: -6.2870, 044: 4.5163, 059: 4.7634, 019: 4.8643, 030: 4.4480, 007: -0.7746, 029: 4.5521, 057: -0.3953, 016: -0.6691, 058: 2.8303, 055: 4.5484, 043: 4.6323, 049: -1.1112"
7,0.03884777699127755,162,0.3884777683580437,"035: 4.5896, 011: 4.7766, 031: 0.4962, 037: -6.9965, 046: 0.8129, 020: 4.5528, 050: 0.7189, 052: 0.4544, 001: -1.2365, 013: 4.6263, 065: 1.5513, 000: 4.9248, 022: 4.8844, 066: 4.8603, 024: 4.8096, 064: -1.7703, 009: 4.8950, 040: 3.8992, 014: 4.5877, 023: -1.7696, 048: -0.4497, 060: 4.8107, 063: 3.6293, 005: -0.3562, 004: -8.1366, 018: -2.9060, 026: 4.7841, 038: -0.0189, 002: 4.6965, 025: 4.6985, 042: 0.7116, 067: 0.9793, 069: 4.5572, 053: 4.5108, 071: 4.9044, 061: 4.7384, 072: -0.0299, 036: 3.6328, 021: 4.3378, 045: 4.8753, 008: 4.7394, 039: -3.1042, 074: 4.3159, 054: -6.1978, 028: 1.3076, 012: 4.6807, 047: -8.7562, 017: -0.8549, 051: 4.7972, 073: 4.7771, 062: -1.1790, 041: 3.4694, 027: -2.2381, 070: -15.9171, 015: -4.3664, 068: -7.6229, 056: 4.6086, 033: 0.4168, 032: 4.9427, 010: 4.5076, 034: -1.0253, 006: -3.7777, 003: 4.2603, 044: 5.0220, 059: 3.7486, 019: 4.5874, 030: 4.0427, 007: 4.3859, 029: 4.6842, 057: 4.8149, 016: 4.2827, 058: 4.8365, 055: 4.8098, 043: 4.4743, 049: -0.2526"
8,0.039648632235413636,147,0.39648631980449445,"035: 0.7522, 011: 4.0828, 031: 4.1270, 037: 4.3117, 046: 0.1214, 020: 4.4406, 050: 4.4314, 052: 4.4976, 001: 4.5682, 013: 0.3536, 065: 4.4119, 000: 4.4862, 022: 1.1544, 066: 3.9470, 024: -2.7776, 064: 4.0894, 009: 1.5741, 040: 3.2288, 014: -0.3821, 023: 2.5872, 048: 4.3153, 060: 4.2453, 063: 4.4934, 005: 3.2271, 004: 4.3521, 018: -8.1020, 026: 4.2665, 038: -2.1986, 002: 4.2891, 025: 4.3450, 042: -0.9073, 067: 0.4999, 069: 3.3924, 053: 4.3996, 071: 4.4201, 061: 0.3852, 072: 4.3225, 036: -0.9025, 021: 4.4041, 045: 0.1829, 008: 2.2993, 039: 4.2980, 074: -2.6996, 054: 4.3026, 028: 4.4415, 012: 1.7489, 047: 4.4574, 017: 4.2838, 051: 2.9906, 073: 4.1262, 062: 4.0670, 041: 4.3250, 027: 4.4060, 070: 3.0708, 015: 2.9943, 068: 4.5244, 056: 4.4001, 033: 4.2319, 032: 4.3796, 010: 4.0642, 034: 4.4060, 006: 4.4182, 003: 4.4467, 044: 4.2173, 059: 0.4622, 019: -0.4706, 030: 3.7669, 007: 0.5178, 029: 1.8008, 057: -0.4421, 016: 0.7376, 058: 1.9910, 055: 2.2805, 043: -0.6225, 049: -15.3195"
9,0.037220866169033924,109,0.37220865987215535,"035: -0.7466, 011: 0.5113, 031: 3.1712, 037: 2.5143, 046: 2.9523, 050: 3.1436, 065: 3.1546, 052: -0.8183, 001: 2.9018, 013: 1.0410, 020: 1.2499, 022: 0.5744, 000: 1.9104, 064: 2.6645, 024: 3.2122, 066: 3.3014, 040: -2.0345, 014: 2.9904, 009: 0.7337, 023: 3.0699, 060: -0.2606, 063: 3.1877, 005: -0.2689, 004: 3.2825, 018: 3.2661, 026: 3.2383, 038: 3.1237, 002: 1.8245, 025: 3.1582, 042: 3.1881, 067: -1.7592, 069: 0.8971, 053: 2.7078, 071: 0.6343, 061: 3.2535, 072: -1.0541, 036: 3.2511, 045: -1.1951, 021: 3.2750, 008: 3.3953, 039: 2.2339, 074: 0.3409, 054: -8.5190, 028: 2.7919, 047: 2.5099, 012: 3.0439, 017: 3.1271, 051: 3.3374, 073: -4.4768, 062: 0.2435, 041: 1.0489, 027: 3.2542, 070: 2.8776, 015: -4.5098, 068: 3.2942, 056: 3.2730, 033: -0.2145, 032: 1.6482, 010: 0.9737, 034: 3.2898, 006: 3.2935, 003: 3.2337, 049: 2.8008, 044: 3.2079, 019: -0.4003, 059: 3.1508, 030: 3.1991, 007: 3.0712, 057: -0.2708, 029: -1.3253, 016: 1.5275, 058: 0.9738, 055: -1.2447, 043: 0.8327, 048: 3.1232"
