episode,sim/wall,total steps,steps/sec,score
0,0.09612264719967162,139,0.9612264624878664,"020: 3.9003, 045: 4.0636, 021: 4.0843, 015: -1.6222, 007: 3.8648, 039: -1.7645, 059: -0.5698, 018: 4.1351, 014: 4.0932, 040: 3.7884, 036: 1.2425, 058: 4.1821, 043: -1.0195, 011: 4.0893, 010: 4.0868, 029: 4.2311, 002: 0.9366, 006: 3.9761, 048: 4.0124, 026: 4.0978, 042: 3.8580, 013: -2.7957, 052: 0.7817, 050: 0.9490, 032: -0.6188, 054: 4.0621, 051: -0.5311, 003: 4.1343, 022: -0.5577, 017: -1.6472, 028: 4.0096, 033: 3.7863, 025: -0.2315, 038: 0.7892, 055: 0.5278, 004: 4.0566, 046: 3.7760, 056: 4.0878, 024: 4.0389, 016: -0.4058, 049: 0.5774, 027: -3.3814, 057: 4.2617, 005: 0.2639, 041: -0.3254, 031: 1.6019, 000: -0.2239, 019: 3.9039, 009: -0.4025, 053: -14.9581, 012: 4.0965, 047: 4.3213, 034: 1.6958, 037: 3.5132, 035: 4.0701, 023: 3.2745, 044: 4.0477, 008: 4.0556, 030: 4.0489, 001: 4.1966"
1,0.09215049670524646,131,0.9215049546886027,"020: -0.5455, 045: -1.5310, 021: 3.7977, 015: 3.8918, 007: 3.8962, 039: 3.8888, 059: 2.4100, 018: 3.3910, 014: 3.6683, 040: 3.7712, 036: 2.0382, 058: -0.4888, 043: -1.2119, 011: -3.3963, 010: 2.5294, 029: -0.9749, 002: -3.9858, 006: -7.1368, 048: -3.9887, 026: 0.6946, 042: -38.6829, 013: 3.6836, 052: 3.9988, 050: -0.6713, 032: 0.9012, 054: 3.0376, 051: -2.7547, 003: -11.2517, 022: 3.7806, 017: 3.7737, 028: 3.8601, 033: 4.0416, 025: -0.4646, 038: 3.1708, 055: 3.9826, 004: 3.8477, 046: 3.8233, 056: -2.6802, 024: 3.6166, 016: 3.7302, 049: 2.4639, 027: 3.8660, 057: 3.8538, 005: 3.7925, 041: 3.9601, 031: 3.6900, 000: 0.6268, 019: 3.7639, 009: 0.3515, 053: 3.2924, 012: 0.2223, 047: 3.8678, 034: 3.6833, 037: 3.9225, 035: 0.6473, 023: -0.0557, 044: -1.7151, 008: 3.6977, 030: -2.3184, 001: 3.2323"
2,0.06385495770289686,208,0.6385495742247151,"020: 5.8785, 045: 5.5350, 021: -0.6053, 015: 0.7279, 007: -17.8456, 039: -0.1944, 059: 5.6928, 018: 3.2333, 014: 6.0776, 040: -2.0382, 036: 6.3737, 058: 6.1280, 043: 6.1682, 011: 0.4256, 010: 5.4933, 029: 6.1027, 002: 0.1174, 006: -3.7397, 048: 5.4234, 026: 6.1361, 042: -3.8263, 013: 6.0382, 052: 6.1543, 050: 6.1821, 032: 5.6621, 054: 4.9196, 051: 6.0042, 003: -14.5914, 022: 5.9368, 017: 5.4406, 028: 5.8984, 033: 6.1417, 025: -0.1687, 038: -6.9579, 055: 4.2440, 004: 4.4575, 046: -11.8514, 056: 6.2416, 024: 5.6403, 016: 6.0640, 049: -7.3490, 027: 6.0693, 057: 5.9231, 005: 6.2684, 041: -0.3590, 031: 5.3759, 000: 6.2419, 019: 6.0936, 009: 5.9989, 053: 6.1892, 012: -6.9667, 047: 1.0261, 034: 6.0919, 037: 6.1058, 035: 0.6264, 023: -0.8208, 044: 5.8503, 008: 4.8420, 030: -6.6140, 001: -0.7739"
3,0.05397319036845835,81,0.5397318968249449,"020: 2.2204, 045: -0.8756, 021: -0.8204, 015: 2.4354, 007: -0.9039, 039: -0.2411, 059: 2.3749, 018: 2.3614, 014: -0.8423, 040: 0.8640, 036: 2.3349, 058: -0.9916, 043: -0.1927, 011: 2.0466, 010: -0.5691, 029: 2.4439, 002: 2.0258, 006: -3.5678, 048: -7.9606, 026: 2.3396, 042: 1.2989, 013: -0.9049, 052: -10.7904, 050: 0.5004, 032: 2.1473, 054: -0.2474, 051: 2.4035, 003: 2.4250, 022: 2.0229, 017: -0.5686, 028: 0.5053, 033: -1.0278, 025: -0.7449, 038: 2.3985, 055: 2.4301, 004: 2.4106, 046: -0.7859, 056: -4.7384, 024: 1.2872, 016: 2.2613, 049: 2.3430, 027: 1.3945, 057: 2.4415, 005: 1.9122, 041: 2.3091, 031: -4.5011, 000: 2.3937, 019: 2.4297, 009: 2.4513, 053: 2.1073, 012: 0.6983, 047: 2.3225, 034: 2.3009, 037: 2.3174, 035: 0.6541, 023: 2.4529, 044: -0.0982, 008: 1.0023, 030: -3.0862, 001: 2.3589"
4,0.048168708213526666,171,0.48168707922376863,"020: -0.9750, 045: 4.5241, 021: -4.0318, 015: 5.0824, 007: 0.3194, 039: 2.8645, 059: 4.9914, 018: -3.1121, 014: 4.9944, 040: -5.5819, 036: -2.9064, 058: 3.6808, 043: 2.5310, 011: 1.0374, 010: -2.0420, 029: 4.9489, 002: 4.8522, 006: 4.5551, 048: -1.1501, 026: 4.9590, 042: -1.3912, 013: 5.0738, 052: 4.8512, 050: 5.0059, 032: 4.9846, 054: 5.0310, 051: 5.0424, 003: -0.8559, 022: 5.1595, 017: 0.7345, 028: 2.2846, 033: 1.1613, 025: 4.7632, 038: 2.0904, 055: -4.4958, 004: 4.7728, 046: -7.2829, 056: -5.8190, 024: 4.5409, 016: 5.0183, 049: 4.8419, 027: -0.7730, 057: 5.1215, 005: 5.1619, 041: 0.3469, 031: 0.8734, 000: 5.1163, 019: 4.6164, 009: 4.6866, 053: 5.0119, 012: 5.1609, 047: 4.8828, 034: -1.0123, 037: 4.9696, 035: 5.1046, 023: 4.9548, 044: 4.6795, 008: 4.9239, 030: 0.8010, 001: 4.2723"
5,0.04976938837169741,144,0.49769388125630354,"020: 0.0981, 045: 3.5409, 021: -18.6431, 015: -0.7800, 007: 4.2768, 039: 3.8344, 059: 1.6328, 018: 4.1334, 014: -6.9566, 040: 4.1700, 036: -13.8820, 058: -0.7787, 043: 4.1739, 011: 0.6393, 010: 4.2355, 029: -5.9879, 002: 4.2902, 006: 4.2010, 048: 4.1868, 026: 0.0739, 042: 4.2830, 013: -0.7981, 052: 4.1161, 050: -0.9794, 032: 4.1780, 054: 4.2024, 051: 4.2928, 003: 4.2840, 022: 4.3020, 017: 4.3662, 028: 1.9538, 033: 3.6831, 025: 3.9840, 038: 0.7086, 055: 4.2411, 004: -12.4412, 046: 4.1617, 056: 4.2358, 024: 4.2008, 016: 0.3082, 049: 0.1570, 027: 3.6031, 057: 4.3415, 005: -2.2391, 041: -2.3343, 031: 4.0800, 000: -0.1168, 019: 3.2300, 009: 4.2955, 053: 4.3162, 012: -1.1487, 047: 4.1693, 034: 4.3501, 037: 4.2232, 035: -3.0760, 023: -5.6859, 044: -0.7445, 008: 4.3198, 030: -1.0092, 001: 4.2012"
6,0.04655717410513843,146,0.4655717389275936,"020: 4.1478, 045: 2.9582, 021: -1.4345, 015: 3.9531, 007: 4.4525, 039: -0.5461, 059: 0.0182, 018: -2.7262, 014: 4.1916, 040: 1.6690, 036: 3.4807, 058: 4.3941, 043: 4.1562, 011: 4.3029, 010: -0.9597, 029: 3.9499, 002: 4.2923, 006: -35.3418, 048: 3.0189, 026: 4.1941, 042: -10.8095, 013: -0.5721, 052: 4.2962, 050: 0.1357, 032: -8.1189, 054: 4.0934, 051: 1.9794, 003: 3.9838, 022: -0.7755, 017: 4.1609, 028: 1.9619, 033: 3.8993, 025: 4.2296, 038: -0.7478, 055: 3.9879, 004: 4.1748, 046: 1.4948, 056: -0.7152, 024: 3.7357, 016: -2.7527, 049: 4.3651, 027: -0.4618, 057: 4.3851, 005: -0.4843, 041: 4.3670, 031: 4.3773, 000: 2.0814, 019: 4.1033, 009: 3.9349, 053: 1.7119, 012: 4.1277, 047: -0.2987, 034: 4.1204, 037: 4.2306, 035: 4.1939, 023: 2.1244, 044: 4.3553, 008: 4.4949, 030: 4.2324, 001: -1.1446"
7,0.044868739247724054,156,0.44868739032346083,"020: 4.0300, 045: 4.4397, 021: 3.8866, 015: 4.3806, 007: -1.7079, 039: 4.0485, 059: -4.9805, 018: 4.5551, 014: 1.8126, 040: 3.5744, 036: 4.6481, 058: -0.6058, 043: 3.7084, 011: 4.4871, 010: 4.6042, 029: -1.7515, 002: 4.6520, 006: 0.1236, 048: 4.6795, 026: 4.0742, 042: 4.6958, 013: -1.4233, 052: 4.4835, 050: -1.9061, 032: -0.6299, 054: 4.5275, 051: 4.4996, 003: 4.4381, 022: 0.8891, 017: -13.9733, 028: 4.0514, 033: 1.5565, 025: 4.7104, 038: 4.6248, 055: 0.8658, 004: 1.8254, 046: 4.3121, 056: 4.4910, 024: 0.0169, 016: -0.8484, 049: 3.3286, 027: -6.5486, 057: 4.4937, 005: 4.5668, 041: 0.7948, 031: 4.2878, 000: 0.3482, 019: 1.5872, 009: 4.7057, 053: 4.5554, 012: -5.0331, 047: -0.7311, 034: -8.7758, 037: -0.6150, 035: 4.6424, 023: 4.5711, 044: 4.5380, 008: 4.6468, 030: 4.3885, 001: 4.5838"
8,0.045280905309885065,137,0.4528090506011075,"020: 2.4557, 045: -0.4497, 021: 4.0359, 015: -0.0813, 007: 3.6291, 039: 2.8318, 059: 0.9249, 018: 4.1498, 014: 3.9755, 040: 3.9660, 036: 4.0479, 058: 1.6991, 043: 2.9640, 011: -3.4947, 010: 4.0779, 029: -2.6997, 002: 4.0632, 006: 4.0849, 048: 3.6840, 026: 4.0591, 042: -0.4450, 013: 3.8319, 052: 1.8431, 050: 2.7107, 032: 4.1380, 054: 1.7855, 051: -10.3202, 003: 2.7045, 022: 4.0600, 017: 3.9829, 028: 3.9907, 033: 4.0043, 025: 4.1626, 038: -4.7467, 055: 4.0373, 004: 4.0218, 046: -1.3935, 056: 3.6475, 024: 2.9094, 016: 2.8498, 049: 4.1069, 027: -2.8711, 057: 1.0510, 005: 3.9337, 041: -2.9001, 031: 3.6140, 000: 4.1054, 019: 3.6418, 009: 4.1756, 053: -0.7307, 012: 4.1044, 047: 3.9627, 034: 3.6420, 037: -0.7230, 035: 3.8694, 023: 0.9898, 044: -2.0782, 008: 3.8248, 030: 3.2347, 001: 3.7886"
9,0.04752679838684617,164,0.47526798124144176,"020: -0.8163, 045: 4.9800, 021: 0.4399, 015: 4.7441, 007: 1.1033, 039: -0.1984, 059: 4.3821, 018: 0.3953, 014: 4.9649, 040: 0.8521, 036: 1.9491, 058: -24.1277, 043: -0.5014, 011: 3.9381, 010: 4.8591, 029: 4.7567, 002: 1.6730, 006: 4.2131, 048: 4.7416, 026: 1.9140, 042: -1.6428, 013: -1.7691, 052: -7.8791, 050: 4.9779, 032: 1.4820, 054: -1.7691, 051: 4.8414, 003: 1.7349, 022: 4.9102, 017: -2.3586, 028: 3.5140, 033: 4.7221, 025: 4.7530, 038: 4.8946, 055: 1.6236, 004: 4.8490, 046: 4.7034, 056: 4.8500, 024: -1.0183, 016: 5.0109, 049: -0.4818, 027: -6.5054, 057: 0.7482, 005: -0.4332, 041: 4.6828, 031: 4.6110, 000: 4.5090, 019: 4.8125, 009: 4.8991, 053: 4.5339, 012: 4.8142, 047: 4.5204, 034: 4.9973, 037: -8.3516, 035: 4.8206, 023: 2.2779, 044: 4.8435, 008: -2.8937, 030: 4.2503, 001: 4.8748"
