episode,sim/wall,total steps,steps/sec,score
0,0.11416109498193443,206,1.1416109407690984,"039: -1.7662, 006: -0.2833, 030: 5.9873, 014: 5.8631, 012: 6.2279, 040: 0.2475, 011: 6.1976, 020: 6.0635, 001: 6.1333, 002: -0.9798, 043: -1.0186, 047: 5.9159, 041: 0.1766, 035: 6.2359, 007: 2.8321, 028: 5.4881, 009: 5.7626, 023: 5.1473, 022: -0.7815, 010: 0.1464, 032: -0.5885, 050: 5.8685, 016: -3.9253, 042: 5.7280, 008: 6.1472, 044: 5.9344, 018: 6.0217, 045: -1.5399, 036: 3.4380, 052: 1.5913, 056: 1.7966, 034: 5.8538, 029: 6.1507, 013: 0.2902, 019: 5.9542, 037: 5.8361, 005: 0.0337, 026: 1.7760, 057: 5.6652, 059: -0.7880, 025: -0.4102, 003: 5.9228, 000: 5.5863, 038: 4.2116, 017: -1.6481, 058: 6.0492, 051: -0.9844, 004: 6.1387, 033: 5.6690, 046: 6.0768, 027: 6.0058, 049: -0.8164, 024: 5.8949, 055: -0.8067, 048: 5.8073, 031: 5.7011, 053: -0.3131, 021: 5.8643, 015: -1.8974, 054: -2.6642"
1,0.08949061153328959,137,0.8949061069705961,"039: 4.2129, 006: -4.5944, 030: 3.9825, 014: 4.0795, 012: -0.6209, 040: 4.0817, 011: -20.9987, 020: -0.5309, 001: 3.6027, 002: -3.9906, 043: -0.9791, 047: 2.0252, 041: 4.0618, 035: 4.1908, 007: 3.8474, 028: 4.0050, 009: -0.9747, 023: 0.6257, 022: 4.0432, 010: -0.9925, 032: 0.8879, 050: -0.9705, 016: 3.9388, 042: -0.5869, 008: 4.0242, 044: -0.2694, 018: 3.4293, 045: -2.0789, 036: 3.8867, 052: 4.0890, 056: -1.1354, 034: 3.8769, 029: -0.1713, 013: 3.9625, 019: 2.2586, 037: 4.1806, 005: 0.6792, 026: 3.9804, 057: 2.2737, 059: 3.7745, 025: 4.0844, 003: -11.6440, 000: 4.3248, 038: 3.9181, 017: 4.0510, 058: -0.5370, 051: -0.2546, 004: 4.1212, 033: 1.9941, 046: 3.8376, 027: 4.0487, 049: 3.6999, 024: 4.0128, 055: 4.1209, 048: -3.9918, 031: 4.0091, 053: 2.5124, 021: 4.0452, 015: 3.8646, 054: 3.6252"
2,0.06418272794625346,170,0.6418272754184005,"039: 0.3942, 006: -3.7771, 030: -9.3454, 014: 4.8958, 012: -6.9523, 040: -2.0383, 011: -1.9909, 020: 4.8504, 001: -0.7737, 002: -3.9115, 043: 4.7195, 047: 5.0850, 041: -6.3599, 035: -1.3151, 007: 0.6472, 028: 5.2655, 009: 5.0095, 023: -0.8207, 022: 4.9330, 010: 4.8796, 032: 5.0715, 050: 4.9534, 016: 4.6925, 042: -3.0156, 008: 5.1583, 044: 5.0751, 018: 3.7191, 045: 4.6059, 036: 5.1612, 052: 5.1744, 056: 5.1021, 034: 5.0948, 029: 5.0541, 013: 4.9860, 019: 4.7988, 037: 5.1661, 005: 1.6607, 026: 4.8997, 057: 5.0651, 059: 4.0863, 025: 0.3870, 003: -14.7036, 000: 4.9604, 038: -6.9524, 017: 4.6494, 058: 5.1520, 051: -1.5943, 004: 5.1030, 033: 1.6930, 046: 0.4757, 027: 5.1627, 049: -7.2542, 024: 4.5648, 055: 4.0174, 048: 4.6009, 031: 4.8055, 053: 5.1642, 021: -3.1518, 015: -19.1517, 054: 4.6334"
3,0.05618782270854394,107,0.5618782221612044,"039: -0.3555, 006: -3.4995, 030: -0.6227, 014: -0.8397, 012: -2.3108, 040: 2.2973, 011: 3.0534, 020: 2.8367, 001: 3.1647, 002: 2.2642, 043: -1.9023, 047: 2.9999, 041: 2.9739, 035: 2.8502, 007: 3.1563, 028: 3.0246, 009: 3.2369, 023: 3.2761, 022: 3.1305, 010: -0.6353, 032: 2.0905, 050: 2.0344, 016: 3.0855, 042: 0.9202, 008: 1.7752, 044: 0.2716, 018: 3.1623, 045: 1.4506, 036: 3.1690, 052: -10.5602, 056: -5.0886, 034: 1.0328, 029: 1.1602, 013: 3.2532, 019: -0.6395, 037: 3.0686, 005: 2.8342, 026: 3.1703, 057: 3.1577, 059: 3.1441, 025: -0.7242, 003: 2.7712, 000: 3.0334, 038: 3.2029, 017: -0.6087, 058: -11.3202, 051: 3.2830, 004: 3.0470, 033: -0.9114, 046: -0.7900, 027: 3.0854, 049: 3.0810, 024: -1.8968, 055: 1.7904, 048: -5.7653, 031: -4.4631, 053: 2.7983, 021: -1.0086, 015: 3.2018, 054: -1.2287"
4,0.04991831804952826,181,0.49918317819765595,"039: 2.0927, 006: 4.9280, 030: 0.3126, 014: 2.1147, 012: 5.3815, 040: -2.7596, 011: 5.2256, 020: -3.2492, 001: 3.4300, 002: 5.2428, 043: 2.4044, 047: 2.2704, 041: 5.4174, 035: 5.2548, 007: 5.4811, 028: -0.1425, 009: 5.2754, 023: -10.3259, 022: 5.4641, 010: -1.9009, 032: 5.3211, 050: 5.1967, 016: 5.2670, 042: 5.1465, 008: 5.1049, 044: -0.1204, 018: 4.9576, 045: 4.3572, 036: -2.8875, 052: 1.7918, 056: -6.9891, 034: -0.9440, 029: -0.9644, 013: 5.3487, 019: 4.8794, 037: 5.1008, 005: 5.3424, 026: 5.3921, 057: -3.1896, 059: 5.1839, 025: 5.2227, 003: -0.7456, 000: 5.2433, 038: 0.9800, 017: 0.4923, 058: 4.7694, 051: 5.0885, 004: -80.2807, 033: 5.2014, 046: 1.6611, 027: -0.7734, 049: 5.2485, 024: 5.2522, 055: -4.4755, 048: -1.0824, 031: 1.8517, 053: 5.1301, 021: 5.1742, 015: 5.0687, 054: 5.3862"
5,0.05217307692427299,102,0.521730764152671,"039: 2.7039, 006: 3.0882, 030: -0.9813, 014: -6.9404, 012: -1.0853, 040: 3.0470, 011: -0.4743, 020: -0.1531, 001: 2.7968, 002: 1.7537, 043: 3.0775, 047: 3.0253, 041: -0.1148, 035: 0.2082, 007: 2.0569, 028: 0.3832, 009: 2.9559, 023: -5.7982, 022: 3.1052, 010: 2.9547, 032: 3.0822, 050: -1.0111, 016: 0.5244, 042: 3.0768, 008: 2.9598, 044: -34.3781, 018: 3.0968, 045: 2.9897, 036: -0.8920, 052: -2.8032, 056: 2.9770, 034: 3.1419, 029: -5.5596, 013: -0.7931, 019: 2.8646, 037: 3.0154, 005: -3.9535, 026: 3.0813, 057: 2.9554, 059: 2.4095, 025: 2.6060, 003: 1.6778, 000: -0.4185, 038: 3.0086, 017: 2.1750, 058: -0.7801, 051: 2.9374, 004: 1.2758, 033: 2.6348, 046: 3.0641, 027: 2.5567, 049: -0.1802, 024: 2.8763, 055: 1.9996, 048: 2.9753, 031: 2.9400, 053: 2.7867, 021: -20.1999, 015: -0.7761, 054: 3.0449"
6,0.04652164328626945,187,0.46521643065520535,"039: 2.1990, 006: -0.7576, 030: 5.3714, 014: 5.1183, 012: 5.7012, 040: 5.3614, 011: 5.5738, 020: 2.8014, 001: -0.6129, 002: 5.6517, 043: 5.2279, 047: -0.2871, 041: 5.0345, 035: -3.6156, 007: 5.6779, 028: 1.4208, 009: 5.0002, 023: 5.1273, 022: -0.7814, 010: 5.2726, 032: -2.9631, 050: 0.4955, 016: 5.5436, 042: -10.7761, 008: 5.6087, 044: 5.6654, 018: 0.1451, 045: 0.9690, 036: 5.2947, 052: 5.4277, 056: 5.1589, 034: 5.3327, 029: -12.0716, 013: -0.7821, 019: 4.9981, 037: 5.4178, 005: 3.9259, 026: 3.1446, 057: 5.4907, 059: -0.5459, 025: 5.4551, 003: 4.0620, 000: 4.0407, 038: -0.7805, 017: 5.3383, 058: 5.5709, 051: 1.7924, 004: 2.8696, 033: 5.0038, 046: 1.4747, 027: 3.9406, 049: 5.3820, 024: 4.9935, 055: 4.8196, 048: -1.0798, 031: 5.6171, 053: 5.1767, 021: 4.1780, 015: 5.2368, 054: 2.9030"
7,0.04938045349109352,155,0.4938045322854076,"039: 4.1127, 006: 0.3804, 030: 4.3313, 014: -0.1144, 012: -5.0214, 040: 3.6353, 011: 4.7123, 020: 4.3253, 001: 4.5955, 002: 4.1558, 043: 3.7397, 047: 1.6248, 041: 2.0502, 035: 4.6709, 007: -0.8263, 028: 4.2014, 009: 4.4396, 023: 4.5358, 022: 4.6456, 010: 4.3915, 032: 4.6527, 050: -2.2031, 016: 0.4691, 042: 4.4987, 008: 3.9983, 044: 4.2450, 018: 0.1920, 045: -3.0916, 036: 4.6464, 052: 4.6112, 056: 4.3907, 034: -8.4117, 029: -0.9456, 013: -1.4218, 019: 4.1919, 037: 4.3898, 005: -0.3962, 026: 3.7289, 057: 4.5127, 059: -0.7008, 025: 4.3552, 003: 1.4669, 000: 0.3114, 038: 4.5341, 017: -10.0711, 058: 0.2473, 051: 4.5632, 004: 1.4660, 033: 0.6369, 046: 2.8445, 027: -1.2068, 049: 0.0254, 024: 0.0515, 055: 1.8861, 048: 4.4708, 031: 4.0794, 053: 4.3480, 021: 4.2766, 015: 4.4524, 054: 4.5798"
8,0.05059561784666714,216,0.5059561759236229,"039: 6.1845, 006: 6.3837, 030: 0.9690, 014: 6.2994, 012: 6.3553, 040: 2.5312, 011: -11.2154, 020: 6.2996, 001: 6.1071, 002: 3.9342, 043: 3.9732, 047: 6.3454, 041: -2.9024, 035: 4.0891, 007: -7.7466, 028: 6.5873, 009: 6.4065, 023: 6.1503, 022: 5.9262, 010: 6.2643, 032: 6.4567, 050: 5.9591, 016: -0.8442, 042: 6.3090, 008: 6.1059, 044: 1.1610, 018: 6.1736, 045: -3.1162, 036: 1.5195, 052: 1.5161, 056: 6.1384, 034: 4.8484, 029: -2.7300, 013: -0.7770, 019: 4.4087, 037: 6.3378, 005: 5.3371, 026: 6.0514, 057: 6.1785, 059: -2.2304, 025: 6.2061, 003: 6.1146, 000: -0.7171, 038: -4.7516, 017: 3.3666, 058: -9.2510, 051: -10.7375, 004: 6.1807, 033: 6.3138, 046: 1.0975, 027: -22.1716, 049: 6.3128, 024: 0.7282, 055: 6.4923, 048: 5.7868, 031: -2.5249, 053: 6.5266, 021: 6.0005, 015: -10.9078, 054: -2.8970"
9,0.05054184668001666,146,0.5054184642972828,"039: -4.3449, 006: 3.7156, 030: -0.1482, 014: 4.3389, 012: -4.4044, 040: -0.9487, 011: 3.8766, 020: 1.5469, 001: 4.4369, 002: 4.4214, 043: 0.9372, 047: 4.3735, 041: 4.3386, 035: 4.3664, 007: 0.5053, 028: 4.2360, 009: 4.2719, 023: 3.0055, 022: -0.9708, 010: 4.2240, 032: 2.4230, 050: 4.3011, 016: 4.1393, 042: 0.5339, 008: -2.9002, 044: -1.7646, 018: 0.1989, 045: 4.2609, 036: 4.1684, 052: 2.0458, 056: 4.4352, 034: 4.3373, 029: 4.2365, 013: -1.7665, 019: 4.1638, 037: -8.0308, 005: -0.3863, 026: 2.9071, 057: -11.8259, 059: 3.9284, 025: 4.2391, 003: 4.3185, 000: 3.8780, 038: 0.4139, 017: -2.3721, 058: -1.3132, 051: 4.2625, 004: 4.3018, 033: 4.1086, 046: 4.3885, 027: -6.9896, 049: 0.8833, 024: -1.0206, 055: -7.6277, 048: 4.3198, 031: 4.0376, 053: 4.0922, 021: 0.5122, 015: 4.3506, 054: -1.7667"
