episode,sim/wall,total steps,steps/sec,score
0,0.14192010417381898,196,1.4192010245879614,"041: -3.0949, 017: -1.6526, 024: 5.6145, 038: 2.7239, 036: 5.5535, 019: 2.9533, 008: 5.8858, 013: -0.1925, 014: 5.8971, 011: 5.7433, 033: 5.3969, 034: -0.0425, 037: 5.4596, 043: -1.0076, 012: 5.8817, 039: -1.7673, 032: -0.8890, 026: 5.5980, 003: -0.1841, 023: 5.2180, 006: 5.3371, 015: -5.8191, 016: 4.2726, 028: 5.0369, 029: 5.7471, 005: 1.0073, 009: 5.7254, 044: 5.6036, 027: 5.4948, 022: 1.0500, 030: 5.6963, 001: 5.7081, 020: -16.7133, 035: 5.7976, 040: 0.9416, 021: 5.5558, 031: 3.8438, 018: 5.9865, 042: 5.6288, 000: -0.7853, 002: 1.2378, 007: 5.1019, 025: -0.7840, 004: 5.7119, 010: 0.8937"
1,0.12757840696254247,114,1.2757840423934224,"041: 3.2487, 017: 0.2635, 024: 3.3175, 038: 2.9140, 036: 3.4366, 019: 3.2785, 008: -10.8339, 013: 0.7475, 014: 3.1227, 011: -6.1794, 033: 3.3175, 034: 3.3468, 037: 3.3610, 043: 3.3285, 012: 0.4482, 039: 3.4490, 032: -1.9319, 026: -6.6050, 003: 2.8651, 023: -11.2227, 006: 0.5603, 015: -4.0008, 016: -0.8705, 028: 2.2209, 029: 3.4526, 005: -0.4098, 009: 3.3461, 044: 3.3226, 027: 3.3446, 022: -3.7989, 030: 1.7745, 001: -0.3707, 020: -5.6117, 035: 3.4136, 040: 3.0349, 021: -0.0169, 031: -17.5317, 018: 1.5939, 042: 3.3875, 000: 3.3446, 002: -4.5940, 007: 3.3273, 025: 2.5833, 004: 2.9067, 010: 3.2017"
2,0.07545863326429512,230,0.7545863285112571,"041: 6.8890, 017: -0.7479, 024: 6.2055, 038: 6.6119, 036: 6.8108, 019: 6.8742, 008: 6.8739, 013: -5.4917, 014: 0.5066, 011: 3.2731, 033: 6.8142, 034: 6.4304, 037: 5.9029, 043: 6.7947, 012: 0.4798, 039: 0.3761, 032: 0.4000, 026: -11.1379, 003: 6.6148, 023: 6.5306, 006: 3.4641, 015: 3.2837, 016: 7.0199, 028: 6.7729, 029: 6.7015, 005: 3.3222, 009: -0.8450, 044: 6.6975, 027: 1.8775, 022: 6.8919, 030: 6.7372, 001: 6.8241, 020: 4.0616, 035: 6.5323, 040: 6.8013, 021: -3.0407, 031: 6.5063, 018: 1.8936, 042: 6.1839, 000: -8.3595, 002: 6.4035, 007: 6.6825, 025: 6.5849, 004: -3.6572, 010: -0.6243"
3,0.07056513794272987,182,0.705651374208878,"041: -1.2763, 017: 5.3729, 024: 5.4064, 038: 5.4486, 036: 5.3027, 019: -7.2596, 008: -6.9511, 013: 5.3257, 014: 5.0532, 011: -29.1862, 033: 4.7641, 034: 5.2719, 037: 3.2709, 043: -0.2989, 012: 0.0974, 039: 1.0244, 032: 5.3407, 026: 5.4567, 003: 5.1982, 023: 5.3389, 006: 5.4225, 015: 4.7959, 016: 1.1757, 028: 0.5003, 029: 5.2635, 005: -3.0412, 009: -3.1705, 044: -3.0894, 027: 3.7722, 022: 5.5349, 030: 0.7454, 001: 4.6313, 020: 5.3183, 035: 5.4730, 040: 5.4113, 021: 0.5070, 031: 5.2083, 018: 5.3527, 042: 5.3946, 000: -0.5466, 002: 5.4245, 007: -0.2777, 025: -0.2365, 004: 5.3419, 010: -1.9001"
4,0.0658905229290805,100,0.6589052210099346,"041: -3.5585, 017: 0.4683, 024: -4.4789, 038: -0.9751, 036: 0.6766, 019: 1.8052, 008: 3.0023, 013: 2.7021, 014: -1.0081, 011: 3.0675, 033: 2.4638, 034: 2.9637, 037: -2.0293, 043: 0.4820, 012: 0.0323, 039: -0.7841, 032: -0.6089, 026: -1.3815, 003: 2.3078, 023: -17.4202, 006: 3.0300, 015: 0.8939, 016: 2.8533, 028: 2.5762, 029: 2.9358, 005: 3.0302, 009: 2.8047, 044: 0.9085, 027: 2.8370, 022: 2.9248, 030: 1.9998, 001: 0.1513, 020: 2.8940, 035: 2.9137, 040: 2.6206, 021: 0.5126, 031: 2.9724, 018: -1.9556, 042: 2.9864, 000: 2.9973, 002: 2.8430, 007: -0.8455, 025: 3.0956, 004: 2.7904, 010: 3.0361"
5,0.06399462470502117,191,0.6399462429605846,"041: 1.0241, 017: 5.2134, 024: 5.5003, 038: 5.2749, 036: -3.0935, 019: 5.2417, 008: 5.1416, 013: 5.7187, 014: -0.2735, 011: 5.4713, 033: 0.8214, 034: 0.0947, 037: 5.6165, 043: -1.6906, 012: 5.2442, 039: 5.6954, 032: 5.3703, 026: 5.6622, 003: 5.0697, 023: -2.0488, 006: -1.5774, 015: -34.3255, 016: -1.3801, 028: 5.5110, 029: 5.6241, 005: 5.7630, 009: 5.6524, 044: -4.6715, 027: 5.7104, 022: -3.2378, 030: -15.0203, 001: 1.4718, 020: 5.6368, 035: -0.7052, 040: -0.7737, 021: 4.3060, 031: -0.2846, 018: 5.5908, 042: -1.2408, 000: 5.2225, 002: -1.5261, 007: 5.4523, 025: 5.4054, 004: 2.9232, 010: -0.4037"
6,0.06117057857045536,156,0.6117057811295582,"041: 4.3971, 017: 0.3697, 024: 2.1603, 038: 2.7848, 036: 4.5071, 019: 4.1724, 008: -3.5534, 013: 4.7971, 014: 4.3482, 011: 4.5061, 033: 4.1366, 034: -7.6658, 037: 2.8016, 043: 1.2086, 012: -0.9094, 039: -5.0603, 032: 4.3304, 026: 4.6537, 003: 4.6247, 023: 4.2254, 006: 1.3028, 015: -2.5240, 016: 4.7566, 028: -1.1867, 029: 4.5612, 005: -4.8897, 009: 2.3346, 044: 4.7445, 027: 4.4948, 022: 4.1525, 030: 4.6454, 001: 4.4406, 020: 2.0149, 035: 0.9219, 040: -3.6989, 021: 4.0803, 031: -0.5534, 018: 3.9872, 042: 4.5859, 000: 4.5828, 002: 4.5310, 007: 4.5851, 025: -2.0294, 004: 4.5597, 010: 4.1379"
7,0.0668297963654678,210,0.66829795909112,"041: 0.3314, 017: 6.2917, 024: 6.3197, 038: 5.7038, 036: 0.8905, 019: 6.3219, 008: -1.4210, 013: -0.0749, 014: 5.6782, 011: 5.6231, 033: -0.7467, 034: 5.9900, 037: -0.4926, 043: 5.6091, 012: 6.0097, 039: 6.0676, 032: 1.2760, 026: 5.7368, 003: 5.5102, 023: 3.3080, 006: -3.5533, 015: 5.8766, 016: 6.0219, 028: 6.3063, 029: 0.9835, 005: -0.0310, 009: 2.2139, 044: 6.1608, 027: 1.9152, 022: -0.7865, 030: 6.0541, 001: 5.3436, 020: 6.3711, 035: 6.2025, 040: 5.4759, 021: 0.7536, 031: 1.4871, 018: 4.9940, 042: 1.6090, 000: -0.4066, 002: 6.2530, 007: 4.8848, 025: -4.2220, 004: 3.8106, 010: 6.2105"
8,0.06114724212632651,154,0.6114724148958113,"041: 4.6420, 017: 4.0640, 024: 4.4880, 038: 2.9628, 036: 4.4846, 019: -0.7120, 008: 4.1264, 013: -0.1482, 014: 2.2129, 011: 4.6601, 033: 4.6167, 034: -0.1518, 037: 4.2746, 043: -2.4537, 012: -0.8545, 039: 4.0720, 032: -0.8984, 026: -11.2945, 003: 4.5919, 023: -3.3051, 006: -0.7783, 015: 4.5815, 016: -4.5162, 028: 4.0413, 029: 2.2615, 005: -0.6978, 009: 4.5490, 044: 4.8076, 027: 4.3470, 022: -2.7441, 030: 1.6401, 001: 3.5073, 020: 4.2625, 035: -1.0835, 040: 1.7364, 021: 2.8064, 031: -0.2218, 018: 4.5373, 042: 4.6914, 000: 4.4522, 002: -2.6265, 007: 4.2495, 025: 4.6483, 004: 4.2965, 010: 4.4202"
MEAN,0.08161722744885976,170.33333333333334,0.8161722654209475,n/a
