episode,sim/wall,total steps,steps/sec,score
0,0.10022472570432678,134,1.0022472427452764,"027: 3.8831, 034: 1.2982, 002: -0.9833, 051: -0.7668, 007: 3.7172, 025: -0.2025, 020: 4.0735, 058: 3.9534, 032: -0.4840, 011: 4.0394, 009: -0.5464, 022: -0.7815, 000: -0.1750, 004: 3.7249, 028: 3.9545, 059: -0.7879, 031: 3.7726, 016: -0.5549, 017: -1.6430, 013: -3.2608, 024: 3.7743, 041: 0.0879, 030: 3.8510, 047: 4.0908, 044: -0.0665, 056: 3.9405, 005: -0.4941, 048: 3.7310, 043: -1.0290, 042: 3.5676, 019: 3.8502, 052: 1.5768, 049: 4.0000, 014: 4.0884, 018: 4.0453, 040: 2.9906, 045: 3.8996, 008: 3.9034, 057: 4.0584, 001: 3.8759, 006: 3.8475, 026: 3.7851, 012: 3.9432, 023: 3.3691, 038: -0.4013, 015: -1.3238, 050: -0.3471, 046: 3.9260, 033: 3.6459, 035: 4.0779, 029: 4.0155, 036: 3.8102, 037: 3.5908, 055: -0.0505, 003: 3.9378, 039: -1.7638, 054: -3.4762, 021: 0.1057, 010: 2.9390, 053: -0.2561"
1,0.08971136921265746,84,0.8971136784206915,"027: 2.4870, 034: 2.3713, 002: -3.9657, 051: 0.1055, 007: 2.4572, 025: 2.4134, 020: 0.6418, 058: 0.5156, 032: 0.7034, 011: -2.8565, 009: -0.9753, 022: -2.4410, 000: 2.5830, 004: 2.4642, 028: 2.5818, 059: 2.4698, 031: 2.3737, 016: 2.5165, 017: 2.4813, 013: 2.3797, 024: 0.5801, 041: 2.1372, 030: 0.6459, 047: 1.4538, 044: 0.4883, 056: 1.0762, 005: 2.3033, 048: -3.9737, 043: -0.6222, 042: -0.8797, 019: 0.4444, 052: 2.5510, 049: 2.5025, 014: 2.4298, 018: 2.0150, 040: 2.4041, 045: -1.7996, 008: 2.4513, 057: 0.4315, 001: 2.1205, 006: -4.3582, 026: 0.4466, 012: 0.9927, 023: 0.0783, 038: 2.0101, 015: 0.0564, 050: -0.7177, 046: 2.4082, 033: 1.4441, 035: 2.6406, 029: 2.0460, 036: 2.3709, 037: 2.4430, 055: 2.5024, 003: -11.1179, 039: 2.5454, 054: 2.2658, 021: 2.5850, 010: -0.9957, 053: 1.8089"
2,0.0755095373215321,163,0.7550953682114354,"027: 4.8102, 034: 4.8760, 002: 0.0506, 051: 1.7238, 007: -0.0206, 025: 4.8893, 020: 4.9617, 058: 1.6753, 032: 4.6166, 011: 0.1682, 009: 4.8781, 022: 1.8474, 000: 4.8056, 004: 4.9563, 028: 4.8015, 059: 4.9380, 031: 3.7162, 016: 4.7229, 017: 4.6862, 013: 4.8200, 024: 4.0056, 041: -2.3246, 030: -5.6629, 047: 4.5447, 044: 4.6798, 056: 4.7886, 005: 3.4284, 048: 4.4068, 043: 4.6996, 042: -0.0598, 019: 4.7577, 052: 4.7028, 049: -7.6836, 014: 4.6459, 018: -0.9120, 040: -2.0451, 045: 4.3406, 008: 4.8382, 057: 4.7989, 001: -0.7719, 006: -4.0730, 026: 4.7007, 012: -6.4802, 023: -0.7895, 038: -6.9455, 015: 0.5678, 050: 4.9164, 046: 4.7199, 033: 2.0164, 035: 0.5997, 029: 4.9561, 036: 4.9663, 037: 3.6767, 055: -0.6483, 003: -14.6342, 039: -19.8106, 054: 4.9522, 021: 1.4594, 010: 4.5719, 053: 4.6472"
3,0.054629003965465696,99,0.546290035342419,"027: 2.7562, 034: 0.1424, 002: 2.3279, 051: 2.9903, 007: 2.9318, 025: -2.6187, 020: 2.7431, 058: -3.9718, 032: 2.9761, 011: 2.7874, 009: 3.0371, 022: -0.2008, 000: 2.9170, 004: 3.1546, 028: 2.8309, 059: 2.8290, 031: -4.4997, 016: 2.8766, 017: 1.7343, 013: 2.9970, 024: -0.3713, 041: 2.9362, 030: -6.6888, 047: 2.4549, 044: 0.4823, 056: -5.1095, 005: 2.2764, 048: -2.5393, 043: 0.1707, 042: 0.1427, 019: -9.2926, 052: -10.0212, 049: 3.0088, 014: -0.8473, 018: 2.9024, 040: 2.3273, 045: -0.9732, 008: 0.9385, 057: 3.0319, 001: 2.8374, 006: -3.4987, 026: 2.8651, 012: 1.9676, 023: 2.8201, 038: 2.9098, 015: 2.8921, 050: 2.9301, 046: -0.7876, 033: -0.9039, 035: 2.5828, 029: 2.8556, 036: 2.9149, 037: 3.0100, 055: 2.8107, 003: 2.6439, 039: -2.4591, 054: -0.1551, 021: -1.0126, 010: 1.6966, 053: 2.8045"
4,0.04247844476080445,149,0.42478444558693856,"027: -0.7735, 034: 1.1592, 002: 4.4970, 051: 4.4930, 007: 0.1531, 025: 4.3699, 020: -0.8729, 058: 3.9186, 032: 4.2587, 011: 4.3909, 009: 4.3649, 022: 4.5393, 000: 4.4353, 004: 4.1497, 028: 3.1151, 059: 3.1924, 031: 2.2218, 016: 1.9378, 017: -2.0327, 013: 4.3142, 024: 4.2667, 041: 0.9060, 030: 0.5943, 047: 4.2383, 044: 4.1453, 056: -6.4801, 005: 4.4735, 048: -1.1512, 043: 3.9562, 042: 4.4190, 019: 4.2444, 052: 2.1961, 049: 4.5760, 014: 4.3837, 018: -5.2871, 040: 4.4300, 045: 3.9589, 008: 4.0288, 057: 0.7795, 001: 3.7617, 006: 4.1481, 026: 4.4976, 012: 4.4244, 023: 0.6538, 038: 2.2715, 015: 4.4773, 050: 3.2019, 046: 0.9713, 033: 4.3256, 035: 4.5407, 029: 4.4639, 036: -2.9020, 037: 4.2717, 055: -4.4777, 003: -0.6849, 039: 4.0118, 054: 2.9847, 021: 1.8583, 010: -1.9058, 053: 3.3624"
5,0.044963178256416,205,0.44963178115340535,"027: 5.6299, 034: 5.9509, 002: 5.9643, 051: 6.2028, 007: 5.7443, 025: 5.4289, 020: 0.8551, 058: -0.7773, 032: 5.9534, 011: -6.7872, 009: 5.7912, 022: 6.1405, 000: -0.1876, 004: -3.0259, 028: 2.0364, 059: 3.3476, 031: 5.7813, 016: 5.1046, 017: 6.1802, 013: -0.7983, 024: 6.1536, 041: -2.6386, 030: -0.9754, 047: 5.3082, 044: -25.6076, 056: 5.9873, 005: -1.0536, 048: 5.9365, 043: 6.1178, 042: 5.9143, 019: -1.0132, 052: 6.0444, 049: 0.8342, 014: -6.9329, 018: 6.0872, 040: 5.9820, 045: 5.8864, 008: 5.1348, 057: 5.7989, 001: 5.9036, 006: 5.8604, 026: 1.7845, 012: -1.1648, 023: -4.9132, 038: 5.9233, 015: -0.7808, 050: -1.0013, 046: 6.0683, 033: 5.8098, 035: -1.1942, 029: -6.0079, 036: -0.9497, 037: 5.4029, 055: 6.2069, 003: -0.3629, 039: 5.5962, 054: 6.1116, 021: -1.0391, 010: -0.6449, 053: 5.7289"
6,0.04244731994926821,154,0.4244731972611152,"027: 4.4496, 034: 4.4927, 002: 4.3833, 051: -0.0764, 007: 4.5164, 025: 4.4978, 020: 4.4707, 058: 4.5800, 032: 4.3317, 011: 4.5735, 009: 3.9703, 022: -0.7802, 000: -0.5306, 004: 4.2949, 028: 4.1822, 059: -4.6913, 031: 4.4089, 016: -5.4750, 017: 4.5868, 013: -0.7643, 024: 4.2566, 041: 4.5157, 030: -0.0893, 047: -0.4286, 044: 4.5325, 056: 4.5530, 005: -0.6356, 048: -66.9131, 043: 4.4149, 042: -11.3197, 019: 4.4124, 052: 4.4440, 049: 4.6189, 014: 4.4556, 018: -2.9521, 040: 4.2148, 045: -0.0955, 008: 4.6255, 057: 3.4432, 001: -15.0996, 006: -0.7403, 026: 4.4550, 012: 4.6124, 023: -0.5547, 038: -0.0394, 015: 4.5885, 050: -3.3164, 046: -3.2302, 033: 1.3805, 035: 4.3432, 029: 1.5695, 036: 1.5708, 037: 4.5690, 055: 4.0271, 003: 4.2998, 039: 1.8871, 054: 4.4662, 021: -1.0730, 010: -0.4212, 053: 4.2805"
7,0.041641394196798125,171,0.4164139405173876,"027: -3.0080, 034: -9.1192, 002: 4.9653, 051: 5.2462, 007: -0.3437, 025: 4.7265, 020: 4.3612, 058: 1.7386, 032: -0.1094, 011: 5.0362, 009: 5.0629, 022: 4.9889, 000: -1.3867, 004: -0.4450, 028: 4.8274, 059: -2.7972, 031: 4.4942, 016: -3.9112, 017: -3.2833, 013: -1.4403, 024: 0.7805, 041: 4.8347, 030: 5.0897, 047: -1.6337, 044: 5.0395, 056: 1.1200, 005: 1.4010, 048: 5.0068, 043: 4.8058, 042: 4.9810, 019: 5.1313, 052: 5.1078, 049: 5.1289, 014: 5.0917, 018: -5.1754, 040: 5.1268, 045: 5.0399, 008: 4.8767, 057: 2.0981, 001: 4.9813, 006: -0.1251, 026: 2.9259, 012: -5.0282, 023: 5.1236, 038: 5.1470, 015: 4.9819, 050: -2.0394, 046: 3.1479, 033: 5.0365, 035: 5.0125, 029: 0.2807, 036: 5.0909, 037: -0.0546, 055: 2.0189, 003: 4.5219, 039: 4.3956, 054: 5.0338, 021: 4.4321, 010: 4.9945, 053: 5.0761"
8,0.042755942516470705,179,0.4275594227298132,"027: -1.6735, 034: 5.3034, 002: 4.9279, 051: -10.3302, 007: 0.9475, 025: 5.1994, 020: -1.5332, 058: 0.1021, 032: 5.2763, 011: -1.4890, 009: 5.2093, 022: 5.1428, 000: -0.6491, 004: 5.3324, 028: 5.3758, 059: -3.8580, 031: 0.4056, 016: -0.8983, 017: 5.2052, 013: -36.9955, 024: 1.2432, 041: -2.8882, 030: 4.5782, 047: 5.2094, 044: 1.5595, 056: 4.8582, 005: 5.2356, 048: -0.3048, 043: 5.1526, 042: 2.0154, 019: 4.6828, 052: 1.4333, 049: 5.3184, 014: 4.8847, 018: 1.5486, 040: -2.9661, 045: 2.0570, 008: 5.1456, 057: -0.3442, 001: 5.0349, 006: 5.2671, 026: 4.9420, 012: 5.2237, 023: 4.9340, 038: -4.7370, 015: -0.3859, 050: 4.8542, 046: 5.2097, 033: 5.4100, 035: 4.9935, 029: -2.7106, 036: 5.1034, 037: -0.2141, 055: 5.3941, 003: 5.0058, 039: 5.2548, 054: -0.3575, 021: 5.0880, 010: 5.1679, 053: -0.1840"
9,0.04057387017709229,110,0.4057386989164215,"027: -6.5407, 034: 3.2704, 002: 3.0888, 051: 0.7341, 007: 1.9492, 025: 3.0298, 020: 3.1532, 058: -7.0601, 032: 3.1821, 011: 1.6360, 009: 3.1167, 022: 3.2555, 000: 2.7554, 004: 3.2361, 028: 3.2398, 059: 1.9045, 031: 2.9191, 016: 3.4454, 017: -2.3658, 013: -1.7667, 024: -1.0212, 041: 3.3032, 030: 2.7988, 047: 2.1257, 044: 0.7023, 056: 3.3868, 005: -0.3401, 048: 2.0498, 043: 3.2829, 042: 0.9313, 019: 3.3616, 052: 3.0543, 049: 3.1976, 014: 3.3986, 018: -0.2381, 040: -1.1616, 045: 3.3816, 008: -2.9056, 057: 0.4314, 001: 3.3088, 006: 2.9654, 026: 0.4187, 012: -3.2211, 023: 3.2014, 038: 3.1484, 015: 3.3794, 050: 3.1903, 046: 3.3617, 033: 3.1880, 035: 3.3450, 029: 3.2293, 036: 0.4525, 037: -8.7150, 055: 1.5050, 003: 0.6087, 039: -0.6076, 054: -1.7722, 021: 0.0736, 010: 3.1519, 053: 3.1808"
10,0.04139134564950085,136,0.4139134540922492,"027: -0.6899, 034: 0.8103, 002: 3.8307, 051: -2.1862, 007: -6.9220, 025: 4.1196, 020: 1.2817, 058: -0.1061, 032: 0.4357, 011: 3.5826, 009: 3.8611, 022: 4.0258, 000: -0.5451, 004: -0.6635, 028: 3.9379, 059: 3.9657, 031: 0.2381, 016: 4.1305, 017: 4.1485, 013: 4.0500, 024: 4.0334, 041: 4.0040, 030: 3.9879, 047: 4.1559, 044: 3.9730, 056: -0.7136, 005: 2.9311, 048: 0.7921, 043: 3.7874, 042: 2.0308, 019: 4.0190, 052: 4.0738, 049: -0.4310, 014: 4.0654, 018: 3.9229, 040: 1.6913, 045: 1.6516, 008: 3.3633, 057: 3.8938, 001: 3.8440, 006: 4.0423, 026: -1.1188, 012: 0.5372, 023: 4.0441, 038: 3.9934, 015: 1.5941, 050: 4.0933, 046: 2.7407, 033: 4.0282, 035: 3.2558, 029: 3.9280, 036: 3.5365, 037: -3.2942, 055: -0.4209, 003: -0.4819, 039: 3.9379, 054: 1.7837, 021: 4.0826, 010: -1.5019, 053: 4.1422"
MEAN,0.05602964833730297,144.0,0.5602964786342867,n/a
