episode,sim/wall,total steps,steps/sec,score
0,0.07950388046354329,98,0.795038795408828,"007: 2.5805, 054: -0.0637, 073: -2.6146, 065: -0.9732, 014: 2.9509, 031: 2.8601, 056: 2.8922, 008: 2.9057, 071: 2.9870, 072: 2.8744, 066: -1.5262, 045: 2.9131, 016: -0.5509, 059: -0.2438, 019: 2.9286, 017: -1.6437, 009: -0.5212, 058: 2.9694, 010: 0.9821, 048: 2.6201, 028: 2.9640, 013: -0.2478, 055: -0.7562, 036: 2.8312, 035: 2.9495, 067: 2.8612, 070: -10.8258, 024: 2.9714, 015: -5.4022, 074: 2.4367, 032: -0.5215, 026: -0.9748, 041: 0.1300, 004: 2.9481, 044: 2.7614, 012: 2.9208, 005: -0.4672, 063: -0.1454, 068: 2.5199, 050: -0.1137, 021: 2.9362, 051: 2.2976, 018: 2.8836, 001: 2.8848, 000: -0.7245, 033: 2.9814, 047: 3.0244, 040: 1.0508, 053: -17.7058, 043: -1.0106, 060: 2.8424, 062: 2.9466, 022: -0.2345, 052: 1.3883, 006: 1.6875, 034: 2.7787, 049: -0.7427, 003: -0.2162, 061: 0.0316, 037: 2.3984, 039: -1.7662, 064: 2.9625, 030: 2.9205, 038: -0.2269, 029: 2.8887, 042: 2.5495, 027: 2.8156, 057: 2.9598, 023: -0.6480, 046: 2.7851, 069: 1.0140, 020: 2.7501, 025: -0.7218, 011: 2.9801, 002: 1.9378"
1,0.07376513840086069,168,0.7376513786031652,"007: 2.2959, 054: -10.7525, 073: 4.5184, 065: 4.5140, 014: 4.5619, 031: 5.0249, 056: 4.9073, 008: -3.3330, 071: 4.8655, 072: 5.0602, 066: 2.2417, 045: -0.7304, 016: 1.1895, 059: 4.8140, 019: -0.7317, 017: 0.1994, 009: 4.9585, 058: 4.7252, 010: -0.5117, 048: 4.2961, 028: 4.9896, 013: 4.9105, 055: -2.0308, 036: -2.0791, 035: 5.0081, 067: 3.9014, 070: 4.5726, 024: -3.9807, 015: 5.0420, 074: -4.1246, 032: -22.0054, 026: -1.5797, 041: -6.5800, 004: -3.7657, 044: 5.0565, 012: 4.6549, 005: 5.0364, 063: 4.8834, 068: 2.3751, 050: 4.9643, 021: -1.9034, 051: 5.0456, 018: -0.8065, 001: 4.9408, 000: 2.2363, 033: 4.8914, 047: 4.9080, 040: -4.3768, 053: 5.1612, 043: 4.9105, 060: 3.9603, 062: 5.0178, 022: 3.3666, 052: 4.8044, 006: 2.6902, 034: 1.8323, 049: 0.2836, 003: 4.8590, 061: 5.0137, 037: -0.8382, 039: 4.3054, 064: 4.6770, 030: 4.3364, 038: 0.2046, 029: 2.8609, 042: 0.7145, 027: -7.5504, 057: 4.8644, 023: 4.9612, 046: 4.0936, 069: 4.9658, 020: -1.3289, 025: 4.5892, 011: 0.5911, 002: 2.1160"
2,0.07899403760037865,163,0.7899403705274218,"007: 4.8205, 054: -0.5543, 073: -0.3527, 065: -0.3679, 014: 5.0189, 031: 4.5726, 071: -0.2364, 008: 5.0163, 056: -0.5988, 045: 4.9192, 016: -0.0768, 059: 4.5643, 058: -0.8388, 009: 4.7610, 066: 4.8125, 072: 1.7626, 010: 4.8200, 048: 4.8352, 017: 4.8857, 019: 4.4607, 055: 4.6005, 036: 4.6880, 070: 4.7659, 035: 1.1185, 068: 4.6101, 028: 4.9248, 013: 4.5598, 024: 4.7172, 067: 4.7828, 074: -10.0133, 015: 4.5679, 032: 0.8079, 026: -3.1236, 041: -5.9494, 004: 4.8269, 044: 4.7677, 063: -1.0911, 005: 4.8992, 012: 0.2158, 050: -3.5682, 021: 1.0706, 051: 4.2956, 018: 4.3003, 001: -7.6678, 047: 4.2209, 000: -0.3995, 060: 4.4920, 062: 4.8940, 053: 5.0179, 043: 4.8294, 033: -2.0383, 040: -0.3701, 052: -2.7820, 022: 4.5517, 034: -2.5736, 006: -0.2573, 049: 4.7114, 003: 1.8753, 061: -0.5496, 037: 4.8927, 039: 3.6178, 064: 4.4027, 030: 4.8445, 038: -1.9458, 029: 1.0512, 042: -5.7979, 027: 4.9137, 057: 4.5752, 023: 2.7949, 046: 0.5586, 069: -1.4932, 020: 4.7759, 025: -0.3765, 011: 4.9876, 002: 4.8315"
3,0.06746931845116354,134,0.6746931788421194,"007: 3.7838, 054: -3.0875, 073: -4.4793, 065: 3.9304, 014: 3.9099, 031: 4.0582, 056: 2.1830, 008: 3.5656, 071: 3.8118, 072: 3.9143, 066: -1.0880, 045: -0.7674, 016: 3.3784, 059: 3.8963, 019: 0.1199, 017: 3.9088, 009: 3.8211, 058: -0.7142, 010: 3.9763, 048: 0.1083, 028: -1.9040, 013: 3.8224, 055: 3.9961, 036: 0.3664, 035: 1.0800, 067: 3.8695, 070: 4.0457, 024: 3.5976, 015: -0.5186, 074: -5.6014, 032: 4.0042, 026: 4.0043, 041: 3.8422, 004: 2.8242, 044: 3.8779, 012: 4.0313, 005: 0.0793, 063: 1.3478, 068: 3.9401, 050: 3.7581, 021: -0.7392, 051: 3.8089, 018: 3.8786, 001: 4.0164, 000: 0.0208, 033: 3.9748, 047: -1.8430, 040: 3.7789, 053: 3.8549, 043: 3.8821, 060: -1.1893, 062: 3.2788, 022: 3.5639, 052: 0.1689, 006: 0.3257, 034: 4.1007, 049: 1.6638, 003: 0.3203, 061: 2.4727, 037: 1.2100, 039: 3.4717, 064: 1.8271, 030: 3.8255, 038: -0.6876, 029: 3.9685, 042: 3.7402, 027: 3.9635, 057: 3.9172, 023: 3.8661, 046: 2.1532, 069: 3.8398, 020: 3.8893, 025: 3.9650, 011: 1.5487, 002: 0.8277"
4,0.0527527679360875,88,0.527527672575241,"007: -1.1697, 054: 0.0289, 073: 2.6171, 065: 2.6281, 014: 2.5394, 031: -1.6583, 056: -2.7544, 008: -0.7972, 071: 2.6633, 072: 0.3566, 066: 2.6615, 045: -0.2570, 016: -5.2319, 059: 2.5650, 019: 0.6625, 017: 2.6968, 009: -6.9459, 058: 2.5015, 010: -0.7799, 048: 2.5618, 028: 2.3751, 013: 2.6105, 055: 0.7016, 036: -1.1391, 035: 2.4930, 067: 1.0891, 070: 2.6387, 024: -5.9992, 015: -0.1354, 074: 2.2354, 032: 2.3668, 026: 2.6972, 041: 2.7031, 004: 2.6500, 044: -0.0456, 012: 2.6754, 005: 2.5517, 063: 2.3615, 068: -0.9744, 050: 2.6759, 021: 2.5771, 051: 2.5925, 018: -6.3367, 001: 2.5722, 000: -2.3550, 033: -0.7373, 047: 2.5818, 040: 2.5084, 053: -0.7767, 043: 2.6167, 060: 1.0433, 062: 2.5176, 022: 2.1071, 052: 1.0134, 006: -0.9558, 034: 1.4848, 049: 2.6249, 003: 2.5188, 061: -0.6434, 037: 2.5440, 039: 1.6065, 064: 0.3307, 030: 2.5681, 038: 2.6154, 029: 2.7786, 042: -1.0133, 027: 2.6990, 057: 2.4542, 023: 2.5573, 046: 2.4131, 069: 1.2088, 020: 2.3296, 025: -1.3709, 011: 1.8403, 002: 2.5913"
5,0.04379232834920542,131,0.43792328104883227,"007: -9.7546, 054: -2.6105, 073: -1.4216, 065: 3.8713, 014: 3.6046, 031: 2.8279, 056: 3.7079, 008: 1.8367, 071: 3.9789, 072: -5.3468, 066: 0.2538, 045: -0.8795, 016: -0.2493, 059: 3.7929, 019: 0.3418, 017: -0.8442, 009: 3.0049, 058: 0.6527, 010: 3.9178, 048: 3.6460, 028: -0.0554, 013: 3.9381, 055: -5.2486, 036: 3.9794, 035: 2.8439, 067: -0.1827, 070: 3.8027, 024: 2.5765, 015: 1.4632, 074: 3.8262, 032: -0.5873, 026: 3.8949, 041: -0.0329, 004: 3.8639, 044: -0.0480, 012: 3.7652, 005: 2.4118, 063: 3.6201, 068: 3.6515, 050: 3.9093, 021: 3.8289, 051: 3.0313, 018: 3.9518, 001: 3.9191, 000: 0.6729, 033: 3.5658, 047: 3.6028, 040: 3.9593, 053: 3.9738, 043: 3.9518, 060: -3.9896, 062: -0.6624, 022: 3.4176, 052: 3.9060, 006: 3.9116, 034: -1.1477, 049: -0.6675, 003: 3.9633, 061: 4.0132, 037: 3.9147, 039: 3.8559, 064: 0.2988, 030: 3.7081, 038: 3.9289, 029: 3.8306, 042: 3.8422, 027: 3.8943, 057: 3.8486, 023: 0.5812, 046: -6.0907, 069: 3.8292, 020: 2.0993, 025: -3.4935, 011: -10.8728, 002: 3.7246"
6,0.042827131529338945,136,0.42827131272104485,"007: -0.7730, 054: 1.3354, 073: 4.1214, 065: 3.8507, 014: 3.8201, 031: 3.9949, 056: 4.0417, 008: 2.9116, 071: 4.1009, 072: -4.7504, 066: 4.0587, 045: -9.1443, 016: -3.3684, 059: 4.1106, 019: 0.5577, 017: 3.9718, 009: 3.8328, 058: 3.9868, 010: -0.2883, 048: 4.0281, 028: -0.3236, 013: 4.0191, 055: 3.7746, 036: 4.1921, 035: 3.7421, 067: 0.6174, 070: -0.6488, 024: 3.9828, 015: 4.0941, 074: 2.4038, 032: -0.6691, 026: 3.5624, 041: 1.0464, 004: 4.0561, 044: 4.0172, 012: -0.9815, 005: 3.1887, 063: -2.7115, 068: 4.0221, 050: 0.1223, 021: 3.9129, 051: 4.0428, 018: -0.1006, 001: -0.0606, 000: 2.3442, 033: 1.0617, 047: 3.9235, 040: 2.3637, 053: 3.4719, 043: 4.1142, 060: 3.9650, 062: 3.9405, 022: 0.3948, 052: 3.9559, 006: 3.6862, 034: -0.2615, 049: -18.1610, 003: -6.1799, 061: -2.2892, 037: -1.0126, 039: 2.3426, 064: 3.5789, 030: -1.6045, 038: 4.0223, 029: 4.1258, 042: 3.9138, 027: 3.1671, 057: -0.3295, 023: 0.6094, 046: 0.5301, 069: 3.8985, 020: 1.2231, 025: 3.8170, 011: 4.0411, 002: 4.0839"
7,0.03878502102389927,132,0.38785020779366686,"007: 3.0659, 054: -0.3240, 073: 3.9924, 065: 1.8652, 014: 3.8450, 031: 0.5543, 056: 3.8500, 008: 3.9321, 071: 3.8671, 072: -0.3733, 066: -0.1499, 045: 1.8954, 016: 3.3140, 059: 2.7941, 019: 3.9777, 017: 1.9963, 009: 4.0020, 058: 3.8947, 010: 3.8891, 048: 3.8471, 028: 0.0400, 013: 3.9544, 055: 3.8154, 036: 0.7686, 035: 3.6671, 067: 0.9147, 070: 0.8526, 024: 3.9323, 015: -0.3583, 074: 3.2372, 032: 3.9590, 026: 3.9451, 041: 3.9507, 004: 1.7425, 044: 3.8588, 012: 3.8827, 005: 3.0383, 063: 3.6912, 068: -1.6534, 050: -3.1979, 021: 3.6005, 051: 3.8623, 018: -2.8884, 001: -1.2505, 000: 3.7649, 033: 2.5051, 047: -8.7403, 040: 3.5782, 053: 2.6898, 043: 3.7599, 060: 3.9972, 062: 1.5560, 022: 3.9799, 052: 3.9975, 006: -3.7625, 034: -1.0178, 049: -1.5303, 003: 3.3124, 061: 3.7745, 037: -6.9584, 039: 3.9550, 064: -1.7667, 030: 3.7880, 038: -0.3580, 029: 3.9229, 042: 3.7764, 027: -2.3535, 057: 3.8021, 023: -1.7783, 046: 0.5979, 069: 3.3817, 020: 3.7902, 025: 3.8232, 011: 1.4904, 002: -0.0773"
8,0.03782163641042438,152,0.37821636208485643,"007: 2.3085, 054: 4.5295, 073: 3.9564, 065: 1.7428, 014: -10.7252, 031: 4.4701, 056: 4.4136, 008: -0.1155, 071: 4.6372, 072: 4.0689, 066: 0.5921, 045: -2.2956, 016: 4.4520, 059: 2.0809, 019: -0.3701, 017: 4.3820, 009: 4.4320, 058: 2.1329, 010: 4.3302, 048: 0.8079, 028: 4.4388, 013: 0.9734, 055: -0.1314, 036: 3.4017, 035: 0.5963, 067: 4.5173, 070: 4.5896, 024: -3.2671, 015: 4.4892, 074: -2.7003, 032: 4.5072, 026: 4.2807, 041: -0.1145, 004: 4.1948, 044: 4.3857, 012: 4.5958, 005: 0.7924, 063: 4.4365, 068: 4.3129, 050: 4.4197, 021: -1.0683, 051: 2.1518, 018: -0.3257, 001: 4.7622, 000: 4.5197, 033: 4.4375, 047: 4.6150, 040: 4.6191, 053: 4.3845, 043: -0.8499, 060: 3.3359, 062: 0.3370, 022: -4.4963, 052: 4.5532, 006: 4.4807, 034: 4.7150, 049: 0.5583, 003: 4.3604, 061: 2.0157, 037: 4.6162, 039: 4.5404, 064: 4.2795, 030: 4.0162, 038: -1.8106, 029: 1.0525, 042: 4.4564, 027: -0.0730, 057: -0.3168, 023: -0.3850, 046: -0.2183, 069: 4.6677, 020: 4.3957, 025: 4.0184, 011: 1.8107, 002: 4.2453"
9,0.03770242058574753,185,0.3770242043919382,"007: 1.3169, 054: -4.6141, 073: -4.7202, 065: 5.4984, 014: 4.9698, 031: 4.3741, 056: 5.4314, 008: 5.0235, 071: 5.4837, 072: 4.5538, 066: 5.1813, 045: -0.2881, 016: 5.3556, 059: 5.4177, 019: -8.3232, 017: -6.0258, 009: 1.1973, 058: 1.9333, 010: 3.9340, 048: -10.6036, 028: 5.0347, 013: 2.4953, 055: -1.2472, 036: 5.3322, 035: -0.7444, 067: -0.7742, 070: 5.2407, 024: 0.1990, 015: -4.4879, 074: -0.8446, 032: 5.5191, 026: 5.4519, 041: 0.2501, 004: 5.4733, 044: 5.3554, 012: 5.1487, 005: 0.1781, 063: 5.2840, 068: 5.6054, 050: 5.2294, 021: 5.5230, 051: 5.6218, 018: 5.4051, 001: 4.7282, 000: -3.4593, 033: 1.2619, 047: 3.0381, 040: -0.2952, 053: 1.2981, 043: 1.6113, 060: -4.7111, 062: -0.2662, 022: 5.3538, 052: 5.3175, 006: 4.9888, 034: 5.5805, 049: 2.1081, 003: 5.4295, 061: 4.7102, 037: 4.8866, 039: 4.3461, 064: 4.9158, 030: 4.6498, 038: 5.4706, 029: -1.3273, 042: 5.4979, 027: 5.5218, 057: -1.9244, 023: 0.1024, 046: 5.4569, 069: -11.2656, 020: 1.2146, 025: 5.4710, 011: 0.5576, 002: 1.3060"
